"from","to","r","p","fdr"
"Treponema_B_denticola_A","N_1234_Tetrahydroharmane_3_carboxylic_acid",-0.449470005824112,2.41678697447509e-06,0.821287741724474
"Centipeda_infelix","N_CYTOSINE",0.442748980780431,3.54957365570174e-06,0.821287741724474
"Streptococcus_anginosus","P_1-Methylnicotinamide",-0.43994175888177,4.1577381098315e-06,0.821287741724474
"Centipeda_artemidis","N_CYTOSINE",0.437751892836342,4.69906507556798e-06,0.821287741724474
"Haemophilus_D_parainfluenzae_L","P_Carnitine",-0.437309260337798,4.81626838572288e-06,0.821287741724474
"Peptidiphaga_sp000466165","P_Carnitine",-0.436062900407688,5.16127410353165e-06,0.821287741724474
"Campylobacter_A_concisus_B","P_Nicotine",0.428200349446709,7.93575350667557e-06,0.830964539704141
"Streptococcus_sp943914425","N_2,8-Quinolinediol",0.426755969714618,8.57839283874642e-06,0.830964539704141
"Saccharimonas_sp927910745","N_4-Hydroxyproline",-0.42488060570763,9.48601311213293e-06,0.830964539704141
"Streptococcus_sinensis","P_Acridine",0.418054746651136,1.36107003153562e-05,0.830964539704141
"Streptococcus_oralis_BQ","P_ectoine",0.417076295864881,1.4324480227974e-05,0.830964539704141
"Mogibacterium_pumilum","N_Glutaric acid",-0.415806639487478,1.530315905773e-05,0.830964539704141
"Streptococcus_ilei","N_2,5-Dimethylbenzenesulfonic acid",0.414340427064806,1.65113541863117e-05,0.830964539704141
"Treponema_B_putidum","N_2hydroxy_PhenylAceticAcid",-0.411485148514851,1.9125325752018e-05,0.830964539704141
"Streptococcus_sinensis","P_Deprenyl",0.410064065230052,2.05664594632828e-05,0.830964539704141
"Prevotella_oris","P_5-Aminovaleric acid",0.409528246942341,2.11357969342336e-05,0.830964539704141
"Neisseria_mucosa","N_Dimethachlor-TP CGA 369873",0.408841001747233,2.1887671574022e-05,0.830964539704141
"Halomonas_desiderata","P_Carnitine",-0.408689574839837,2.20566749376845e-05,0.830964539704141
"Nanoperiomorbus_sp905365345","N_4-Hydroxyphenyllactic acid",0.405707629586488,2.5644480864685e-05,0.830964539704141
"Lachnoanaerobaculum_saburreum","P_N,N-dimethyl-7H-purin-6-amine",0.405160163075131,2.63598699577085e-05,0.830964539704141
"Treponema_B_putidum","N_1234_Tetrahydroharmane_3_carboxylic_acid",-0.404694234129295,2.69833877777961e-05,0.830964539704141
"Johnsonella_ignava","N_D-(-)-Lactic acid",0.40456610366919,2.71572605374607e-05,0.830964539704141
"Streptococcus_sp015256435","P_Harmalol",0.404449621432731,2.73162363990544e-05,0.830964539704141
"Treponema_B_sp905372345","N_4-hydroxyphenylacetic acid",-0.404006988934187,2.79283253627207e-05,0.830964539704141
"Bacteroides_D_sp013333195","P_(1S,2R,9R,10S,12S)-12-hydroxy-7,15-diazatetracyclo[7.7.1.0^{2,7}.0^{10,15}]heptadecan-6-one",-0.403600844748895,2.85012299974679e-05,0.830964539704141
"Moraxella_sp916720335","P_Deprenyl",-0.403296447291788,2.89378030512126e-05,0.830964539704141
"Cutibacterium_acnes","P_Carnitine",-0.403273150844496,2.89714718338667e-05,0.830964539704141
"Kingella_B_oralis","P_2,6-Xylidine",-0.402783925451369,2.96870421973438e-05,0.830964539704141
"Treponema_B_putidum","N_4-hydroxyphenylacetic acid",-0.402644146767618,2.98945087272231e-05,0.830964539704141
"Streptococcus_mitis_BP","P_SARCOSINE",-0.40156086196855,3.15489882807028e-05,0.830964539704141
"Nanogingivalis_sp900556165","N_Pimelic acid",-0.401467676179383,3.16952397366556e-05,0.830964539704141
"Capnocytophaga_bilenii","P_XANTHURENIC ACID",-0.399499126383227,3.49370411144384e-05,0.830964539704141
"Streptococcus_sinensis","P_Lauryl diethanolamide",0.398485730926034,3.67243464322539e-05,0.830964539704141
"Pseudoleptotrichia_goodfellowii","N_Cytosine",0.398415841584158,3.68507071598809e-05,0.830964539704141
"Streptococcus_oralis_BQ","P_N-Nitrosodiethylamine (NDEA)",0.397670355270821,3.82240823086124e-05,0.830964539704141
"Streptococcus_sp000220065","N_Erythronolactone",0.397449039021549,3.86409216704241e-05,0.830964539704141
"CAG_793_sp013333395","P_Cyclohexanamine",0.396994758299359,3.9509883555541e-05,0.830964539704141
"Haemophilus_A_parahaemolyticus_A","P_XANTHINE",-0.396720929723537,4.00424567053786e-05,0.830964539704141
"GN02_872_sp002761215","P_MPL-dm",0.395921141219701,4.16366375023741e-05,0.830964539704141
"Kingella_B_oralis_A","N_(S)-LACTATE",0.39582993593477,4.18221518377393e-05,0.830964539704141
"Streptococcus_infantis_I","N_2,5-Dimethylbenzenesulfonic acid",0.395538277650802,4.24205895719633e-05,0.830964539704141
"Mogibacterium_pumilum","N_ADIPIC ACID",-0.39492137449039,4.37128282441252e-05,0.830964539704141
"Treponema_D_sp905372235","N_1234_Tetrahydroharmane_3_carboxylic_acid",-0.394210832847991,4.5246742011016e-05,0.830964539704141
