"saliva_microbe","urine_microbe","urine_metab","ACME","ACME_p","ADE","prop_med","total_p","ACME_fdr"
"Alloprevotella_tannerae_A","Halomonas_desiderata","P_3`-Aminoacetophenone",0.0382325724664614,0.173333333333333,-0.202268657475309,-0.158294352682522,0.18,0.993333333333333
"Nanosyncoccus_nanoralicus","Halomonas_desiderata","P_3`-Aminoacetophenone",0.0186810837533204,0.213333333333333,0.0781492569127278,0.141335145043429,0.193333333333333,0.993333333333333
"Prevotella_sp905372445","JAHWJY01_sp019348135","P_(3Z)-3-butylidene-6,7-dihydroxy-4,5,6,7-tetrahydro-2-benzofuran-1-one",-0.0269718143380622,0.26,0.0812577234682292,-0.0858579900529255,0.64,0.993333333333333
"Peptostreptococcus_stomatis","Pseudomonas_E_fluorescens_E","P_5-OXO-L-PROLINE",0.0112347395746249,0.293333333333333,-0.122291654156892,-0.0673852413820915,0.0466666666666667,0.993333333333333
"Streptococcus_mitis_AC","Neisseria_elongata","N_Cytosine",-0.0013967785708289,0.306666666666667,-0.00606318529411965,0.0656932145732504,0.4,0.993333333333333
"Streptococcus_cristatus_F","Novosphingobium_sp002336885","N_indoxylSulfate",0.016285508530469,0.313333333333333,0.00085205229783368,0.0541973714815321,0.82,0.993333333333333
"Streptococcus_mitis_N","Halomonas_desiderata","P_3`-Aminoacetophenone",-0.0149746726461117,0.32,-0.0339258214556551,0.0913202232446515,0.573333333333333,0.993333333333333
"Actinomyces_oris_A","BOG_935_sp003165275","P_Phenylacetylglutamine",0.0189650397670376,0.36,0.0316985484399405,0.0842055889387349,0.62,0.993333333333333
"Alloprevotella_sp916438195","Xanthomonas_campestris","N_3-Hydroxypropanoic acid",0.0123568926758806,0.366666666666667,-0.0342226500892038,-0.0301492772661941,0.733333333333333,0.993333333333333
"Prevotella_sp905372445","JAHWJY01_sp019348135","N_indoxylSulfate",-0.017835869003719,0.386666666666667,0.0290525707802515,-0.0345889522062097,0.926666666666667,0.993333333333333
"CAJPSE01_sp905373185","Pseudomonas_E_fluorescens_E","P_5-OXO-L-PROLINE",-0.00970977174271103,0.413333333333333,0.0168552448252713,-5.46431648582658e-05,0.906666666666667,0.993333333333333
"Streptococcus_pseudopneumoniae_G","Duncaniella_muris","P_Ethylbeta-carboline",-0.0115555618528608,0.413333333333333,0.0748988407282551,-0.0542244111961573,0.366666666666667,0.993333333333333
"Gemella_haemolysans_B","Curvularia_eragrostidis","P_6-(methylamino)hexane-1,2,3,4,5-pentaol",0.00797890088193215,0.42,0.0162085482946404,0.0521482457803964,0.706666666666667,0.993333333333333
"Streptococcus_mitis_N","Nesterenkonia_sphaerica","P_3`-Aminoacetophenone",-0.0106485780128587,0.433333333333333,-0.0399671573785812,0.0542610200881192,0.513333333333333,0.993333333333333
"Bulleidia_extructa","Lactobacillus_iners","P_Deprenyl",0.016767460193359,0.453333333333333,-0.108663702809111,-0.0311632373936308,0.48,0.993333333333333
"CAJPSE01_sp905373185","Pseudomonas_E_fluorescens_E","P_Phenylacetylglutamine",-0.0128772337141791,0.46,0.00659301761429604,0.00288346831190074,0.973333333333333,0.993333333333333
"Hornefia_nodata","Nesterenkonia_massiliensis","P_3-Aminoacetophenon",-0.0100602880262368,0.46,-0.125352330957396,0.0624242176393481,0.0733333333333333,0.993333333333333
"Alloprevotella_tannerae_A","Xanthomonas_campestris","N_3-Hydroxypropanoic acid",0.0118877417317198,0.48,0.0351466211739091,0.0558876027299739,0.526666666666667,0.993333333333333
"CAJPNN01_sp905372035","Pseudomonas_E_fluorescens_E","P_5-OXO-L-PROLINE",-0.00485913120798266,0.493333333333333,0.0132910154272685,-0.00894894926968865,0.866666666666667,0.993333333333333
"Nanosyncoccus_sp015257485","Novosphingobium_sp002336885","N_indoxylSulfate",0.011396338596841,0.5,0.136336165341023,0.0512146435902109,0.133333333333333,0.993333333333333
