"feature","R2","F","p"
"AWVT01_sp000469545",0.00565840143121731,0.563369512546611,0.875
"AWVT01_sp916439735",0.00828160842274728,0.826725853644829,0.515
"Abiotrophia_defectiva",0.0100148768084795,1.00150273050887,0.275
"Abiotrophia_sp001815865",0.0114892450765507,1.15065542475215,0.19
"Actinomyces_dentalis",0.00875978861384884,0.874882861701418,0.42
"Actinomyces_gerencseriae",0.00845199702589802,0.84388017832129,0.455
"Actinomyces_graevenitzii",0.00876405009725417,0.875312239949823,0.405
"Actinomyces_israelii",0.00864146706216014,0.862962501183713,0.425
"Actinomyces_johnsonii",0.00676458640337064,0.674255110889218,0.795
"Actinomyces_massiliensis",0.0107878043814781,1.07963957429635,0.195
"Actinomyces_naeslundii",0.0152080105097836,1.52884371170399,0.075
"Actinomyces_oricola",0.0137543551148977,1.3806714011229,0.1
"Actinomyces_oris",0.0106886209803645,1.06960609116282,0.23
"Actinomyces_oris_A",0.00994096784602407,0.994037511697914,0.355
"Actinomyces_oris_B",0.0131872040227723,1.32297960015972,0.115
"Actinomyces_oris_C",0.00763066158065465,0.761244294073086,0.615
"Actinomyces_oris_D",0.00683540684064814,0.681362668267806,0.74
"Actinomyces_oris_E",0.00545100340321259,0.542607090012311,0.94
"Actinomyces_sp000195595",0.00925726373137633,0.9250323780903,0.405
"Actinomyces_sp000220835",0.00913703384424108,0.912907618385722,0.36
"Actinomyces_sp001278845",0.00823608466189595,0.82214362603597,0.465
"Actinomyces_sp002999235",0.00912288923300783,0.911481377714615,0.34
"Actinomyces_sp900323545",0.00658039684638637,0.655774544537063,0.865
"Actinomyces_sp915063485",0.00616998807268654,0.614621023580682,0.87
"Actinomyces_sp915069725",0.0093359359162116,0.932967783140235,0.335
"Actinomyces_timonensis",0.00613863697192713,0.611478706013064,0.8
"Aggregatibacter_actinomycetemcomitans",0.096009954864926,10.5144803117909,0.005
"Aggregatibacter_aphrophilus",0.0128886901580607,1.29264077204457,0.075
"Aggregatibacter_kilianii",0.0059861232590896,0.596195100004965,0.825
"Aggregatibacter_segnis",0.00609667051437002,0.60727272262484,0.935
"Aggregatibacter_segnis_A",0.00553940533034115,0.551455865263261,0.995
"Aggregatibacter_sp000466335",0.00708347009134529,0.706266355649954,0.835
"Allisonella_pneumosinta",0.00860757389568135,0.859548442407393,0.55
"Alloprevotella_rava",0.00705119440909075,0.703025415378349,0.75
"Alloprevotella_sp000318095",0.0064783850530277,0.64554219113187,0.79
"Alloprevotella_sp003639005",0.00928919010630069,0.928252534786052,0.45
"Alloprevotella_sp015257125",0.00746357187206824,0.744449870447996,0.69
"Alloprevotella_sp015259235",0.00695742663506852,0.693610984409088,0.75
"Alloprevotella_sp900095835",0.00530864822288808,0.528361057052485,0.915
"Alloprevotella_sp905369775",0.00734035103785301,0.732068391726437,0.67
"Alloprevotella_sp905371275",0.00702020202142081,0.699913534530592,0.67
"Alloprevotella_sp916438195",0.00705196718840012,0.703103011015357,0.755
"Alloprevotella_tannerae",0.0108343819023409,1.08435209302418,0.285
"Alloprevotella_tannerae_A",0.00772244102254694,0.770471582588233,0.575
"Alloprevotella_tannerae_B",0.00626407798713108,0.624052836361033,0.825
"Alloscardovia_omnicolens",0.00544750878080369,0.542257320816167,0.99
"Anaeroglobus_geminatus",0.00663100105928925,0.660851209942799,0.835
"Anaeroglobus_micronuciformis",0.00641335088378733,0.639019996957189,0.905
"Arachnia_massiliensis",0.00529227105946735,0.526722392561796,0.945
"Arachnia_propionica",0.0098050649151048,0.980313463744541,0.335
"Arachnia_rubra",0.0101528702928422,1.01544382847152,0.32
"Arachnia_sp013333945",0.00851723581403597,0.850449827316825,0.48
"Arachnia_sp905372155",0.00767527528472032,0.765729437413071,0.69
"Bacillus_A_bombysepticus",0.0461643866917767,4.7914695349177,0.01
"Bacteroides_D_periocalifornicus",0.00876824923122978,0.875735339610045,0.41
"Bacteroides_D_sp013333195",0.011709286516177,1.17295381741994,0.195
"Bacteroides_D_sp905373475",0.00560725192562469,0.558248178812467,0.95
"Bacteroides_D_sp905373625",0.0062697974283554,0.624626225308306,0.815
"Bacteroides_D_sp905373665",0.0315662828703383,3.2269239999469,0.02
"Bacteroides_heparinolyticus",0.0171650682577314,1.72902051263378,0.05
"Bergeyella_A_cardium",0.0137400608847837,1.37921654692159,0.115
"Bergeyella_A_sp916710115",0.00569508080131339,0.567042351338666,0.945
"Bifidobacterium_dentium",0.00718394997433046,0.716357322628222,0.665
"Bifidobacterium_longum",0.0125271002493505,1.25591590918481,0.08
"Bulleidia_extructa",0.006164608032448,0.614081768615741,0.91
"Bulleidia_moorei",0.00802328558797828,0.800729756726861,0.495
"Bulleidia_sp015256455",0.0065011161440316,0.647822064742687,0.845
"Bulleidia_sp015256775",0.00790653672602626,0.78898527694506,0.635
"Bulleidia_sp900554555",0.00758521009299266,0.756675340637193,0.58
"Bulleidia_sp927911475",0.0052861572138759,0.526110667876004,0.985
"Butyrivibrio_sp015258065",0.00726512703579548,0.724511242761275,0.685
"CAG_793_sp013333035",0.00712519608543435,0.710456554720567,0.775
"CAG_793_sp013333395",0.0102624180123728,1.02651389794109,0.32
"CAJPNN01_sp905372035",0.0186296287244945,1.87934473844756,0.04
"CAJPNX01_sp905372165",0.00838980569346585,0.83761821774531,0.505
"CAJPPJ01_sp905372515",0.00812738341937193,0.811203923838153,0.565
"CAJPQU01_sp905372875",0.00843214116687216,0.84188083355456,0.475
"CAJPQU01_sp905373705",0.00727131012538631,0.725132364719071,0.725
"CAJPSE01_sp905373185",0.0227970233359858,2.30955631957574,0.04
"Campylobacter_A_concisus_A",0.0122478883646561,1.22757616391571,0.15
"Campylobacter_A_concisus_AB",0.00957861700363418,0.957454170154224,0.335
"Campylobacter_A_concisus_AC",0.00730037028700227,0.728051705451101,0.75
"Campylobacter_A_concisus_AD",0.00954313711794482,0.953873520475612,0.32
"Campylobacter_A_concisus_AF",0.0115096960548669,1.15272745203889,0.215
"Campylobacter_A_concisus_B",0.00912383974789439,0.911577219510187,0.345
"Campylobacter_A_concisus_C",0.00967291502019518,0.966972025226243,0.38
"Campylobacter_A_concisus_D",0.0269911967070346,2.74625313250313,0.03
"Campylobacter_A_concisus_F",0.0100906421388651,1.00915660996083,0.33
"Campylobacter_A_concisus_I",0.0651076471020379,6.89454464262289,0.005
"Campylobacter_A_concisus_J",0.00527709970929258,0.525204427350858,0.99
"Campylobacter_A_concisus_L",0.00657737552243758,0.655471458649096,0.82
"Campylobacter_A_concisus_Q",0.00705528248254513,0.703435904788617,0.675
"Campylobacter_A_concisus_R",0.00809855244552032,0.808302774517804,0.57
"Campylobacter_A_concisus_T",0.0106757923648647,1.06830848367495,0.27
"Campylobacter_A_curvus",0.00795821589404392,0.794183658524407,0.6
"Campylobacter_A_massiliensis",0.0123552153555807,1.23846785729027,0.145
"Campylobacter_A_rectus",0.0208442109356779,2.10750618612392,0.035
"Campylobacter_A_showae",0.00995935008229669,0.995894116296469,0.32
"Campylobacter_A_showae_A",0.00871689703428005,0.87056140048376,0.38
"Campylobacter_A_showae_B",0.0136501054429547,1.37006192864186,0.055
"Campylobacter_A_showae_D",0.015585486848797,1.5673917617201,0.04
"Campylobacter_A_showae_E",0.00865670770008926,0.864497766783259,0.445
"Campylobacter_A_sp905371695",0.00844798810291196,0.843476501639218,0.44
"Campylobacter_A_sp905372745",0.00647069581757669,0.64477100297232,0.92
"Campylobacter_B_gracilis",0.0118152930711884,1.1836997737832,0.155
"Campylobacter_B_gracilis_A",0.0142848805362908,1.43469765773929,0.1
"Campylobacter_B_sp019423325",0.00844655700755466,0.843332398931806,0.47
"Campylobacter_B_sp900539505",0.0135896837202696,1.36391384609684,0.095
"Campylobacter_B_sp905373215",0.0102534335807444,1.02560590653638,0.305
"Campylobacter_B_sp905373295",0.0110128969636938,1.10241761096622,0.17
"Capnocytophaga_bilenii",0.0104918830275224,1.04970985271221,0.215
"Capnocytophaga_gingivalis",0.00675959220255893,0.673753929864087,0.865
"Capnocytophaga_granulosa",0.00891221267252187,0.890243090330938,0.505
"Capnocytophaga_haemolytica",0.0109082861205642,1.09183032349969,0.195
"Capnocytophaga_leadbetteri",0.0081942824893677,0.817936368105991,0.54
"Capnocytophaga_ochracea",0.0065593765212047,0.653665916464434,0.865
"Capnocytophaga_periodontitidis",0.00975544123995086,0.975303195772632,0.4
"Capnocytophaga_sp000192225",0.00883557995552045,0.882519991544159,0.455
"Capnocytophaga_sp000466425",0.0122685657537839,1.22967435024634,0.14
"Capnocytophaga_sp002999135",0.00595431866267582,0.593008509238592,0.915
"Capnocytophaga_sp905372595",0.00519829623285961,0.517320512323494,0.99
"Capnocytophaga_sp915070235",0.00823326610297351,0.821859935744737,0.55
"Capnocytophaga_sputigena",0.0113627037549292,1.13783657162286,0.2
"Cardiobacterium_hominis",0.0095864377743117,0.958243481161654,0.41
"Cardiobacterium_sp916618745",0.00828821311703006,0.827390688947015,0.5
"Cardiobacterium_valvarum",0.00775936535777984,0.774184349643362,0.645
"Catonella_massiliensis",0.0132084168787365,1.32513622264471,0.125
"Catonella_morbi",0.0134208397363071,1.34673748180458,0.06
"Catonella_sp916438525",0.00721816110529788,0.719793535123563,0.8
"Catonella_sp916438995",0.0122128408673301,1.22402000743491,0.155
"Catonella_sp916439065",0.0135006102479689,1.35485173983217,0.105
"Centipeda_artemidis",0.00924946312235367,0.924245624936864,0.3
"Centipeda_felix",0.00721696958972705,0.71967385369965,0.815
"Centipeda_flueggei",0.00676363012282414,0.674159145262062,0.765
"Centipeda_infelix",0.00725073120308831,0.723065140078777,0.79
"Centipeda_massiliensis",0.00704054747767433,0.701956357350944,0.775
"Centipeda_noxia",0.00964174722011969,0.963825940877989,0.235
"Centipeda_periodontii",0.00697042935984329,0.694916372107258,0.755
"Centipeda_sp000286455",0.0092126965219138,0.920537589114997,0.31
"Centipeda_sp000468035",0.00996203938971633,0.996165741941827,0.275
"Centipeda_sp001683335",0.00718441322341239,0.716403850414045,0.75
"Centipeda_sp001717585",0.0085935829505562,0.858139202525088,0.455
"Centipeda_sp015265235",0.00794387618579995,0.792741180176905,0.635
"Centipeda_sp905372865",0.00864711264112603,0.863531203053407,0.44
"Centipeda_timonae",0.0088565349399209,0.884631730885721,0.36
"Chlamydophila_abortus",0.00691448009787663,0.689299678598931,0.665
"Clostridium_sp900540255",0.00866688027031442,0.865522526872795,0.45
"Clostridium_tertium",0.00921206240813572,0.920473639013068,0.34
"Corynebacterium_durum",0.0064774749499546,0.64545091216045,0.795
"Corynebacterium_matruchotii",0.00812064655459433,0.810526004107504,0.575
"Corynebacterium_sp915275065",0.00896370252471699,0.895432944492242,0.365
"Cryptobacterium_curtum",0.0121456496055983,1.21720303248567,0.11
"Cutibacterium_acnes",0.00772348575763635,0.770576627614547,0.63
"Desulfobulbus_oralis",0.00864294584834716,0.863111464636308,0.465
"Desulfomicrobium_orale",0.0146985399912324,1.47686319181853,0.035
"Desulfovibrio_sp003860215",0.0143286532808227,1.43915786892159,0.065
"Dialister_invisus",0.00800780373303561,0.799172183565419,0.435
"Eggerthia_catenaformis",0.00785633085089824,0.783935611770799,0.62
"Eikenella_corrodens",0.00628047993271326,0.625697191996905,0.86
"Eikenella_corrodens_B",0.00865333080729636,0.864157591430626,0.465
"Eikenella_exigua",0.00629704880076497,0.627358337341538,0.91
"Eikenella_halliae",0.00979423553260094,0.979220029333021,0.34
"Escherichia_coli",0.00920687542399499,0.919950536965583,0.335
"Eubacterium_B_infirmum",0.0090131129625246,0.90041371380547,0.35
"Eubacterium_B_sulci",0.00624235264973669,0.621874874595166,0.915
"Eubacterium_N_saphenum",0.0133689116139179,1.34145605724109,0.07
"F0058_sp000163695",0.00654616647565619,0.652340812648425,0.805
"F0058_sp905372135",0.00792501497061917,0.790843932092555,0.67
"F0058_sp905372605",0.00750053026253597,0.748164123641779,0.745
"F0422_sp001553345",0.00813715933209665,0.812187674391659,0.525
"F0422_sp003992015",0.00813283523729304,0.811752538138143,0.5
"F0422_sp003992055",0.00711461788149114,0.709394239206911,0.645
"F0422_sp003992315",0.00694188005221526,0.692050255029833,0.74
"F0422_sp003999875",0.00770367850207138,0.768585104249687,0.585
"F0422_sp900544365",0.00836547675752641,0.835168784046668,0.41
"F0422_sp900766245",0.00819862455212432,0.818373366636821,0.475
"F0422_sp916438745",0.0109094196002574,1.0919450269044,0.135
"F0428_sp003043955",0.00763517072736715,0.761697593175871,0.61
"Filifactor_alocis",0.0217415490692227,2.20025020566406,0.035
"Flexilinea_sp001717545",0.0113840313376847,1.13999686243764,0.115
"Fretibacterium_fastidiosum",0.0249112315277778,2.52921785276441,0.025
"Fusobacterium_animalis",0.00785923131843327,0.784227324474172,0.605
"Fusobacterium_hwasookii",0.00626205435811614,0.623849963838362,0.865
"Fusobacterium_massiliense",0.00643715344321114,0.641407026325916,0.735
"Fusobacterium_nucleatum",0.00868813004198068,0.867663245263585,0.44
"Fusobacterium_nucleatum_J",0.0626501835718262,6.61691938794555,0.005
"Fusobacterium_periodonticum",0.00522289897641879,0.519781766320738,0.985
"Fusobacterium_periodonticum_B",0.00833790167362581,0.832392673958265,0.455
"Fusobacterium_periodonticum_D",0.0074185608181144,0.739926712309542,0.66
"Fusobacterium_polymorphum",0.00750055481276829,0.748166590988855,0.675
"Fusobacterium_pseudoperiodonticum",0.00729698740939777,0.727711857794374,0.7
"Fusobacterium_sp000235465",0.00807231125523812,0.805662371699566,0.675
"Fusobacterium_vincentii",0.0158170810932571,1.59105690431194,0.08
"GN02_872_sp002761215",0.0117762747805624,1.1797441950878,0.16
"GN02_872_sp003260325",0.00687435864407261,0.685272313414452,0.845
"GN02_873_sp003260345",0.00875080258296436,0.873977459927256,0.41
"GN02_873_sp013332525",0.00749990850418483,0.748101635734135,0.66
"Gallibacter_brachus",0.0129238753513166,1.29621579109284,0.19
"Gemella_haemolysans",0.00964526129374484,0.964180642310192,0.37
"Gemella_haemolysans_A",0.00661930055043047,0.659677357186145,0.815
"Gemella_haemolysans_B",0.0078295181065063,0.781239017577757,0.63
"Gemella_haemolysans_C",0.00917360054450448,0.916594929651687,0.375
"Gemella_morbillorum",0.00895697828603099,0.894755152791939,0.39
"Gemella_sanguinis",0.0052631528067211,0.523809014751564,0.995
