"feature","name","saliva_log2FC","saliva_p","saliva_fdr","urine_log2FC","urine_p","urine_fdr","same_dir","n_healthy","n_disease"
"P_Pyrrolidine; CE10; RWRDLPDLKQPQOW-UHFFFAOYSA-N","P_Pyrrolidine",0,NA,NA,0,NA,NA,TRUE,34,67
"P_METHYLGUANIDINE","P_METHYLGUANIDINE",0.399146840117499,0.068491104629453,0.266817520643435,0,NA,NA,FALSE,34,67
"P_Butylamine","P_Butylamine",0,NA,NA,0.0954933614848272,0.483504178632601,0.836625207971018,FALSE,34,67
"P_Trimethylamine N-oxide","P_Trimethylamine N-oxide",-0.00523455059971667,0.997133032244234,0.997133032244234,0,NA,NA,FALSE,34,67
"P_Pyridine","P_Pyridine",0.129323747407554,0.78755154286698,0.930931639061759,-0.562243039646901,0.548437915504137,0.86062777009448,FALSE,34,67
"P_3-Methylpyrazole","P_3-Methylpyrazole",0,NA,NA,-0.180428920597326,0.0168717554736247,0.190115878751576,FALSE,34,67
"P_Piperidine","P_Piperidine",0,NA,NA,-0.132481416105332,0.337362582808397,0.705255716097193,FALSE,34,67
"P_2-Methylpyrrolidine; CE10; RGHPCLZJAFCTIK-UHFFFAOYSA-N","P_2-Methylpyrrolidine",-0.69509251861178,0.0752982471273417,0.278790204240075,0.506822185684747,0.194578878272687,0.53509191524989,FALSE,34,67
"P_Morpholine","P_Morpholine",0,NA,NA,-0.0378551212684748,0.10666733659564,0.421199226557143,FALSE,34,67
"P_N-Nitrosomethylethylamine (NMEA)","P_N-Nitrosomethylethylamine (N",-0.0435669782220884,0.877208876745304,0.967954622615508,-0.050083522639202,0.427136409467009,0.79175184323948,TRUE,34,67
"P_SARCOSINE","P_SARCOSINE",0.370147200018636,0.0990887495101455,0.346810623285509,0.00751360116635524,0.151659501906509,0.48321855090212,TRUE,34,67
"P_Aniline","P_Aniline",0,NA,NA,-0.0940924386629796,0.743680800165786,0.921127425406416,FALSE,34,67
"P_4-Methylpyrimidine","P_4-Methylpyrimidine",0.18426565637116,0.367111076807073,0.644963774155172,-0.148802693280643,0.0892075899970862,0.381610246098646,FALSE,34,67
"P_3-Hydroxypyridine","P_3-Hydroxypyridine",0.0771723595514331,0.945569781469814,0.988813684201804,-0.374444964823535,0.0510430234491589,0.314425024446819,FALSE,34,67
"P_Propionic acid","P_Propionic acid",-0.773131775967045,9.35493292771566e-07,1.67640398064665e-05,-0.374738123521546,0.00862317375910431,0.140194777751542,TRUE,34,67
"P_2-Piperidone; CE10; XUWHAWMETYGRKB-UHFFFAOYSA-N","P_2-Piperidone",0,NA,NA,0,NA,NA,TRUE,34,67
"P_Cyclohexylamine","P_Cyclohexylamine",-0.137586073376855,0.149618361302403,0.446624631961022,0,NA,NA,FALSE,34,67
"P_Homoserine","P_Homoserine",0.509489466714527,0.0281308479846983,0.165823946015064,-0.650715277160664,0.00523945072941526,0.105244618999559,FALSE,34,67
"P_CYCLOPENTANONE","P_CYCLOPENTANONE",0,NA,NA,0.106230816466233,0.888552901478213,0.960781253693834,FALSE,34,67
"P_Hexylamine","P_Hexylamine",-0.0465270545760958,0.245800650228268,0.542456607400315,-0.0551777391295403,0.882877886587816,0.960781253693834,TRUE,34,67
"P_N-Nitrosodiethylamine (NDEA)","P_N-Nitrosodiethylamine (NDEA)",0.352937120488296,0.0510430234491589,0.225755976224303,-1.12601436208581,0.0047922446416498,0.100637137474646,FALSE,34,67
"P_N,N-Dimethylglycine","P_N,N-Dimethylglycine",-0.158771011999036,0.732835745060248,0.899480585717784,0,NA,NA,FALSE,34,67
"P_4-AMINOBUTANOATE","P_4-AMINOBUTANOATE",0.434455516421465,0.0469168473814139,0.225755976224303,0.383811231089791,0.143620643892004,0.480214015411296,TRUE,34,67
"P_Choline","P_Choline",0,NA,NA,0,NA,NA,TRUE,34,67
