feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F364	KidneyDisease	KidneyDisease	-3.75436536008324	0.675131724207358	101	96	2.45884214849586e-07	0.00146178165728079
F365	KidneyDisease	KidneyDisease	-3.01954532894173	0.65043848457815	101	74	1.1037694626883e-05	0.0156106625977679
F864	KidneyDisease	KidneyDisease	3.13461728158908	0.681705251637724	101	50	1.31292368358015e-05	0.0156106625977679
F1101	Age	Age	0.120893417656714	0.025203715614463	101	32	5.97288968886628e-06	0.0156106625977679
F1126	Periodontitis	Periodontitis	3.29155115908298	0.715598436488333	101	41	1.30512928514638e-05	0.0156106625977679
F1	Age	Age	0.107050809169563	0.0239200714754006	101	75	2.11796712917335e-05	0.0178198035742698
F176	Age	Age	0.0698138266809598	0.0155123452472904	101	98	1.92137916179526e-05	0.0178198035742698
F195	Sex	M	2.14475947144328	0.489122013096819	101	75	2.99744383082755e-05	0.0178198035742698
F222	Periodontitis	Periodontitis	2.74695163543629	0.618679039935559	101	18	2.42688884777368e-05	0.0178198035742698
F731	Periodontitis	Periodontitis	5.97730546453759	1.35687529086573	101	99	2.77382995100716e-05	0.0178198035742698
F656	Periodontitis	Periodontitis	4.75256035966585	1.09438033496623	101	101	3.52011080034156e-05	0.0190245988254824
F1003	KidneyDisease	KidneyDisease	2.3779920204288	0.555159639250377	101	85	4.40410881244293e-05	0.0202345465150528
F1124	Sex	M	1.91023420161897	0.446087240484411	101	100	4.42471160127311e-05	0.0202345465150528
F337	Periodontitis	Periodontitis	1.39226295322805	0.330441811010046	101	13	5.72720225945434e-05	0.0243201553088972
F517	KidneyDisease	KidneyDisease	3.20060101545758	0.763487533690678	101	97	6.19892098676204e-05	0.0245683901775336
F97	Age	Age	0.12825924210622	0.0307404978679687	101	55	6.67072020872289e-05	0.024785894775536
F1115	Sex	M	1.95149194014861	0.469750904071592	101	99	7.13066559794013e-05	0.0249363570469142
F422	Age	Age	0.0751647134214596	0.0182591934191318	101	91	8.19629927209147e-05	0.0268234916886013
F1127	Periodontitis	Periodontitis	1.43380528106106	0.349340541694162	101	29	8.57268868096594e-05	0.0268234916886013
F381	Age	Age	0.069615260144442	0.0172963505700891	101	11	0.000114564120764478	0.0309583499065827
F437	Age	Age	0.0419830440389942	0.0104033064077036	101	18	0.000110201347824296	0.0309583499065827
F691	Periodontitis	Periodontitis	2.56647497428872	0.635826566582414	101	101	0.000109845354763141	0.0309583499065827
F1099	Sex	M	2.20211642364399	0.549984358572225	101	101	0.000123567281696599	0.0319394560733166
F258	Periodontitis	Periodontitis	2.87065572171958	0.719330864120461	101	81	0.000129615824617137	0.0321069198895366
F1104	Periodontitis	Periodontitis	3.80187209424502	0.959244441999881	101	89	0.000143017835513772	0.032701578158822
F1105	Periodontitis	Periodontitis	3.53274856403974	0.890218688167076	101	84	0.000140469293723358	0.032701578158822
F1122	Sex	M	1.74445631429818	0.442795633804747	101	100	0.00015573876377588	0.0342913685425038
F242	Sex	M	1.97509924344144	0.503276977179633	101	100	0.000164415458707779	0.0346836153994757
F282	Sex	M	-1.89861530139534	0.484778553312974	101	98	0.000169188367802321	0.0346836153994757
F1106	Periodontitis	Periodontitis	3.29068045311625	0.843142711997479	101	83	0.000177577474186313	0.0351899361345878
F218	Age	Age	0.0492554848868007	0.0127507841981369	101	16	0.000204604044537348	0.0380115951492043
F222	KidneyDisease	KidneyDisease	-2.03503550404989	0.526004449929096	101	18	0.000200364826403376	0.0380115951492043
F424	Age	Age	0.0672372650793901	0.0178765691028613	101	16	0.000292316315173186	0.0511123674618997
F533	KidneyDisease	KidneyDisease	1.92692120299237	0.5112098922044	101	100	0.000284154118154457	0.0511123674618997
F714	Periodontitis	Periodontitis	3.73420648081494	1.00055122325464	101	85	0.000323298995178353	0.0533892368426475
F997	Sex	M	-1.98571506834577	0.530901977479114	101	84	0.000314339285868076	0.0533892368426475
F102	KidneyDisease	KidneyDisease	-2.73416482563739	0.738763986829481	101	67	0.000359985376339489	0.0578408935767098
F693	Periodontitis	Periodontitis	3.60241313924286	0.977115542788633	101	82	0.000378011635358321	0.0591389255843479
