feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F131	Sex	M	0.967484513785384	0.241308634344678	101	101	0.000121193801405823	0.054850539396146
F135	Sex	M	0.746942168739767	0.18852403866347	101	101	0.000143713203658024	0.054850539396146
F220	KidneyDisease	KidneyDisease	3.41258938069931	0.854331725485519	101	62	0.000127885336257183	0.054850539396146
F186	Sex	M	0.897798620790028	0.232310206815036	101	101	0.000203365797562895	0.0582134595523788
F26	Sex	M	-2.2021736267508	0.594468605737441	101	19	0.000355745820129945	0.0814657928097573
F150	Sex	M	1.13718969579116	0.312889120739568	101	100	0.000451986472498268	0.0862540851684194
F207	Sex	M	1.31344340714171	0.369615281983526	101	95	0.000594063325369966	0.0971717867926588
F74	Sex	M	0.912189623954811	0.264807971337838	101	101	0.000852470667071276	0.108453212644068
F95	Sex	M	-3.49194386704826	1.00438492901368	101	29	0.000767220176528929	0.108453212644068
F25	Sex	M	-1.51575585160849	0.463257042291119	101	11	0.0014895524808404	0.156539065307673
F88	Sex	M	-2.65351108093712	0.811734227493427	101	23	0.0015038687496807	0.156539065307673
F27	KidneyDisease	KidneyDisease	2.08260421508628	0.659003195982206	101	86	0.00211517253745401	0.162400693274342
F69	Diabetes	Diabetes	1.25524428548563	0.393364347492006	101	23	0.0019217487762519	0.162400693274342
F101	Sex	M	1.80210410550895	0.570582743401082	101	61	0.00212751999922719	0.162400693274342
F198	KidneyDisease	KidneyDisease	2.27958575055789	0.712910843185348	101	16	0.00188295142412739	0.162400693274342
F201	Periodontitis	Periodontitis	-1.58902232917384	0.510597454833185	101	20	0.00245404527465324	0.175617614967373
F7	KidneyDisease	KidneyDisease	3.21685888459476	1.12435223675643	101	43	0.0051923473300667	0.277103020831071
F12	Diabetes	Diabetes	-2.7812410008091	0.961721309436704	101	27	0.00474622736782506	0.277103020831071
F82	Age	Age	0.026857295976799	0.0094006069280932	101	12	0.00525446789487766	0.277103020831071
F93	KidneyDisease	KidneyDisease	2.49477758658586	0.857132069079007	101	27	0.00449375330649377	0.277103020831071
F147	Age	Age	-0.0314050811914378	0.0110099833717777	101	11	0.00532425018190704	0.277103020831071
F188	Sex	M	1.06953366116924	0.364126788973392	101	100	0.00415478397693178	0.277103020831071
F39	KidneyDisease	KidneyDisease	1.54690309531088	0.551008099560981	101	11	0.00606081218369302	0.289151247930355
F216	KidneyDisease	KidneyDisease	3.3982223407841	1.20642756992276	101	31	0.00590039432482309	0.289151247930355
F12	Sex	M	2.36140883293838	0.861592232004968	101	27	0.00732372476550537	0.289160857120815
F25	KidneyDisease	KidneyDisease	1.60570824187748	0.575185778121489	101	11	0.00634018836471483	0.289160857120815
F28	Age	Age	0.0425364255560066	0.0154638102285735	101	19	0.00712094121122499	0.289160857120815
F66	Sex	M	-2.28277370317396	0.831623434189033	101	27	0.00723734175407477	0.289160857120815
F152	Periodontitis	Periodontitis	-3.87331335974961	1.39506529947199	101	69	0.00662045036669218	0.289160857120815
F77	Periodontitis	Periodontitis	-0.775805518788156	0.289361361472237	101	11	0.00865265310961362	0.309602744078362
