"feature","glr","p","padj","Genus"
"Treponema_D_parvum",3.98691718244306,3.66269340453687e-07,0.000999000999000999,"Treponema_D"
"Porphyromonas_gingivalis",6.02351814444556,8.8523068343553e-07,0.000999000999000999,"Porphyromonas"
"Treponema_B_denticola_C",4.46275144313691,1.3428173445539e-06,0.000999000999000999,"Treponema_B"
"Treponema_B_denticola_A",4.71392959690311,2.31692439856516e-06,0.000999000999000999,"Treponema_B"
"CAJPNN01_sp905372035",4.2303763575313,2.83014979138556e-06,0.000999000999000999,"CAJPNN01"
"Treponema_sp905373565",3.80083374138881,3.07992102615992e-06,0.000999000999000999,"Treponema"
"Prevotella_koreensis",4.77136735577474,3.43757307100917e-06,0.000999000999000999,"Prevotella"
"Filifactor_alocis",3.57685250703389,4.39468866383541e-06,0.000999000999000999,"Filifactor"
"Prevotella_sp905372445",6.9806961071418,4.42161237823363e-06,0.000999000999000999,"Prevotella"
"Treponema_B_putidum",3.80259501554762,6.1964494178694e-06,0.000999000999000999,"Treponema_B"
"Treponema_B_sp905372345",5.70164646800367,8.88708131288451e-06,0.000999000999000999,"Treponema_B"
"Treponema_sp018336815",3.27277521948885,1.26989580352777e-05,0.000999000999000999,"Treponema"
"Eubacterium_N_saphenum",6.92471529868199,9.10865729587722e-06,0.00117529529294235,"Eubacterium_N"
"Flexilinea_sp001717545",4.07224922305364,1.65829006188104e-05,0.00117529529294235,"Flexilinea"
"Treponema_B_denticola_B",4.09290798205724,2.08183435895185e-05,0.00117529529294235,"Treponema_B"
"W11650_sp002999035",4.36263163928327,2.20779347349261e-05,0.00117529529294235,"W11650"
"Treponema_sp000775995",2.73308999660517,2.49484767817078e-05,0.00117529529294235,"Treponema"
"Treponema_D_sp024696245",3.50835716757131,5.75306511403972e-07,0.0011988011988012,"Treponema_D"
"Treponema_B_denticola",2.84671514513014,3.11210660916706e-05,0.0011988011988012,"Treponema_B"
"Hornefia_nodata",4.87572334508195,3.24586318681132e-05,0.0011988011988012,"Hornefia"
"Treponema_C_sp905372025",2.96518745273573,3.86844475614678e-05,0.00122100122100122,"Treponema_C"
"Prevotella_seregens",4.51852937688033,4.39094853172702e-05,0.00122100122100122,"Prevotella"
"Tannerella_forsythia",3.11326470635298,4.80239272618298e-05,0.00122100122100122,"Tannerella"
"CAJPSE01_sp905373185",3.55969214848971,5.34169379444519e-05,0.00122100122100122,"CAJPSE01"
"Prevotella_intermedia",2.74573448039275,5.34453205567185e-05,0.00122100122100122,"Prevotella"
"Treponema_medium",2.73033216511797,5.34453205567185e-05,0.00122100122100122,"Treponema"
"Porphyromonas_endodontalis",3.06127932878734,5.94432325548984e-05,0.00122100122100122,"Porphyromonas"
"Treponema_B_sp024181225",3.5280535604285,1.67493051968979e-06,0.00124013917117365,"Treponema_B"
"Fretibacterium_fastidiosum",3.37164446686923,6.60748200664735e-05,0.00124013917117365,"Fretibacterium"
"Treponema_D_socranskii",2.74803604158664,7.33648285054337e-05,0.00128903354709806,"Treponema_D"
"Treponema_vincentii",2.66187750348079,7.34024438059241e-05,0.00128903354709806,"Treponema"
"CAJPSE01_sp003860125",3.99116963198324,6.76640011262065e-05,0.00143606393606394,"CAJPSE01"
"Fusobacterium_nucleatum_J",3.13634071499995,8.47494170444726e-05,0.00175581993763812,"Fusobacterium"
"Treponema_D_sp024697295",1.87072420365119,1.65179257671868e-07,0.00182170770406065,"Treponema_D"
"Gallibacter_brachus",2.3845331341178,0.000184054333298767,0.00214071642643071,"Gallibacter"
"Treponema_D_sp014334325",2.17995544534275,0.000203254291810643,0.00219225219225219,"Treponema_D"
"Treponema_D_parvum_A",3.04303198199744,3.6183843908765e-05,0.00237600237600238,"Treponema_D"
"Treponema_D_pectinovorum",3.55570045049692,0.000108961762261296,0.00262894999737105,"Treponema_D"
"W5053_sp000467935",2.99694291473594,0.000100146104095814,0.00366300366300366,"W5053"
"Centipeda_sp000468035",2.50559703987953,0.00043989617179525,0.00424575424575425,"Centipeda"
"Phocaeicola_abscessus",2.98896336445724,0.000685064867993902,0.00709047050510465,"Phocaeicola"
"Treponema_B_sp024181385",2.47959621552248,0.000312108229916437,0.00860503133230406,"Treponema_B"
"Bacteroides_D_periocalifornicus",3.93325120624782,0.000515557357641592,0.00860503133230406,"Bacteroides_D"
"Campylobacter_A_massiliensis",2.13635093246375,0.000876319701446754,0.00860503133230406,"Campylobacter_A"
"Peptoanaerobacter_stomatis",2.59385890926394,0.000878161201397095,0.00883898709985667,"Peptoanaerobacter"
"Campylobacter_A_showae_B",2.32050177496237,0.00091649301629284,0.00883898709985667,"Campylobacter_A"
"Pauljensenia_cardiffensis",3.33117923021394,0.000814335703602455,0.00958615852232873,"Pauljensenia"
"Ruminococcus_C_sp900545285",1.75003198405372,2.43819664463054e-06,0.0100919488674591,"Ruminococcus_C"
"Parvimonas_micra",1.80694013886469,0.00109485833175381,0.0100919488674591,"Parvimonas"
"Treponema_B_sp024181285",3.21028164572369,0.000147206111733147,0.0107008376239145,"Treponema_B"
"GN02_873_sp013332525",3.96240932398973,0.000661000897084857,0.0107008376239145,"GN02_873"
"Treponema_D_sp905372235",4.75946619115073,0.00119309923875057,0.0107008376239145,"Treponema_D"
"Arachnia_sp905372155",2.36937391976262,0.00130667501447013,0.0112850112850113,"Arachnia"
"Leptotrichia_A_sp905371725",1.87128721541656,0.00132583566947424,0.0112850112850113,"Leptotrichia_A"
"Hornefia_minuta",3.3282319217021,0.000306643751526952,0.0119179066547488,"Hornefia"
"Pseudoramibacter_alactolyticus",4.78831801086556,0.000726505343506814,0.0119179066547488,"Pseudoramibacter"
"Treponema_sp905372265",4.51593322594644,0.00140831282266955,0.0119179066547488,"Treponema"
"Porphyromonas_gulae",2.84305625620366,0.000635175020606369,0.0125975719196058,"Porphyromonas"
"Campylobacter_A_rectus",2.58861572392923,0.00155361184244873,0.0125975719196058,"Campylobacter_A"
"Prevotella_baroniae",2.49256740041393,0.00184289975855745,0.0155178155178155,"Prevotella"
"Campylobacter_A_showae_D",1.93282618284996,0.00200218549100579,0.016983016983017,"Campylobacter_A"
"Treponema_B_pedis",2.11327476308303,8.29196688323532e-05,0.0196470196470196,"Treponema_B"
"Leptotrichia_massiliensis",1.47359399664153,0.00236312883151824,0.0196470196470196,"Leptotrichia"
"GN02_873_sp003260345",5.09844452760642,0.00213861369452964,0.0197458791208791,"GN02_873"
"Bacteroides_heparinolyticus",3.80701856309325,0.00167620828033758,0.0228256591892956,"Bacteroides"
"Alloprevotella_sp003639005",2.43530636054576,0.00279554349780693,0.0228256591892956,"Alloprevotella"
"HOT_345_sp916049765",3.42111300513834,0.00301520873022612,0.0247513680349501,"HOT_345"
"Prevotella_sp900113305",2.11242240243436,0.00282985426768151,0.0247840394899218,"Prevotella"
"Peptoanaerobacter_margaretiae",1.9002539934909,0.00317491436693654,0.0261622435535479,"Peptoanaerobacter"
"Allisonella_pneumosinta",1.63470926254886,0.00355436650932855,0.0282717282717283,"Allisonella"
"Catonella_sp916438525",2.03743720348879,0.0038390827776913,0.0308423970395801,"Catonella"
"Campylobacter_A_showae_E",1.80108570071124,0.00417711145472619,0.0331057831057831,"Campylobacter_A"
"Treponema_C_maltophilum",1.8191608927001,0.00452161560399768,0.0356766521150083,"Treponema_C"
"Tannerella_forsythia_A",2.7555452988804,0.00401969903517635,0.0414652014652015,"Tannerella"
"Streptococcus_sp013394695",-2.35868862633778,0.00516599389203482,0.0414652014652015,"Streptococcus"
"Campylobacter_A_sp013201975",1.94578272687351,0.00160571666914208,0.041497975708502,"Campylobacter_A"
"Desulfovibrio_sp003860215",3.1812182678065,0.000907060660478141,0.0437095372160307,"Desulfovibrio"
"Desulfovibrio_sp000403945",2.32313091544464,7.66051292434312e-05,0.0470415660289078,"Desulfovibrio"
"Prevotella_marshii",2.46623326886222,0.00615074549842897,0.0470415660289078,"Prevotella"
"Campylobacter_A_showae_A",1.60815925055072,0.00664366645623419,0.0504745254745255,"Campylobacter_A"
"NIOZ_UU13_sp014384025",1.38758450631986,0.000208099032971047,0.0542140786043225,"NIOZ_UU13"
"Aggregatibacter_kilianii",1.62805851801097,0.00712543542657931,0.0542140786043225,"Aggregatibacter"
"Treponema_D_sp014334335",2.47265905817565,0.00718864913728657,0.0570754546658161,"Treponema_D"
"Desulfobulbus_oralis",3.09865846891755,0.00516964956532601,0.0614504543075972,"Desulfobulbus"
"CAJPNX01_sp905372165",3.28142883644505,0.00894538546789977,0.0664394429100311,"CAJPNX01"
"Prevotella_illustrans",3.00869246504967,0.00901754790343948,0.0668169040262064,"Prevotella"
"Streptococcus_constellatus",1.83353252576898,0.00913757381440251,0.0700776496231042,"Streptococcus"
"Peptostreptococcus_stomatis",1.7491924676752,0.00961327007869899,0.0700776496231042,"Peptostreptococcus"
"Prevotella_saccharolytica",1.16986123249611,0.0111117174327272,0.0804084804084804,"Prevotella"
"Gemella_morbillorum",1.44521576898086,0.0111142046116759,0.0804084804084804,"Gemella"
"Prevotella_sp003043945",2.52851358421813,0.0110975314176198,0.0809190809190809,"Prevotella"
"Treponema_sp010365865",1.18309802248635,0.011934613823099,0.0853277157624984,"Treponema"
"Capnocytophaga_leadbetteri",1.33434128850654,0.0128082736524284,0.0915643496288658,"Capnocytophaga"
"Treponema_D_paredis",1.61922798707056,0.0137351463261348,0.0982740663591728,"Treponema_D"
"Actinomyces_israelii",1.93243379060969,0.0147269547992176,0.103916916416916,"Actinomyces"
"Prevotella_micans",1.86347416476791,0.0147269547992176,0.103916916416916,"Prevotella"
"Olegusella_sp000466405",1.73298196519391,0.000112414164446659,0.109788171012661,"Olegusella"
"Pauljensenia_hongkongensis",1.33566878209411,0.0157780627672782,0.109788171012661,"Pauljensenia"
"Streptococcus_sp934201655",-1.64684136270745,0.0164901361385302,0.116223776223776,"Streptococcus"
"Prevotella_enoeca",2.29153489463865,0.0167053387302861,0.116223776223776,"Prevotella"
"Oribacterium_sp013394775",2.58468900951459,0.0103062189587906,0.116724859299117,"Oribacterium"
"Arachnia_massiliensis",1.38352152592987,0.0192627809789344,0.132906309376898,"Arachnia"
"Mogibacterium_timidum",1.95818855293448,0.0206706477181504,0.141421685111006,"Mogibacterium"
"Pyramidobacter_piscolens",2.49698008208482,0.00774704263035757,0.160116074401789,"Pyramidobacter"
"Peptidiphaga_sp905373325",2.31117430386213,0.0235320975095834,0.160116074401789,"Peptidiphaga"
"Capnocytophaga_bilenii",2.86116083970445,0.0243158189230781,0.160792038150529,"Capnocytophaga"
"Streptococcus_sinensis",2.47641457810969,0.024180796129006,0.165053128689492,"Streptococcus"
"Olsenella_uli",1.66733898616396,0.0251130332606392,0.165053128689492,"Olsenella"
"Campylobacter_A_showae",1.47632538316462,0.0251534542578404,0.165053128689492,"Campylobacter_A"
"Prevotella_sp000467895",1.08234552850303,0.0251624397710162,0.165053128689492,"Prevotella"
"Gemella_haemolysans_A",2.07427098073453,0.0262750722126003,0.176346176346176,"Gemella"
"Veillonella_sp900765235",-2.305483046191,0.0181349057913653,0.180569430569431,"Veillonella"
"Nanosyncoccus_nanoralicus",2.07253371741719,0.0268385319278214,0.180569430569431,"Nanosyncoccus"
"Rothia_sp902373285",-1.95500322701736,0.0280195088098454,0.180569430569431,"Rothia"
"Prevotella_sp018127805",1.8771271025155,0.0286014943002621,0.180569430569431,"Prevotella"
"Porphyromonas_sp905372525",1.64168780642037,0.0286064013089517,0.180569430569431,"Porphyromonas"
"Actinomyces_oricola",1.92626121785103,0.00178352518445091,0.187637362637363,"Actinomyces"
"Bacteroides_D_sp905373475",2.45679000969351,0.0304244343922628,0.187637362637363,"Bacteroides_D"
"Saccharimonas_sp905371715",1.69595219540429,0.0304244343922628,0.187637362637363,"Saccharimonas"
"Capnocytophaga_sp915070235",1.03714407306549,0.0304756460068921,0.187637362637363,"Capnocytophaga"
"HOT_345_sp003260355",1.60890543992142,0.0324435131572591,0.196185927893245,"HOT_345"
"Capnocytophaga_sputigena",1.19559346301052,0.0324488562560059,0.196185927893245,"Capnocytophaga"
"F0058_sp905372605",1.69392497584748,0.0324488562560059,0.196185927893245,"F0058"
"Quinella_sp015206805",0.822357516771992,9.16443851315455e-05,0.203725408449818,"Quinella"
"Slackia_exigua",1.10888165491987,0.0345249424120417,0.203725408449818,"Slackia"
"Alloprevotella_tannerae_A",1.47829543518625,0.0345305115153908,0.203725408449818,"Alloprevotella"
"Treponema_C_lecithinolyticum",2.10737094585661,0.0345305115153908,0.203725408449818,"Treponema_C"
"Arachnia_propionica",0.802610631695105,0.0367251980245714,0.21539700609468,"Arachnia"
"F0058_sp905372135",1.60098901756567,0.0367251980245714,0.21539700609468,"F0058"
"Bacteroides_D_sp013333835",1.45608331547674,0.0171408567175853,0.224881179426634,"Bacteroides_D"
"Alloprevotella_sp000318095",2.72661092557213,0.038699936074432,0.224881179426634,"Alloprevotella"
"Veillonella_sp900757715",1.2025640887437,0.03897725344745,0.224881179426634,"Veillonella"
"Mesocricetibacter_sp905373425",1.61357369963369,0.041447418073385,0.236554490285834,"Mesocricetibacter"
"Lachnoanaerobaculum_sp000209465",1.26952372428098,0.041466248067953,0.236554490285834,"Lachnoanaerobaculum"
"Berryella_intestinalis",1.15216908989782,0.000536399326008603,0.237740037740038,"Berryella"
"Streptococcus_symci",1.29327844484992,0.0438066829725619,0.248398660163366,"Streptococcus"
"Alloprevotella_rava",1.66176509235701,0.0466618256555418,0.261274956927131,"Alloprevotella"
"CAJPQU01_sp905373705",1.45481336624678,0.0467024507502387,0.261274956927131,"CAJPQU01"
"Johnsonella_sp900766185",1.5106675435848,0.0494211949704362,0.269653423499577,"Johnsonella"
"Leptotrichia_A_sp001274535",1.26247079700296,0.0494211949704362,0.269653423499577,"Leptotrichia_A"
"Streptococcus_mitis_BP",0.97001078351449,0.0495546510507297,0.269653423499577,"Streptococcus"
"Centipeda_infelix",1.07991478329722,0.0495616769140374,0.269653423499577,"Centipeda"
"Centipeda_sp000286455",1.44525796511925,0.0495616769140374,0.269653423499577,"Centipeda"
"Prevotella_sp002265625",1.07340099303512,0.000857081521410355,0.271207958707959,"Prevotella"
"Cutibacterium_granulosum",-1.82876279836102,0.0322372252846875,0.284308794653622,"Cutibacterium"
"Bacteroides_D_sp905373665",3.55696720094825,0.0442617078370485,0.292681003207319,"Bacteroides_D"
"Leptotrichia_trevisanii",1.14433766951227,0.0555835190968191,0.292681003207319,"Leptotrichia"
"Porphyromonas_sp915070105",1.79990547439926,0.0556514106602312,0.292681003207319,"Porphyromonas"
"Capnocytophaga_gingivalis",0.90636167925365,0.0556589549386516,0.292681003207319,"Capnocytophaga"
"Treponema_D_buccale",0.945601297159185,0.0556589549386516,0.292681003207319,"Treponema_D"
"Bulleidia_extructa",1.58515458036895,0.0560127942623894,0.292681003207319,"Bulleidia"
"Bergeyella_A_cardium",2.73737144573516,0.0566330458157896,0.292681003207319,"Bergeyella_A"
"Saccharimonas_sp013333675",1.53474718646514,0.0589033810327283,0.299252030021261,"Saccharimonas"
"Actinomyces_oris_A",-1.39527852592986,0.0589346135693781,0.299252030021261,"Actinomyces"
"Ottowia_sp001262075",1.76966648891535,0.0589346135693781,0.299252030021261,"Ottowia"
"Pauljensenia_sp019425105",1.48464970991168,0.0589346135693781,0.299252030021261,"Pauljensenia"
"AWVT01_sp916439735",-1.38452399740757,0.0369517840259433,0.312505104957935,"AWVT01"
"Lachnoanaerobaculum_gingivalis",1.35504703310205,0.060064278540689,0.312505104957935,"Lachnoanaerobaculum"
"Campylobacter_A_sp905372745",1.17320314700496,0.0623687416239562,0.312505104957935,"Campylobacter_A"
"Neisseria_cinerea",1.51885687017953,0.0641387121482104,0.31407967032967,"Neisseria"
"Streptococcus_oralis_BO",-1.74304976556822,0.0337006469961569,0.32166613873931,"Streptococcus"
"Streptococcus_pseudopneumoniae_J",2.10558396467479,0.0471671998078165,0.32166613873931,"Streptococcus"
"Capnocytophaga_sp002999135",1.76665144855562,0.0629363451388496,0.32166613873931,"Capnocytophaga"
"Prevotella_oralis",1.65312435690589,0.0659333763865008,0.32166613873931,"Prevotella"
"Mogibacterium_pumilum",1.46056426497379,0.0653990525313366,0.323839796567069,"Mogibacterium"
"Streptococcus_mitis_AD",1.25450135839481,0.0466479858502213,0.33757314114457,"Streptococcus"
