"feature","glr","p","padj","Genus"
"Oribacterium_asaccharolyticum",-2.90835360230955,0.001193311348114,0.107392607392607,"Oribacterium"
"Oribacterium_sinus",-3.7282268937342,0.001193311348114,0.107392607392607,"Oribacterium"
"CAJPNX01_sp905372165",6.31064760510637,0.00241797893015389,0.182817182817183,"CAJPNX01"
"Streptococcus_sp000235485",3.17594326833382,0.00260808920241186,0.182817182817183,"Streptococcus"
"Campylobacter_A_sp905372745",2.99815486282742,0.00287087342876334,0.185614385614386,"Campylobacter_A"
"Neisseria_cinerea",3.95385992894754,0.0033927362667161,0.201631701631702,"Neisseria"
"Streptococcus_oralis_AA",2.73046787826364,0.00511360231552072,0.323343323343323,"Streptococcus"
"Porphyromonas_sp018127745",6.0924161919973,0.00616050064150234,0.323343323343323,"Porphyromonas"
"Porphyromonas_sp905372565",5.40706123143819,0.00648290589750309,0.323343323343323,"Porphyromonas"
"Streptococcus_sp012843315",3.27059823826109,0.00679920556805825,0.327944782490237,"Streptococcus"
"Kingella_B_oralis",-2.68587538153631,0.00758172298827015,0.327944782490237,"Kingella_B"
"Eikenella_corrodens_B",2.4542550794618,0.00882928781328296,0.36956376956377,"Eikenella"
"Johnsonella_sp905373785",2.93083098591242,0.0101059122695481,0.36956376956377,"Johnsonella"
"Streptococcus_infantis_B",-3.06986379163472,0.0101815564114662,0.36956376956377,"Streptococcus"
"Leptotrichia_buccalis",3.51020184960369,0.0102405802070053,0.36956376956377,"Leptotrichia"
"Campylobacter_A_massiliensis",2.24387922880492,0.0128117039904956,0.37448914721642,"Campylobacter_A"
"Neisseria_sp002237445",4.13376406317244,0.0136820533554427,0.37448914721642,"Neisseria"
"Bergeyella_A_cardium",4.38790290042586,0.013745102017887,0.37448914721642,"Bergeyella_A"
"Campylobacter_A_showae",2.88333827417505,0.0137766749106499,0.37448914721642,"Campylobacter_A"
"Neisseria_meningitidis",2.57937499755642,0.0137872063948434,0.37448914721642,"Neisseria"
"Neisseria_subflava",1.82473283076682,0.0137872063948434,0.37448914721642,"Neisseria"
"Neisseria_subflava_A",2.2357648009289,0.0137872063948434,0.37448914721642,"Neisseria"
"Eikenella_halliae",2.31993088574081,0.0159009588707338,0.38607546299854,"Eikenella"
"JABCPE02_sp013333875",1.54411124426659,0.0159126572464911,0.38607546299854,"JABCPE02"
"Actinomyces_sp000195595",3.04264331933282,0.0170673218820573,0.38607546299854,"Actinomyces"
"Haemophilus_A_parahaemolyticus",4.54180970749303,0.0170673218820573,0.38607546299854,"Haemophilus_A"
"Actinomyces_sp011752065",2.56867901474932,0.0155630383969564,0.386979686979687,"Actinomyces"
"Streptococcus_cristatus_C",2.21112083022028,0.0181916710116812,0.386979686979687,"Streptococcus"
"Neisseria_perflava_A",1.53889955380044,0.0183210411746916,0.386979686979687,"Neisseria"
"Prevotella_melaninogenica_B",-2.21914360402304,0.0183210411746916,0.386979686979687,"Prevotella"
"Veillonella_sp900556785",-1.97996005673446,0.00655416124529483,0.407649493363779,"Veillonella"
"Streptococcus_sp905373305",2.47670601347511,0.0136657438744198,0.407649493363779,"Streptococcus"
"Streptococcus_cristatus_B",2.68271084437517,0.0207574361348857,0.407649493363779,"Streptococcus"
"Prevotella_sp000163055",3.9211813297526,0.0209855259836952,0.407649493363779,"Prevotella"
"Kingella_A_denitrificans",2.32969254566125,0.0210426968274546,0.407649493363779,"Kingella_A"
"Catonella_massiliensis",-1.77612740977244,0.0241101181798572,0.433303538566696,"Catonella"
"Ottowia_sp001262075",4.40706458406966,0.0241101181798572,0.433303538566696,"Ottowia"
"Prevotella_sp018127805",3.0961069084898,0.0241101181798572,0.433303538566696,"Prevotella"
"Haemophilus_A_parahaemolyticus_A",2.09182816639361,0.0195132945807325,0.456440111612525,"Haemophilus_A"
"Nanosyncoccus_sp916049555",-2.85218356511668,0.0214658461904833,0.456440111612525,"Nanosyncoccus"
"Streptococcus_sp000831085",2.40663540032568,0.0215302783203962,0.456440111612525,"Streptococcus"
"Leptotrichia_shahii",2.56777717146642,0.0261212364592674,0.456440111612525,"Leptotrichia"
