"feature","glr","p","padj","Genus"
"Prevotella_micans",-3.07325013313521,0.000201543186257542,0.0223110223110223,"Prevotella"
"Kingella_B_oralis",-4.43424142091265,0.000229052398861478,0.0223110223110223,"Kingella_B"
"Pauljensenia_georgiae",-2.14383206457986,0.000276763358695645,0.0223110223110223,"Pauljensenia"
"Johnsonella_ignava",-2.76252424080746,0.000391850888977211,0.0314685314685315,"Johnsonella"
"Cardiobacterium_hominis",-1.92738565226703,0.000697836583363817,0.0494505494505494,"Cardiobacterium"
"Pauljensenia_hongkongensis",-2.8232495701495,0.00078513323098768,0.0494505494505494,"Pauljensenia"
"Prevotella_maculosa",-1.5186836260543,0.00111156934227085,0.0652204937919224,"Prevotella"
"Treponema_D_sp024696245",-2.64375433707693,0.00134271523177937,0.0691308691308691,"Treponema_D"
"Eubacterium_N_saphenum",-5.36499146012749,0.00136553566161391,0.0691308691308691,"Eubacterium_N"
"Centipeda_artemidis",-2.97595741982693,0.00139370573076139,0.0691308691308691,"Centipeda"
"Prevotella_sp900113305",-2.0901852737321,0.00144225019385492,0.0691308691308691,"Prevotella"
"Actinomyces_massiliensis",-2.33362411926039,0.00174287259675209,0.0691308691308691,"Actinomyces"
"CAJPSE01_sp905373185",-2.27512796525739,0.00194549485969886,0.0691308691308691,"CAJPSE01"
"CAJPSE01_sp003860125",-2.21112851022688,0.00214327164102908,0.0691308691308691,"CAJPSE01"
"Granulicatella_sp916050055",2.00263548994915,0.00216427273882712,0.0691308691308691,"Granulicatella"
"Tannerella_forsythia",-2.14604591640019,0.00241702205679557,0.0736138861138861,"Tannerella"
"Pseudoleptotrichia_goodfellowii",-2.69451176070829,0.00239107843297663,0.0816830228594935,"Pseudoleptotrichia"
"Peptidiphaga_sp000466165",-2.54262813232338,0.00299109121548358,0.0861915861915862,"Peptidiphaga"
"Kingella_B_oralis_A",-3.2055270090679,0.00268493679696668,0.0908636817727727,"Kingella_B"
"Porphyromonas_endodontalis",-2.29888966433632,0.00368706633699365,0.0908636817727727,"Porphyromonas"
"Rothia_mucilaginosa_B",1.58314081560138,0.00368706633699365,0.0908636817727727,"Rothia"
"Streptococcus_sanguinis",-1.43298974073487,0.00368706633699365,0.0908636817727727,"Streptococcus"
"Streptococcus_mitis_AZ",2.07262981840826,0.00290489521441924,0.0994223168136212,"Streptococcus"
"Peptoanaerobacter_margaretiae",-1.79784887517375,0.0044796903088427,0.101658341658342,"Peptoanaerobacter"
"Leptotrichia_hongkongensis",-2.09582277084287,0.0045034546893326,0.101658341658342,"Leptotrichia"
"CAJPNN01_sp905372035",-2.85299045854989,0.0048657147381651,0.107078107078107,"CAJPNN01"
"Alloprevotella_sp003639005",-2.3524878643742,0.00500937040451173,0.107078107078107,"Alloprevotella"
"Centipeda_sp000468035",-2.05223415793263,0.00553740098457272,0.108458208458208,"Centipeda"
"Fretibacterium_fastidiosum",-2.4837897311366,0.00553740098457272,0.108458208458208,"Fretibacterium"
"Porphyromonas_catoniae",-2.2026903491226,0.00553740098457272,0.108458208458208,"Porphyromonas"
"Peptoanaerobacter_yurii",-1.57316978327688,0.00631441867461589,0.119847894041442,"Peptoanaerobacter"
"Treponema_D_sp024697295",-1.52246918146073,0.00272832367244544,0.124814579360034,"Treponema_D"
"Arachnia_rubra",-3.25086667481815,0.0067433815112058,0.124814579360034,"Arachnia"
"Prevotella_conceptionensis",-1.41843730181583,0.0074361505616349,0.131725417439703,"Prevotella"
"Rothia_mucilaginosa_A",2.17139496787425,0.0074361505616349,0.131725417439703,"Rothia"
"Streptococcus_sanguinis_H",-1.37898480035336,0.00818820400485713,0.143523143523144,"Streptococcus"
"Rothia_sp024294905",2.97797269531134,0.0059950579937026,0.153083758346916,"Rothia"
"Streptococcus_mitis_BP",-1.04938991497717,0.00900761791339312,0.153083758346916,"Streptococcus"
"Actinomyces_oris",-1.85050765869608,0.00989948645712085,0.158475670670793,"Actinomyces"
"Arachnia_sp905372155",-2.22800609817274,0.00989948645712085,0.158475670670793,"Arachnia"
"Streptococcus_oralis",-1.22577446708048,0.00989948645712085,0.158475670670793,"Streptococcus"
"Neisseria_perflava_B",1.99567002873818,0.00319570065910863,0.164095904095904,"Neisseria"
"PUIC01_sp017418605",-1.97489151516404,0.0108691950630786,0.164095904095904,"PUIC01"
"Bulleidia_extructa",-2.71477948174683,0.0110325683252171,0.164095904095904,"Bulleidia"
"Prevotella_marshii",-2.20525506469184,0.0119022809385249,0.164095904095904,"Prevotella"
"Gallibacter_brachus",-2.39109920995861,0.0119173899445635,0.164095904095904,"Gallibacter"
"Filifactor_alocis",-1.94230987643027,0.0119224282648445,0.164095904095904,"Filifactor"
"Halomonas_desiderata",-1.70278776528222,0.0119224282648445,0.164095904095904,"Halomonas"
"Prevotella_saccharolytica",-1.30362981917614,0.0119224282648445,0.164095904095904,"Prevotella"
"W11650_sp002999035",-2.76050508678489,0.0119224282648445,0.164095904095904,"W11650"
"Leptotrichia_massiliensis",-1.03950280609053,0.0130651769243228,0.174296291943351,"Leptotrichia"
"Streptococcus_oralis_BH",-1.47783402351681,0.0038503040796969,0.17988677988678,"Streptococcus"
"Streptococcus_parasanguinis_F",1.80315257580353,0.0093699782948621,0.17988677988678,"Streptococcus"
"Actinomyces_ruminicola",1.58844413244176,0.0133253608981428,0.17988677988678,"Actinomyces"
"Pauljensenia_odontolytica_B",-1.61885177166544,0.0143037447319533,0.17988677988678,"Pauljensenia"
"Neisseria_polysaccharea",2.78502765795769,0.0151311923560083,0.17988677988678,"Neisseria"
"Prevotella_seregens",-2.3001360530426,0.0156201316581056,0.17988677988678,"Prevotella"
"Actinomyces_oris_B",-1.46176815322709,0.0156385967740036,0.17988677988678,"Actinomyces"
"Campylobacter_B_gracilis_A",-1.47968197894617,0.0156385967740036,0.17988677988678,"Campylobacter_B"
"Neisseria_subflava",1.31640108362567,0.0156447538880169,0.17988677988678,"Neisseria"
"Prevotella_loescheii",-2.04802706539763,0.0156447538880169,0.17988677988678,"Prevotella"
"Streptococcus_sp002355895",2.2715893797571,0.0158252838378521,0.17988677988678,"Streptococcus"
"CAG_793_sp013333035",1.91043444978083,0.0159686628846867,0.17988677988678,"CAG_793"
"Lachnoanaerobaculum_sp916439105",1.88115889752006,0.0170295311149681,0.17988677988678,"Lachnoanaerobaculum"
"Streptococcus_sp001556435",2.09975272684948,0.0170295311149681,0.17988677988678,"Streptococcus"
"Alloprevotella_tannerae",-1.43959169431956,0.0170951498648216,0.17988677988678,"Alloprevotella"
"Mogibacterium_timidum",-1.6979113665906,0.0170951498648216,0.17988677988678,"Mogibacterium"
"Bacteroides_D_periocalifornicus",-2.70430766771025,0.0171491100282009,0.17988677988678,"Bacteroides_D"
"Veillonella_sp934190855",-2.37412703697271,0.0179162027317462,0.17988677988678,"Veillonella"
"Bacteroides_D_sp905373475",-3.08492715998318,0.0184180199045893,0.17988677988678,"Bacteroides_D"
"Saccharimonas_sp013333675",-1.94582771639077,0.0185923062197236,0.17988677988678,"Saccharimonas"
"Streptococcus_australis_C",1.74447182830555,0.0186552105248753,0.17988677988678,"Streptococcus"
"Treponema_B_sp905372345",-2.71033965155861,0.0186552105248753,0.17988677988678,"Treponema_B"
"Actinomyces_sp915069725",-2.10742226026185,0.0186622051471946,0.17988677988678,"Actinomyces"
"Campylobacter_B_gracilis",-1.24803128476281,0.019434147154661,0.17988677988678,"Campylobacter_B"
"Streptococcus_mitis_F",1.91286189586749,0.0102953771227027,0.183841158841159,"Streptococcus"
"Streptococcus_oralis_O",2.2816634112372,0.0177163558331812,0.183841158841159,"Streptococcus"
"Campylobacter_B_sp900539505",-1.32204014941259,0.0203163258219091,0.183841158841159,"Campylobacter_B"
"Prevotella_pleuritidis",-2.83373337403076,0.0203237629246867,0.183841158841159,"Prevotella"
"Treponema_sp018336815",-1.54803210247619,0.0203535218469354,0.183841158841159,"Treponema"
"Allisonella_pneumosinta",-1.8499223953859,0.0217358800875467,0.183963763509218,"Allisonella"
"Mesocricetibacter_sp905373425",-2.5618177189408,0.0220190993731877,0.183963763509218,"Mesocricetibacter"
"Alloprevotella_tannerae_A",-2.16837504167636,0.0221770330857637,0.183963763509218,"Alloprevotella"
"Capnocytophaga_sp000192225",-1.11563881332566,0.0221770330857637,0.183963763509218,"Capnocytophaga"
"Porphyromonas_gingivalis",-2.20287954149278,0.0221770330857637,0.183963763509218,"Porphyromonas"
"Treponema_sp905372265",-3.43471294300819,0.0221770330857637,0.183963763509218,"Treponema"
"Treponema_sp905373565",-2.10938206902905,0.0221770330857637,0.183963763509218,"Treponema"
"Veillonella_parvula_A",-1.65474296709732,0.0221770330857637,0.183963763509218,"Veillonella"
"Pauljensenia_sp000185285",-1.41629066325964,0.0231327850285296,0.184781510624207,"Pauljensenia"
"Streptococcus_parasanguinis_P",1.8475643918263,0.0176661825865385,0.189980232533424,"Streptococcus"
"Streptococcus_sp902836505",2.18015918672508,0.0231416245137599,0.189980232533424,"Streptococcus"
