"feature","rho","p","padj","Genus","Phylum"
"Veillonella_rogosae",-0.598661328979878,3.78612596052335e-11,4.50170376706227e-08,"Veillonella","Bacillota_C"
"Arachnia_rubra",-0.558169837008401,1.32370746877067e-09,7.86944090184165e-07,"Arachnia","Actinomycetota"
"Kingella_B_oralis",-0.541185415965268,5.12511969718867e-09,1.95391184288876e-06,"Kingella_B","Pseudomonadota"
"Veillonella_sp934190855",-0.537957524922354,6.57329467750635e-09,1.95391184288876e-06,"Veillonella","Bacillota_C"
"Streptococcus_sinensis",0.50366042273003,7.92505299636543e-08,1.75033975410286e-05,"Streptococcus","Bacillota"
"Pauljensenia_sp018382595",-0.500207612725556,1.00321297963278e-07,1.75033975410286e-05,"Pauljensenia","Actinomycetota"
"Actinomyces_massiliensis",-0.499812484820115,1.0304775675963e-07,1.75033975410286e-05,"Actinomyces","Actinomycetota"
"Cutibacterium_acnes",-0.494219905235404,1.50072227583006e-07,2.23044848245243e-05,"Cutibacterium","Actinomycetota"
"Leptotrichia_buccalis",0.486159295964397,2.55005525760803e-07,3.36890633477327e-05,"Leptotrichia","Fusobacteriota"
"Kingella_B_oralis_A",-0.476384439472859,4.76390609381586e-07,5.6198474579816e-05,"Kingella_B","Pseudomonadota"
"Lawsonella_clevelandensis_A",-0.474992373467534,5.19918604186691e-07,5.6198474579816e-05,"Lawsonella","Actinomycetota"
"Pauljensenia_sp001072465",-0.452998946361574,1.96858064972183e-06,0.000192873732764602,"Pauljensenia","Actinomycetota"
"Pseudoleptotrichia_goodfellowii",-0.451819641536102,2.10879606891491e-06,0.000192873732764602,"Pseudoleptotrichia","Fusobacteriota"
"Phreatobacter_oligotrophus",-0.448178385915187,2.60373155941521e-06,0.000206334840763261,"Phreatobacter","Pseudomonadota"
"PUIC01_sp017418605",-0.447357735650039,2.72952201604895e-06,0.000206334840763261,"PUIC01","Pseudomonadota"
"Streptococcus_oralis_BN",-0.447059869998245,2.77658322305482e-06,0.000206334840763261,"Streptococcus","Bacillota"
"Rothia_dentocariosa",-0.445376017231979,3.05737084246766e-06,0.000213836113629061,"Rothia","Actinomycetota"
"Halomonas_desiderata",-0.443607059993771,3.38111882413142e-06,0.000218163275245137,"Halomonas","Pseudomonadota"
"Ralstonia_mannitolilytica",-0.442658753020712,3.56774001828027e-06,0.000218163275245137,"Ralstonia","Pseudomonadota"
"Actinomyces_sp915069725",-0.44216028397077,3.66969344398885e-06,0.000218163275245137,"Actinomyces","Actinomycetota"
"Sphingomonas_echinoides",-0.437923297046266,4.65440617238876e-06,0.000254164383899971,"Sphingomonas","Pseudomonadota"
"Haemophilus_D_parainfluenzae",-0.436956753400648,4.91157380811778e-06,0.000254164383899971,"Haemophilus_D","Pseudomonadota"
"Nocardiopsis_salina",-0.436938516728089,4.91655242195066e-06,0.000254164383899971,"Nocardiopsis","Actinomycetota"
"Streptococcus_sp002355895",0.42644027222505,8.72522907425821e-06,0.000432262390387209,"Streptococcus","Bacillota"
"Haemophilus_D_sp001815355",-0.424172845936901,9.85145015613676e-06,0.000468534969425864,"Haemophilus_D","Pseudomonadota"
"Halalkalicoccus_sp022561895",-0.423084724474224,1.04391993808088e-05,0.000476944839247675,"Halalkalicoccus","Halobacteriota"
"Actinomyces_oricola",0.422391730916988,1.08305388222769e-05,0.000476944839247675,"Actinomyces","Actinomycetota"
"Capnocytophaga_bilenii",0.420258040227604,1.21238349236629e-05,0.000514829990151257,"Capnocytophaga","Bacteroidota"
"Pelomonas_puraquae",-0.418258085136984,1.346661959846e-05,0.000536069215996704,"Pelomonas","Pseudomonadota"
"Rodentibacter_myodis",-0.417145648110895,1.42727524122883e-05,0.000536069215996704,"Rodentibacter","Pseudomonadota"
"Prevotella_sp900319715",-0.417017991402983,1.43681039766731e-05,0.000536069215996704,"Prevotella","Bacteroidota"
"Alloprevotella_tannerae",-0.416938965821895,1.44274305398608e-05,0.000536069215996704,"Alloprevotella","Bacteroidota"
"Prevotella_micans",-0.415638083179364,1.54377075841453e-05,0.000556225282349962,"Prevotella","Bacteroidota"
"Cardiobacterium_hominis",-0.414628987297775,1.62667178510422e-05,0.000568856691908504,"Cardiobacterium","Pseudomonadota"
"Saccharimonas_sp905372095",-0.413455761363157,1.72830503303301e-05,0.000569611065858118,"Saccharimonas","Patescibacteria"
"Haemophilus_D_sp900764435",-0.412975528985774,1.77160017408559e-05,0.000569611065858118,"Haemophilus_D","Pseudomonadota"
"Saccharimonas_sp015257605",-0.412939055640656,1.77492964450031e-05,0.000569611065858118,"Saccharimonas","Patescibacteria"
"Treponema_D_parvum_A",0.412446665481567,1.82045588751964e-05,0.000569611065858118,"Treponema_D","Spirochaetota"
