"from","to","r","p","fdr"
"Treponema_B_denticola_A","N_1234_Tetrahydroharmane_3_carboxylic_acid",-0.499874020156775,2.50387938192645e-07,0.241574282768263
"Centipeda_artemidis","N_CYTOSINE",0.473264277715566,1.27618895774865e-06,0.35303545325236
"Treponema_B_denticola_B","N_1234_Tetrahydroharmane_3_carboxylic_acid",-0.46934490481523,1.60378912086476e-06,0.35303545325236
"Bifidobacterium_dentium","P_Benzamide",0.469274916013438,1.61030491629841e-06,0.35303545325236
"Peptidiphaga_sp000466165","P_Carnitine",-0.46706326987682,1.82957842688827e-06,0.35303545325236
"Treponema_B_sp905372345","N_1234_Tetrahydroharmane_3_carboxylic_acid",-0.463101903695409,2.29453030481059e-06,0.368960473013544
"Streptococcus_cristatus_F","P_Benzothiazole",-0.454171332586786,3.78388585262303e-06,0.419599233320591
"Streptococcus_anginosus","P_1-Methylnicotinamide",-0.452141657334826,4.23119853380269e-06,0.419599233320591
"Streptococcus_sp013394695","N_Salicylic alcohol",0.451301791713326,4.43049361500096e-06,0.419599233320591
"Streptococcus_sp943914425","N_2,8-Quinolinediol",0.450811870100784,4.55080000889127e-06,0.419599233320591
"Haemophilus_D_parainfluenzae_L","P_Carnitine",-0.445156774916013,6.18161224341694e-06,0.419599233320591
"Capnocytophaga_sp000466425","P_5-Aminovaleric acid",-0.445142777155655,6.18625852072899e-06,0.419599233320591
"Streptococcus_sinensis","P_Deprenyl",0.444694848824188,6.33668669204836e-06,0.419599233320591
"Prevotella_sp905372445","N_1234_Tetrahydroharmane_3_carboxylic_acid",-0.444064949608063,6.55405898802903e-06,0.419599233320591
"Treponema_B_putidum","N_1234_Tetrahydroharmane_3_carboxylic_acid",-0.443225083986562,6.85481763753712e-06,0.419599233320591
"Cutibacterium_acnes","P_Carnitine",-0.441489361702128,7.51800669135819e-06,0.419599233320591
"Actinomyces_massiliensis","N_(S)-LACTATE",0.440901455767077,7.75599491154439e-06,0.419599233320591
"Streptococcus_sinensis","P_Lauryl diethanolamide",0.439977603583427,8.14433821340635e-06,0.419599233320591
"Treponema_D_sp905372235","N_1234_Tetrahydroharmane_3_carboxylic_acid",-0.438577827547592,8.76772663075784e-06,0.419599233320591
"VGLK01_sp013333495","P_5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid",0.437276035834266,9.38748387923197e-06,0.419599233320591
"Centipeda_infelix","N_CYTOSINE",0.4369960806271,9.52603678086498e-06,0.419599233320591
"Streptococcus_sp015256435","P_Harmalol",0.43691209406495,9.56797588417599e-06,0.419599233320591
"Treponema_B_putidum","P_ectoine",-0.435274356103024,1.04212912688474e-05,0.42256548641698
"Streptococcus_sinensis","P_Acridine",0.434602463605823,1.07916338919411e-05,0.42256548641698
"Halomonas_desiderata","P_Carnitine",-0.434322508398656,1.09495617334416e-05,0.42256548641698
"Saccharimonas_sp927910745","N_4-Hydroxyproline",-0.431872900335946,1.24270401637459e-05,0.461138782691615
"F0422_sp900544365","P_2,2'-(Tetradecylimino)diethanol",-0.428815841107722,1.45336919133992e-05,0.500209456619978
"Capnocytophaga_bilenii","P_XANTHURENIC ACID",-0.428457446808511,1.48015068675309e-05,0.500209456619978
"Prevotella_oris","P_5-Aminovaleric acid",0.428149496080627,1.50353174149869e-05,0.500209456619978
"Streptococcus_cristatus_F","P_Oxolinic acid",0.426538728337574,1.63157766553535e-05,0.505999669479256
"Treponema_B_putidum","N_2hydroxy_PhenylAceticAcid",-0.426119820828667,1.66651517199685e-05,0.505999669479256
"GN02_872_sp002761215","P_MPL-dm",0.425980678103869,1.67827419396105e-05,0.505999669479256
"Saccharimonas_sp927910745","N_Sodium 2-Oxobutyrate",-0.423740201567749,1.87865935104453e-05,0.521439052056301
"Treponema_B_sp905372345","N_4-hydroxyphenylacetic acid",-0.423670212765957,1.88526613076959e-05,0.521439052056301
"Nanosynbacter_sp010202465","P_(E)-5-hydroxy-3-isobutyl-6-(3-methylbenzylidene)-1,6-dihydropyrazin-2(3H)-one",-0.423432250839866,1.90789236841452e-05,0.521439052056301
"Kingella_B_oralis","P_Carnitine",-0.42171052631579,2.07933924338421e-05,0.521439052056301
"Pauljensenia_sp000466265","P_L-METHIONINE",-0.421290593505039,2.12329080863494e-05,0.521439052056301
"Streptococcus_oralis_Y","P_Homoserine",-0.421010638297872,2.15307350999751e-05,0.521439052056301
"Prevotella_timonensis","P_Harmane",-0.420562709966405,2.20154066594284e-05,0.521439052056301
"Mogibacterium_pumilum","N_Glutaric acid",-0.419834826427772,2.28248402627571e-05,0.521439052056301
"Streptococcus_sp000220065","N_Erythronolactone",0.419820828667413,2.28406758788623e-05,0.521439052056301
"Mogibacterium_sp916438865","N_Creatine",-0.419778835386338,2.2888244453393e-05,0.521439052056301
"Streptococcus_oralis","P_Carnitine",-0.419470884658455,2.32399245837696e-05,0.521439052056301
"Streptococcus_oralis_AA","P_7-O-Methyl morroniside",0.417837946399127,2.51907993247794e-05,0.538614842309394
"Prevotella_sp003043945","P_5'-Methylthioadenosine",-0.417609182530795,2.54760315241859e-05,0.538614842309394
"VGLK01_sp905372785","P_skimmianine",0.417092724991093,2.61311203654133e-05,0.538614842309394
"Haemophilus_D_sp900764435","P_Pyrrolidine; CE30; RWRDLPDLKQPQOW-UHFFFAOYSA-N",0.416377379619261,2.70645432343616e-05,0.538614842309394
"Saccharimonas_sp905372275","N_2-Aminoethylphosphonic acid",0.416097424412094,2.74382631351501e-05,0.538614842309394
"Treponema_B_putidum","N_4-hydroxyphenylacetic acid",-0.416069428891377,2.74758993890165e-05,0.538614842309394
"Streptococcus_sp905221325","P_3-AMINO-4-HYDROXYBENZOATE",-0.415607502799552,2.81039103971518e-05,0.538614842309394
"PUIC01_sp017418605","P_Carnitine",-0.415341545352744,2.84715557190911e-05,0.538614842309394
"Kingella_B_oralis_A","P_Paracetamol",0.414767637178052,2.92802719652085e-05,0.543261661385253
"Treponema_B_sp905372345","N_2hydroxy_PhenylAceticAcid",-0.413423852183651,3.12586313151754e-05,0.569025047035494
"Mogibacterium_pumilum","N_CREATININE",-0.411338185890258,3.4578168091013e-05,0.592722218981403
"Saccharimonas_sp927910745","P_Ternidazole",-0.410925242598867,3.5273289172746e-05,0.592722218981403
"Actinomyces_massiliensis","N_CYTOSINE",0.410778275475924,3.55238173777002e-05,0.592722218981403
"Streptococcus_sp905221345","P_Carnitine",-0.410624300111982,3.57880743076672e-05,0.592722218981403
"Saccharimonas_sp905372095","N_2-Aminoethylphosphonic acid",0.409854423292273,3.7137122065651e-05,0.592722218981403
"Parvimonas_sp000214475","P_Cyprodinil-TP CGA 249287",0.40979843225084,3.72370642173396e-05,0.592722218981403
