"saliva_microbe","urine_microbe","urine_metab","ACME","ACME_p","ADE","prop_med","total_p","ACME_fdr"
"Bacteroides_D_sp013333195","Bacteroides_uniformis","P_(13E)-1-amino-13-ethylidene-11-methyl-6-azatricyclo_]trideca-2(7),3,5,10-tetraen-5-ol",-0.0580421302496414,0.126666666666667,-0.029731129953362,0.24295244323452,0.546666666666667,1
"Bacteroides_D_sp013333195","Bacteroides_uniformis","P_Moroxydine",-0.041440000725004,0.146666666666667,-0.052015670560006,0.272866105364521,0.353333333333333,1
"Bacteroides_D_sp013333195","Alistipes_onderdonkii","P_Moroxydine",0.0391282977635684,0.18,-0.122239492182499,-0.201171727234671,0.386666666666667,1
"Prevotella_illustrans","Nesterenkonia_massiliensis","P_3-Aminoacetophenon",0.0270797863871236,0.24,-0.0413000894766823,-0.0506485351102037,0.84,1
"Bacteroides_D_sp013333195","Bacteroides_uniformis","N_Dehydroascorbic acid",0.0201323535650512,0.266666666666667,-0.00936112505444443,0.0522158590220451,0.88,1
"Gemella_sp927911695","Ralstonia_mannitolilytica","P_Schinifoline",-0.0251079949682501,0.353333333333333,0.00447149222883058,0.0561787835437287,0.886666666666667,1
"Streptococcus_sp905221505","JABCPE02_sp013333255","N_ProtocatechicAcid",-0.00901978658045212,0.36,0.038088687985205,-0.0667575799127681,0.513333333333333,1
"Streptococcus_rubneri","Haladaptatus_litoreus","N_6-Hydroxynicotinic acid",0.0072016212332377,0.406666666666667,0.0274259671531189,0.089822832566379,0.38,1
"Streptococcus_rubneri","Haladaptatus_litoreus","P_Mesalazine",0.00942987646784553,0.466666666666667,0.0942992567048997,0.0532107325566043,0.18,1
"Streptococcus_pseudopneumoniae_G","CAG_485_sp009775375","N_ProtocatechicAcid",-0.00424538751011515,0.466666666666667,-0.0326459536618525,0.0445299427478654,0.32,1
"Bacteroides_D_sp013333195","Prevotella_baroniae","N_Hydroxyferulic acid",0.0444214904027734,0.473333333333333,-0.34410612474522,-0.13088643269364,0.0466666666666667,1
"JABZIP01_sp015258265","Nesterenkonia_massiliensis","P_3-Aminoacetophenon",-0.00848489870347909,0.473333333333333,-0.0364866913049183,0.0408942761203641,0.566666666666667,1
"Actinomyces_oris_A","UBA3263_sp001689615","N_ProtocatechicAcid",-0.0101677034762109,0.5,0.146269875828576,-0.0509200660788861,0.0933333333333333,1
"Alloprevotella_tannerae_A","Finegoldia_magna_H","P_Metolachlor",0.0780076183449472,0.506666666666667,0.44461852108909,0.0688696895635799,0.326666666666667,1
"Streptococcus_oralis_V","Muribaculum_gordoncarteri","P_Moroxydine",-0.0133865145809594,0.513333333333333,0.0611883422607903,-0.0703564815118037,0.473333333333333,1
"Bacteroides_D_sp013333195","BOG_935_sp003165275","P_Moroxydine",0.0132593010379858,0.52,-0.0914673160014184,-0.0295577022275794,0.486666666666667,1
"Streptococcus_cristatus_F","Moraxella_sp916720335","P_Moroxydine",0.00852141644564925,0.52,0.120412949746148,0.0523764596143122,0.0333333333333333,1
"Bacteroides_D_sp013333195","Bacteroides_uniformis","P_Coumaric acid (isomer of 189, 194)",-0.00643080061146962,0.52,-0.0133561790677146,0.0378040974334392,0.713333333333333,1
"Bacteroides_D_sp013333195","Bacteroides_uniformis","N_Hydroxyferulic acid",0.0207379777729727,0.52,-0.30406051471727,-0.0476386792504182,0.0866666666666667,1
"Streptococcus_pseudopneumoniae_G","JABCPE02_sp013333255","N_ProtocatechicAcid",-0.00516474978544628,0.533333333333333,-0.0346024942963867,0.0702500163694703,0.246666666666667,1
"Bacteroides_D_sp013333195","Streptococcus_rubneri","P_Moroxydine",-0.0111499257176998,0.566666666666667,-0.0849926687538817,0.0706754591063477,0.306666666666667,1
"Bacteroides_D_sp013333195","Xanthomonas_campestris","N_3-Hydroxypropanoic acid",-0.00595998926218535,0.573333333333333,-0.0229419245711385,0.0180005205150976,0.78,1
"Streptococcus_sp023115445","Comamonas_thiooxydans","N_N-Acetylornithine",-0.00706578046238533,0.58,-0.173770908535151,0.0238813760504179,0.00666666666666667,1
"Bacteroides_D_sp013333195","Neisseria_mucosa_A","N_Hydroxyferulic acid",0.0135443722832114,0.586666666666667,-0.306812717911021,-0.0289260655326604,0.0333333333333333,1
"Bacteroides_D_sp013333195","BOG_935_sp003165275","P_(13E)-1-amino-13-ethylidene-11-methyl-6-azatricyclo_]trideca-2(7),3,5,10-tetraen-5-ol",0.0134117162640759,0.613333333333333,-0.0965636578010198,-0.00572524136861791,0.626666666666667,1
"Streptococcus_pseudopneumoniae_G","Duncaniella_muris","N_ProtocatechicAcid",-0.00265036382297849,0.613333333333333,-0.0337386632178641,0.0305179832110458,0.286666666666667,1
"Veillonella_tobetsuensis","Nesterenkonia_massiliensis","P_3-Aminoacetophenon",-0.0140005988313568,0.62,-0.0108664335990317,0.022065216816269,0.906666666666667,1
"Alloprevotella_tannerae_A","Xanthomonas_campestris","N_Dehydroascorbic acid",-0.00929456981902446,0.64,-0.0467033303934214,0.032630889631743,0.64,1
"Veillonella_sp019419725","Nesterenkonia_alkaliphila","P_Harman",-0.00515189619340343,0.653333333333333,0.0372456856746737,-0.0197480694991938,0.553333333333333,1
"Bacteroides_D_sp013333195","Neisseria_mucosa_A","P_Moroxydine",-0.00723426002638489,0.66,-0.0873655289116825,0.0298690979896407,0.413333333333333,1
"Alloprevotella_tannerae_A","Nesterenkonia_alkaliphila","P_Harman",-0.0162981503538446,0.66,0.0883377068153407,-0.0675813234161595,0.56,1
"Bacteroides_D_sp013333195","Saliphagus_infecundisoli","P_Moroxydine",-0.00530488449128034,0.7,-0.0783425026272664,0.0241819932813889,0.42,1
"Bacteroides_D_sp013333195","BOG_935_sp003165275","P_5-OXO-L-PROLINE",-0.00303073260914959,0.706666666666667,0.0290856640288221,0.00806827602510941,0.706666666666667,1
"Bacteroides_D_sp013333195","Haladaptatus_litoreus","N_6-Hydroxynicotinic acid",-0.00212027192004063,0.713333333333333,-0.0205829163252917,0.0119824131760542,0.633333333333333,1
"Bacteroides_D_sp013333195","Alistipes_onderdonkii","N_Dehydroascorbic acid",-0.00832731788716013,0.726666666666667,0.0142232540218034,-0.000595653353702012,0.98,1
"Alloprevotella_tannerae_A","Xanthomonas_campestris","N_3-Hydroxypropanoic acid",-0.00503421647459639,0.74,0.0597151974467181,-0.00218101509196258,0.493333333333333,1
"Bacteroides_D_sp013333195","PWLR01_sp020832455","P_Phenylacetylglutamine",0.0027051386775773,0.746666666666667,0.0180490411558815,0.00555760553359604,0.773333333333333,1
"Bacteroides_D_sp013333195","Haladaptatus_litoreus","P_Mesalazine",-0.00373361803547454,0.746666666666667,0.109979364634805,-0.0100169579401197,0.14,1
"Streptococcus_rubneri","Haladaptatus_litoreus","N_Paracetamol",-0.00351602790175289,0.76,0.0545165405736873,-0.00309922099951484,0.52,1
"Bacteroides_D_sp013333195","Nocardioides_panacisoli","N_6-Hydroxynicotinic acid",0.00187695346666441,0.76,-0.0197940280874576,0.001358371682265,0.646666666666667,1
"Bacteroides_D_sp013333195","Nocardioides_panacisoli","P_5-OXO-L-PROLINE",0.00254568614794663,0.76,0.0213303030737022,0.011145895964357,0.673333333333333,1
"Bacteroides_D_sp013333195","Alistipes_sp910580175","N_ProtocatechicAcid",-0.00283035299498634,0.773333333333333,0.0152909042145106,-0.00114912756231125,0.82,1
