"feature","name","saliva_log2FC","saliva_p","saliva_fdr","urine_log2FC","urine_p","urine_fdr","same_dir","n_healthy","n_disease"
"P_Pyrrolidine; CE10; RWRDLPDLKQPQOW-UHFFFAOYSA-N","P_Pyrrolidine",0,NA,NA,0,NA,NA,TRUE,34,61
"P_METHYLGUANIDINE","P_METHYLGUANIDINE",0.337295521140689,0.0855073912104216,0.327412916771529,0,NA,NA,FALSE,34,61
"P_Butylamine","P_Butylamine",0,NA,NA,0.0954933614848272,0.537110462136305,0.816266557588727,FALSE,34,61
"P_Trimethylamine N-oxide","P_Trimethylamine N-oxide",-0.0236045601804982,0.794807385772766,0.932130127817275,0,NA,NA,FALSE,34,61
"P_Pyridine","P_Pyridine",0.0170515538234319,0.532002705018567,0.778879777282084,-0.562243039646901,0.568238213641555,0.844175451995391,FALSE,34,61
"P_3-Methylpyrazole","P_3-Methylpyrazole",0,NA,NA,-0.198036928122804,0.0100658424235924,0.127511771781338,FALSE,34,61
"P_Piperidine","P_Piperidine",0,NA,NA,-0.126959542576817,0.3616651804741,0.705018199911537,FALSE,34,61
"P_2-Methylpyrrolidine; CE10; RGHPCLZJAFCTIK-UHFFFAOYSA-N","P_2-Methylpyrrolidine",-0.846941051774895,0.0277418898937044,0.165711555631728,0.420895653821322,0.180511303749751,0.499378576840627,FALSE,34,61
"P_Morpholine","P_Morpholine",0,NA,NA,-0.0378551212684748,0.129079945360257,0.422942799691055,FALSE,34,61
"P_N-Nitrosomethylethylamine (NMEA)","P_N-Nitrosomethylethylamine (N",-0.0216848490685742,0.916530083531633,0.974998659066473,-0.050083522639202,0.386700535062819,0.719640654655802,TRUE,34,61
"P_SARCOSINE","P_SARCOSINE",0.241537462279599,0.218511751871766,0.532028613252995,0.0264051687185329,0.161127549771317,0.474146038180564,TRUE,34,61
"P_Aniline","P_Aniline",0,NA,NA,0.00632371966195677,0.723913308251601,0.899040763928035,FALSE,34,61
"P_4-Methylpyrimidine","P_4-Methylpyrimidine",0.119669682883959,0.477487790474974,0.755192753758582,-0.162557601994607,0.0663519679194242,0.283838973877537,FALSE,34,61
"P_3-Hydroxypyridine","P_3-Hydroxypyridine",0.0672957005278363,0.941207662781509,0.978331862937625,-0.374444964823535,0.0618887455679201,0.277598062644457,FALSE,34,61
"P_Propionic acid","P_Propionic acid",-0.807720677482465,7.45374012439144e-07,1.28433675989514e-05,-0.353562167473711,0.0125629004521465,0.133554902776212,TRUE,34,61
"P_2-Piperidone; CE10; XUWHAWMETYGRKB-UHFFFAOYSA-N","P_2-Piperidone",0,NA,NA,0,NA,NA,TRUE,34,61
"P_Cyclohexylamine","P_Cyclohexylamine",-0.169391903215484,0.0827205131751597,0.322250346978014,0,NA,NA,FALSE,34,61
"P_Homoserine","P_Homoserine",0.378458091072215,0.0508801628431616,0.245100139287488,-0.737936106145309,0.00237079969614406,0.0576478662957135,FALSE,34,61
"P_CYCLOPENTANONE","P_CYCLOPENTANONE",0,NA,NA,0.0631728239280847,0.677892565283126,0.860402102090122,FALSE,34,61
"P_Hexylamine","P_Hexylamine",-0.0413931375147634,0.24896729329039,0.569068098949463,-0.0612198277963074,0.849150282676132,0.96730727534732,TRUE,34,61
"P_N-Nitrosodiethylamine (NDEA)","P_N-Nitrosodiethylamine (NDEA)",0.290637766594898,0.0943258066281596,0.343560661539963,-1.12601436208581,0.00276447576766227,0.0580539911209077,FALSE,34,61
"P_N,N-Dimethylglycine","P_N,N-Dimethylglycine",-0.2175746770159,0.573540589570381,0.802956825398534,0,NA,NA,FALSE,34,61
"P_4-AMINOBUTANOATE","P_4-AMINOBUTANOATE",0.402051410326926,0.103858785341574,0.357913352561731,0.295846056272062,0.215620226366626,0.559643508884165,TRUE,34,61
"P_Choline","P_Choline",0,NA,NA,0,NA,NA,TRUE,34,61
"P_Serine","P_Serine",-0.222112228040604,0.6892936118844,0.899911458454984,0.228723952959793,0.403963836365994,0.731887421180742,FALSE,34,61
"P_DIETHANOLAMINE","P_DIETHANOLAMINE",0.0408099214208235,0.849150282676132,0.9558274538666,0.0199045685648507,0.81885368453603,0.952922927596085,TRUE,34,61
"P_N-Methylaniline","P_N-Methylaniline",-1.27045047693414,3.03910433919882e-08,1.23774431269188e-06,0.950231748617494,0.0652120242306772,0.283838973877537,FALSE,34,61
"P_2-Aminophenol","P_2-Aminophenol",-0.055787746206498,0.568265293442785,0.80057500459864,-0.790496950188544,0.0107639807347883,0.127511771781338,TRUE,34,61
"P_3-Pyridinemthanol","P_3-Pyridinemthanol",0.218969271672069,0.36989506097167,0.683983164509991,-0.449203026405467,0.227353207176756,0.564716030729362,FALSE,34,61
"P_1-Acetylimidazole","P_1-Acetylimidazole",0,NA,NA,-0.101746166869521,0.521861540027617,0.809060508364964,FALSE,34,61
"P_Cytosine","P_Cytosine",0,NA,NA,-0.142218176982961,0.303645422231841,0.652484581726095,FALSE,34,61
"P_Uracil","P_Uracil",0.124812665082427,0.5269196692454,0.778879777282084,-0.0298635532235778,0.741442663467653,0.90382227184806,FALSE,34,61
"P_Creatinine","P_Creatinine",0,NA,NA,0,NA,NA,TRUE,34,61
"P_Dihydrouracil","P_Dihydrouracil",0.296095412551992,0.0294338164381756,0.171251295640295,0.0628657586676731,0.215620226366626,0.559643508884165,TRUE,34,61
"P_5,6-DIHYDROURACIL","P_5,6-DIHYDROURACIL",-0.0543131025242722,0.81885368453603,0.945480542969437,-0.0138373320661636,0.706527566476843,0.879826780895692,TRUE,34,61
"P_Prolinamide","P_Prolinamide",-0.118441515286648,0.984515277181059,0.991152458824976,-0.157793608589,0.303645422231841,0.652484581726095,TRUE,34,61
"P_Proline","P_Proline",0.0930076773403741,0.677892565283126,0.893223144843649,-0.283015396641307,0.501881656070511,0.802316003822063,FALSE,34,61
"P_Valine","P_Valine",0.0565794796489811,0.285762260463115,0.627556336703311,0,NA,NA,FALSE,34,61
"P_5-Aminovaleric acid","P_5-Aminovaleric acid",0.11531268896913,0.487166754098728,0.755192753758582,-0.578916024699346,0.00899152817711803,0.127511771781338,FALSE,34,61
"P_Betaine; CE30; CE10; KWIUHFFTVRNATP-UHFFFAOYSA-N","P_Betaine",0,NA,NA,-2.4838999474104,0.00783831197702252,0.124872418392566,FALSE,34,61
"P_4-AMINOBENZOATE","P_4-AMINOBENZOATE",0.0929467952086469,0.133042033653952,0.413908549145628,3.19586865170475,0.0480857926708195,0.244127870482622,TRUE,34,61
"P_Threonine","P_Threonine",0.0522325616050807,0.86133425537221,0.961201878895939,-0.130769526223759,0.105519591156851,0.369318569048977,FALSE,34,61
"P_PHENYLETHANOLAMINE","P_PHENYLETHANOLAMINE",0,NA,NA,-0.177526531555472,0.935032038568649,0.986266670818986,FALSE,34,61
"P_UROCANATE","P_UROCANATE",0,NA,NA,0,NA,NA,TRUE,34,61
"P_Phenylacetaldehyde","P_Phenylacetaldehyde",0.6103647163436,0.695020903181751,0.899911458454984,-0.281938935785892,0.390973602421226,0.719640654655802,FALSE,34,61
"P_Benzamidine","P_Benzamidine",-0.66491034004466,0.121431357283459,0.397089401919632,-1.16463012432783,0.0300171774446844,0.189971725745811,TRUE,34,61
"P_2,6-Xylidine","P_2,6-Xylidine",-1.29487242975448,1.62461007796196e-08,7.27825314926956e-07,0.7150215258144,8.97979050702647e-05,0.0114202028973488,FALSE,34,61
"P_Niacinamide","P_Niacinamide",0.109842922699027,0.245794540598998,0.567608011280161,-0.0586823089268371,0.706527566476843,0.879826780895692,FALSE,34,61
"P_4-(Dimethylamino)pyridine","P_4-(Dimethylamino)pyridine",-0.0449306932596407,0.922692880079808,0.977225556207456,-0.293024745711492,0.326066799182756,0.679310704819507,TRUE,34,61
"P_HISTIDINOL","P_HISTIDINOL",0,NA,NA,0,NA,NA,TRUE,34,61
"P_Taurine","P_Taurine",0,NA,NA,-0.191786041876494,0.788825190762147,0.934454456749005,FALSE,34,61
"P_5-Methylcytosine","P_5-Methylcytosine",-0.0373546804276543,0.941207662781509,0.978331862937625,-0.711469731031677,0.00256072747132146,0.0580539911209077,TRUE,34,61
"P_3-METHYLHISTAMINE","P_3-METHYLHISTAMINE",-1.01792613352647,0.170613276707046,0.466065536370466,-0.426742898560914,0.115931146858073,0.396742147025407,TRUE,34,61
"P_Melamine","P_Melamine",-0.252467103654851,0.0747990100783013,0.304297955317064,0.90178838639951,0.747316250748829,0.90382227184806,FALSE,34,61
"P_N-Cyclohexylformamide","P_N-Cyclohexylformamide",-0.25653284708185,0.649715465483723,0.874091677287411,0.0165326696514718,0.627526672186144,0.847727684778072,FALSE,34,61
