"saliva_microbe","urine_microbe","urine_metab","ACME","ACME_p","ADE","prop_med","total_p","ACME_fdr"
"g__Porphyromonas_HROM_Genome_1091","s__Neisseria mucosa_A","P_N-(2,5-dioxocyclopentyl)acetamide",-0.0612303230370606,0.0133333333333333,0.00192201219023738,0.49064741515761,0.506666666666667,1
"s__Porphyromonas catoniae","s__Neisseria mucosa_A","P_N-(2,5-dioxocyclopentyl)acetamide",-0.0500636202212621,0.0466666666666667,0.0205818246681361,0.213646815693487,0.76,1
"s__Porphyromonas catoniae","s__Lautropia mirabilis","P_Oxolinic acid",-0.186938641316558,0.06,0.125632379185539,0.198197664736111,0.88,1
"s__Streptococcus mitis_BO","s__Neisseria mucosa_A","P_N-(2,5-dioxocyclopentyl)acetamide",-0.0256988097759234,0.0666666666666667,-0.014125947934512,0.318863134004067,0.48,1
"s__Porphyromonas catoniae","s__Lautropia mirabilis","P_N-(2,5-dioxocyclopentyl)acetamide",-0.0419934736878832,0.12,-0.00364588018111469,0.235907494649614,0.653333333333333,1
"g__Bulleidia_HROM_Genome_2044","s__Veillonella tobetsuensis","N_3,4-Dihydroxybenzoic acid",0.0192232041719609,0.126666666666667,-0.0628675820102596,-0.0844528760199765,0.593333333333333,1
"s__Porphyromonas catoniae","s__Lautropia mirabilis","P_Kainic acid",-0.0256803496503307,0.16,-0.0606793792111211,0.199331249772949,0.28,1
"g__Eubacterium_B_HROM_Genome_1922","s__Veillonella tobetsuensis","N_3,4-Dihydroxybenzoic acid",0.0263050204681248,0.166666666666667,-0.0665271647579494,-0.120244938714934,0.68,1
"s__Streptococcus mitis_BO","s__Veillonella rogosae","P_Oxolinic acid",-0.0894851051062654,0.166666666666667,0.118604213898641,-0.0484378311036181,0.9,1
"s__Streptococcus mitis_BO","s__Veillonella rogosae","P_N-(2,5-dioxocyclopentyl)acetamide",-0.0179716979765511,0.206666666666667,-0.0203623733600043,0.240425832238048,0.466666666666667,1
"s__Porphyromonas catoniae","s__Lautropia mirabilis","N_3,4-Dihydroxybenzoic acid",-0.0215844670215097,0.22,-0.0314824130626456,0.141773483793214,0.5,1
"s__Leptotrichia buccalis","s__Escherichia coli","P_Deprenyl",0.0566094315936034,0.286666666666667,0.335400823426754,0.144807425086751,0.0466666666666667,1
"g__Eubacterium_B_HROM_Genome_1922","s__Veillonella tobetsuensis","P_Kainic acid",0.0169106153694135,0.286666666666667,0.0154208574719552,0.0754253057808872,0.713333333333333,1
"s__Streptococcus mitis_BO","s__Veillonella tobetsuensis","N_3,4-Dihydroxybenzoic acid",-0.00946950239468195,0.313333333333333,0.0232245160594718,-0.0564097265264371,0.693333333333333,1
"s__Streptococcus mitis_AP","s__Porphyromonas gingivalis","P_Oxolinic acid",0.0441385172489971,0.313333333333333,-0.0362421021293111,-7.2719666350833e-05,0.993333333333333,1
"s__Streptococcus mitis_BO","s__Veillonella tobetsuensis","P_Kainic acid",-0.00635339428498799,0.373333333333333,-0.0512076838627234,0.0735582805816222,0.12,1
"g__Eubacterium_B_HROM_Genome_1922","s__Veillonella tobetsuensis","N_ProtocatechicAcid",0.0118464870415186,0.4,-0.0600399004430258,-0.0827380503360505,0.453333333333333,1
"f__Lachnospiraceae_HROM_Genome_1882","s__Micrococcus luteus","N_3_4_dihydroxybenzoic_acid",-0.00479975261454918,0.513333333333333,0.00714855450901159,-3.84439609770232e-05,0.966666666666667,1
"g__Eubacterium_B_HROM_Genome_1922","s__Veillonella tobetsuensis","P_Methyleugenol",0.0126014054151224,0.52,-0.115762008149381,-0.0650502249284771,0.206666666666667,1
"s__Streptococcus mitis_BO","s__Veillonella tobetsuensis","N_ProtocatechicAcid",-0.00487662516679653,0.533333333333333,0.0229877971871803,-0.0109850398603403,0.66,1
"s__Streptococcus mitis_BO","s__Veillonella tobetsuensis","P_Methyleugenol",-0.00413709424145631,0.54,-0.0175250769232759,0.0265975791658976,0.666666666666667,1
"s__Leptotrichia buccalis","s__Escherichia coli","P_2-Aminobenzimidazole",-0.0083254491190636,0.56,0.0487444250580024,-0.00670791245917575,0.646666666666667,1
"g__Streptococcus_HROM_Genome_2534","s__Lactobacillus iners","P_3-Aminoacetophenon",-0.00908019373251814,0.566666666666667,0.0538627617487466,-0.00925911172245392,0.633333333333333,1
"s__Phocaeicola abscessus","s__Prevotella intermedia","P_N-Acetyltryptophan",-0.0258783926225887,0.573333333333333,-0.337324922417532,0.0265613936758202,0.293333333333333,1
"s__Haemophilus haemolyticus","s__Porphyromonas gingivalis","P_Oxolinic acid",-0.0329840147878484,0.593333333333333,0.27677317158451,-0.0056174554557056,0.566666666666667,1
"g__JABCPE02_HROM_Genome_1193","s__Escherichia coli","P_2,6-Xylidine",-0.0024856785406402,0.593333333333333,-0.00356471049269846,0.023391480035359,0.833333333333333,1
"g__Kingella_A_HROM_Genome_4854","s__Prevotella intermedia","P_N-Acetyltryptophan",0.0244354246043599,0.62,0.573585900302832,0.0159148042236236,0.0866666666666667,1
"s__Scardovia wiggsiae","s__CAISGS01 sp017418605","P_Phenylacetylglutamine",-0.0050155431832387,0.64,-0.0195993655966721,0.00690743817159904,0.766666666666667,1
