"feature","R2","F","p"
"g__Actinomyces_HROM_Genome_0303",0.00676176696222212,0.673972172026254,0.805
"g__Actinomyces_HROM_Genome_0320",0.00963690856111983,0.963337543369812,0.375
"g__Actinomyces_HROM_Genome_0322",0.00887587365984592,0.886580670343981,0.44
"g__Actinomyces_HROM_Genome_0328",0.0114471069292053,1.14638639362129,0.21
"g__Actinomyces_HROM_Genome_0330",0.00880575870417815,0.87951490776817,0.42
"g__Actinomyces_HROM_Genome_0334",0.00892348473280746,0.891379197205343,0.415
"g__Actinomyces_HROM_Genome_0335",0.0122986473766034,1.23272696453215,0.14
"g__Actinomyces_HROM_Genome_0338",0.007106247113293,0.708553621342284,0.705
"g__Actinomyces_HROM_Genome_0339",0.00986285010749332,0.986148394439945,0.26
"g__Actinomyces_HROM_Genome_0340",0.00720673953644915,0.718646310889879,0.71
"s__Actinomyces dentalis",0.00825299534711837,0.823845734377277,0.53
"s__Actinomyces gerencseriae",0.00961210641047617,0.960834174969772,0.255
"s__Actinomyces graevenitzii",0.00929978057002257,0.929320755537905,0.355
"s__Actinomyces israelii",0.00859103493127364,0.857882557212029,0.425
"s__Actinomyces johnsonii",0.0080495786254361,0.80337511507267,0.525
"s__Actinomyces massiliensis",0.0106756794541962,1.06829706297157,0.245
"s__Actinomyces naeslundii",0.0134391460760162,1.34859948702983,0.11
"s__Actinomyces oricola",0.0126814532506372,1.27158947428523,0.115
"s__Actinomyces oris",0.0102110809914693,1.02132585922267,0.28
"s__Actinomyces oris_A",0.0101303156516947,1.01316493006658,0.315
"s__Actinomyces oris_B",0.0156534321102295,1.57433350149726,0.075
"s__Actinomyces oris_C",0.0121525236096905,1.21790040073353,0.11
"s__Actinomyces oris_D",0.00541617961062594,0.53912176174558,0.99
"s__Actinomyces oris_E",0.00808789378534912,0.807230277494255,0.53
"s__Actinomyces sp000195595",0.0106958083575052,1.07033310516454,0.265
"s__Actinomyces sp000220835",0.00907480044701153,0.906632755589843,0.335
"s__Actinomyces sp001278845",0.00894797640124366,0.893847792678312,0.395
"s__Actinomyces sp002999235",0.00890403974474813,0.889419360061803,0.365
"s__Actinomyces sp900323545",0.00957485855752033,0.957074853546177,0.415
"s__Actinomyces timonensis",0.00605431955144208,0.603028563213105,0.81
"g__Mobiluncus_HROM_Genome_0351",0.00600923704273873,0.598511062075849,0.87
"g__Pauljensenia_HROM_Genome_0220",0.00847856939955599,0.84655595396232,0.435
"g__Pauljensenia_HROM_Genome_0222",0.00901282965361537,0.900385153721054,0.49
"g__Pauljensenia_HROM_Genome_0224",0.0055521440714913,0.55273110580989,0.925
"g__Pauljensenia_HROM_Genome_0232",0.00887089162138784,0.886078577546848,0.55
"g__Pauljensenia_HROM_Genome_0239",0.00775900187404649,0.774147799759727,0.61
"g__Pauljensenia_HROM_Genome_0243",0.00940886892678734,0.940325422399833,0.38
