"feature","R2","F","p"
"g__Actinomyces_HROM_Genome_0303",0.0182816600236299,1.73185557706756,0.185
"g__Actinomyces_HROM_Genome_0320",0.0388699983270489,3.76110394860571,0.015
"g__Actinomyces_HROM_Genome_0322",0.0296912216205542,2.84577824321375,0.015
"g__Actinomyces_HROM_Genome_0328",0.005968743002128,0.558426201681395,0.61
"g__Actinomyces_HROM_Genome_0330",0.00533753503471956,0.499054478994788,0.695
"g__Actinomyces_HROM_Genome_0334",0.00339532494899086,0.316840998402891,0.795
"g__Actinomyces_HROM_Genome_0335",0.00576464594634683,0.539220488211812,0.66
"g__Actinomyces_HROM_Genome_0338",0.00661457611375747,0.619251665856825,0.585
"g__Actinomyces_HROM_Genome_0339",0.00444945696356634,0.41564890954665,0.645
"g__Actinomyces_HROM_Genome_0340",0.0072410741869875,0.678331749914357,0.525
"s__Actinomyces dentalis",0.00507698253679144,0.474568753194077,0.64
"s__Actinomyces gerencseriae",0.00454325481632816,0.424451087365488,0.57
"s__Actinomyces graevenitzii",0.0149682266881011,1.41319815229211,0.255
"s__Actinomyces israelii",0.058477708631916,5.77620620629795,0.01
"s__Actinomyces johnsonii",0.0077750103791673,0.728741941420841,0.44
"s__Actinomyces massiliensis",0.0172386403953538,1.63131521309797,0.19
"s__Actinomyces naeslundii",0.0060558964920038,0.566629825327821,0.63
"s__Actinomyces oricola",0.0315213460319661,3.02689705029844,0.01
"s__Actinomyces oris",0.00624781514365046,0.584699905282206,0.605
"s__Actinomyces oris_A",0.00464126220988879,0.433650069198143,0.69
"s__Actinomyces oris_B",0.00671683159747098,0.628889483317666,0.57
"s__Actinomyces oris_C",0.00418069686531369,0.390437107666296,0.695
"s__Actinomyces oris_D",0.00418802603566183,0.391124460741319,0.785
"s__Actinomyces oris_E",0.00616421534840973,0.576827717672772,0.58
"s__Actinomyces sp000195595",0.00564874873389775,0.528317967703652,0.645
"s__Actinomyces sp000220835",0.00245541284593074,0.228915476673616,0.905
"s__Actinomyces sp001278845",0.00506671097766935,0.473603734162194,0.665
"s__Actinomyces sp002999235",0.0296243627755955,2.83917447269264,0.02
"s__Actinomyces sp900323545",0.00261754325920037,0.244070387904263,0.93
"s__Actinomyces timonensis",0.0221853049959437,2.11004536459151,0.14
"g__Mobiluncus_HROM_Genome_0351",0.00785981752738735,0.736753780322975,0.47
"g__Pauljensenia_HROM_Genome_0220",0.00841857552064135,0.789574616961719,0.395
"g__Pauljensenia_HROM_Genome_0222",0.0148449234179792,1.40138127558756,0.195
"g__Pauljensenia_HROM_Genome_0223",0.00386444651309138,0.360787770760178,0.74
"g__Pauljensenia_HROM_Genome_0224",0.0246455585199308,2.34995284265633,0.085
"g__Pauljensenia_HROM_Genome_0225",0.029168511285369,2.79417342872846,0.055
"g__Pauljensenia_HROM_Genome_0239",0.00428907088700472,0.400601802017755,0.775
"g__Pauljensenia_HROM_Genome_0243",0.0089375966944039,0.838692386884201,0.485
"g__Pauljensenia_HROM_Genome_0247",0.00830383604862485,0.778723141819046,0.45
"g__Pauljensenia_HROM_Genome_0252",0.00834951473894948,0.7830428989483,0.47
"g__Pauljensenia_HROM_Genome_0253",0.00329876756639002,0.307800746794709,0.865
"g__Pauljensenia_HROM_Genome_0255",0.0052794014341939,0.49359019415898,0.73
"g__Pauljensenia_HROM_Genome_0257",0.00320955271153686,0.299449501131252,0.885
"g__Pauljensenia_HROM_Genome_0258",0.00436834978594074,0.408038987114506,0.695
"g__Pauljensenia_HROM_Genome_0259",0.0261670356868789,2.49892374571259,0.1
"g__Pauljensenia_HROM_Genome_0260",0.0047451428553011,0.443402292764539,0.7
"g__Pauljensenia_HROM_Genome_0261",0.0276930524913459,2.64880744531782,0.08
"g__Pauljensenia_HROM_Genome_0264",0.00798188205675771,0.748287776051423,0.445
"g__Pauljensenia_HROM_Genome_0265",0.00595462607114911,0.557097532105716,0.555
"g__Pauljensenia_HROM_Genome_0267",0.0059236075774981,0.554178239123882,0.645
"g__Pauljensenia_HROM_Genome_0275",0.00590727980585355,0.552641630689224,0.65
"g__Pauljensenia_HROM_Genome_0276",0.00442332306078771,0.413196747354472,0.71
"g__Pauljensenia_HROM_Genome_0277",0.00356913526667209,0.33311852487562,0.805
"g__Pauljensenia_HROM_Genome_0278",0.00245205404297972,0.228601569399592,0.905
"g__Pauljensenia_HROM_Genome_0279",0.00593604928921595,0.555349163906758,0.645
"g__Pauljensenia_HROM_Genome_0280",0.0078972042547959,0.740286186921139,0.5
"g__Pauljensenia_HROM_Genome_0281",0.00759325586333726,0.711575973725063,0.535
"g__Pauljensenia_HROM_Genome_0282",0.00695883700202267,0.651706963721731,0.585
"g__Pauljensenia_HROM_Genome_0283",0.00257914386844716,0.24048061386632,0.935
"g__Pauljensenia_HROM_Genome_0284",0.0053150051703465,0.496936701982597,0.645
"g__Pauljensenia_HROM_Genome_0285",0.00795445141756954,0.745695581106173,0.435
"g__Pauljensenia_HROM_Genome_0286",0.0154480726613624,1.45921278260071,0.205
"g__Pauljensenia_HROM_Genome_0290",0.0158319184923008,1.49605382195323,0.175
"g__Pauljensenia_HROM_Genome_0292",0.00280435516496357,0.261538477120762,0.87
"g__Pauljensenia_HROM_Genome_0294",0.00708581168378421,0.663683220913008,0.605
"g__Pauljensenia_HROM_Genome_0295",0.00439381428896068,0.410428073607751,0.755
"g__Pauljensenia_HROM_Genome_0296",0.00507151747041923,0.474055304507744,0.71
"g__Pauljensenia_HROM_Genome_0298",0.0198809941886796,1.8864366965486,0.14
"g__Pauljensenia_HROM_Genome_0299",0.00651246350194063,0.609629294208727,0.59
"s__Pauljensenia bouchesdurhonensis",0.00619493247384305,0.579720046609885,0.58
"s__Pauljensenia cardiffensis",0.0177714240625429,1.68264544354055,0.145
