feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
F11	Sex	M	-2.70485133590288	0.781785229753934	101	24	0.000811110554783625	0.102740670272593
F46	KidneyDisease	KidneyDisease	-1.03538095468053	0.295958342677719	101	101	0.000714014646408977	0.102740670272593
F75	Periodontitis	Periodontitis	3.71968801256452	1.04390754725967	101	34	0.000575053014969032	0.102740670272593
F75	Age	Age	-0.0941821434048511	0.0280824747022839	101	34	0.00114631712045002	0.108900126442752
F42	KidneyDisease	KidneyDisease	3.17984530009708	0.97692575256724	101	48	0.00157203243182573	0.119474464818755
F2	Sex	M	-0.80807462019329	0.296853040178681	101	11	0.00771692545819674	0.273610356763245
F4	Sex	M	-3.02569417836764	1.06243570633084	101	43	0.00539453847886703	0.273610356763245
F8	Diabetes	Diabetes	1.33516628657092	0.477393278764332	101	13	0.00624767814640544	0.273610356763245
F33	Periodontitis	Periodontitis	1.32420360745265	0.491585978774949	101	15	0.00835398944609561	0.273610356763245
F41	KidneyDisease	KidneyDisease	3.09514514029978	1.15421168881941	101	45	0.00864032705568142	0.273610356763245
F45	Age	Age	0.0560526179415785	0.0197960192674583	101	86	0.00565553132411374	0.273610356763245
F56	Sex	M	0.717353553915085	0.261851806667617	101	101	0.00734871411019191	0.273610356763245
F14	Sex	M	-1.89520966230425	0.737295717548953	101	18	0.0117089556540223	0.314482584603993
F38	Sex	M	-1.36385599921386	0.527857268486499	101	15	0.0112968264106227	0.314482584603993
F46	Diabetes	Diabetes	-0.67647671709253	0.266067569111149	101	101	0.0126228211839001	0.314482584603993
F50	KidneyDisease	KidneyDisease	3.20874114285695	1.28260936518305	101	38	0.0140689577322839	0.314482584603993
F56	KidneyDisease	KidneyDisease	-0.818435988111562	0.325118501007013	101	101	0.0134983073662616	0.314482584603993
F4	KidneyDisease	KidneyDisease	3.18652928757536	1.31913355364803	101	43	0.0176208019371884	0.352416038743767
F40	Sex	M	-1.81550501188339	0.7467929988641	101	21	0.0169301797725346	0.352416038743767
F12	Sex	M	1.05288926044511	0.449176412493518	101	99	0.0211594324012118	0.397904660467792
F43	KidneyDisease	KidneyDisease	2.2197035569778	0.953151790019185	101	39	0.0219894680784833	0.397904660467792
F14	Periodontitis	Periodontitis	2.46353413440237	1.07672254162368	101	18	0.0243554555622827	0.420685141530337
