feature	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70	F71	F72	F73	F74	F75	F76
U7	0	0	0	0	0	0.00409821221182189	0	0	0	0	0	0.0146407152717987	0	0	0	0.00013470138708529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.86609255913859e-05	0	0	0	0	0.0012939745237202	0.137891955388789	0	0.00422979598756794	0.76964753461413	0	0	0.00721547479189464	0.000190171657339982	0.00186762393767295	0.00168968812185101	0	0.000516670390750151	0	0.0461097231418202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036278416131311	0	0	0
U8	0.000933373092115077	0	0	0	0.00109159170996082	0.00200697089361096	0	0	0	0	0	0.00796554037630665	0	0	0	7.61573815585379e-05	0	7.87782830106923e-05	8.48144377775829e-05	0	0.0032893427523679	0	0	0	0	0	0	0	0.000117786475795829	0	0	0	0	0	0	0	0.00311312875503526	0	0.0221852498012553	0	0	0	0.127325762086237	0	0.00356110330406042	0.730934067543198	6.85736197427079e-05	9.4199649870661e-06	0.00987701022529987	0.000791460752781775	0.000486397183128266	0.00194691945576063	0	0.00156017481705971	0.000626463941525288	0.0496894142138796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149325160121982	0.0113548768582595	0.000431737592422954	0.000399902470508027	0	0
U9	0	0	0	0	0	0	0	0	0	0	0	0.009796962564118	0	0	0	3.16912904418393e-05	0	0	3.10836487786443e-05	0	0.00164000715924949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26375265324761e-05	0	0	0	0	0.00278648946123404	0.612734475605264	0	0.000865062291703838	0.342432222607089	8.42826405907497e-06	0	0.00359644357772305	0.00106949178253579	0.00076993324531914	0	0	7.97696155784117e-05	0.000252868222824558	0.0148558403756102	0	0	0	0.000538546062939306	0	0	0	0	0	0	0.00149903530422905	0	0	0	0	0	0.00371899656596488	0.000141241623153305	4.91298101384205e-06	0
U10	0	0	0	0.000649080245668511	0	0	0	0	0	0	0	0.00658591295821028	0.0003781453071687	0	0	9.63763589625508e-05	8.59900809069083e-05	4.54143155920159e-05	5.5413230309416e-05	0	0	0	0	0	0	0	0	7.99430381062314e-05	0.00168874369816519	0	0	0	0	0	0	0	0.00222407540160324	0	0.00416231878224936	0	0.06000474316534	0	0	0	0.00744807127185925	0.868039340887334	0	0.000896799363271922	0.00787293819895843	0.00413638075592012	0.00160839114665582	0	0	1.4789485701417e-05	0	0.0171004100057653	0	0	0	0	0	0	0	0.00331499042509834	0.000200485268036666	0	0	0	0	0	0.00354704929665267	0	0.00552588353469179	0	0	0
U11	0	0	0	0	0	0	0	0	0	0	0	0.0156838749468051	0	0	0	7.85115822024798e-05	0	0.000104897166321472	5.29875764516307e-05	0	0	0	9.44309319232804e-05	0	0	0	0	0	0.000120239849814889	0	0	0	0	0	0	0	4.53996050823103e-05	0	0.0437262039055043	0	0.0670057232527458	0.0283020871500639	0.289744440974354	0	0.00684496045980441	0.514013808585095	0	0	0.000699223723009092	2.62963854173495e-05	0.000985186398098568	0.00016837015151341	0	1.27982398479671e-05	0	0.0166244253347673	0.00242167109310634	0	0	0	0	0	0	0.00102238487520623	0	0	0	0	0	0	3.88488220249933e-05	0.00365057486719262	0.004434757143715	0	0	0
U12	0	0	0	0	0	0.00319691596794809	0	0	0	0	0	0.0280129843974758	0	0	0	0.000197432781162921	0.000159226435297951	0.000110789494426563	0.000141085809782231	0	0	0	0	0	0	0	0	0.000187883265718926	0.00565123179734864	0	4.22011884705309e-05	0	0	0	0	0	0.000342498522190532	0	0	0	0	0	0	0	0	0.884303688257572	0	0	0.00621984580297022	0.000871155945115041	0	0	0	0.000525238260779925	0	0.0437529780391852	8.20477839553311e-05	0	0	0	0	0	0	0.00401808622989336	0.000252480042704994	0.000180832358961548	0	0	0	0	0	0	0.0077410389173524	0	0.000662616622120754	0
U13	0	0	0	0	0.0018545659197998	0	0	0	0	0	0	0.013840303212776	0	0	0	9.81898962359084e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000135339303860635	0	0	0	0	0	0	0	9.46311017034985e-05	0	0	0	0	0.0488584205426138	0	0	0.0118244160846494	0.864589736493445	0	0	0.0107553847581518	0.00126544735343051	0	0	0.000852866356242003	0.000961962719620961	0	0.0378060074343928	0	0	0	0	0	0	0	0.000188751329197821	0	0	0	0	0	0	0	0	0.00183792151974823	0	0	0
U14	0	0	0	0	0	0	0	0	0	0	0	0.0168537140177327	0	0	0	6.84486263924238e-05	0	5.12132925159962e-05	0.00203914950463079	0	0	0	0	0	0	0	0	0	8.07178977936923e-05	0	0	0	0	0	0.00410991765521053	0	6.77269348684636e-05	0	0	0	0	0	0	0	0.00812741683414698	0.88272087288184	0	0	0.0109148302353538	0	0	0	0	2.1869418250565e-05	0	0.0716614593171122	0	0.000711639598216872	0	0	0	0	0	0	0	0	0	0	0	0	5.41911979414341e-05	0	0.00175402866918527	0	0.000762803918808028	0
U15	0	0	0	0	0	0.000364515146076562	0	0	0	0	0	0.0292478975632395	0	0	0	6.46882445259115e-05	0	3.68327448723096e-05	0	0	0	0	0	0	0	0	0	0.000937641324747498	0	0	0	0	0	0	0	0	0	0	0.00679573086605488	0	0	0.0227744164534435	0	0	0.012650967676037	0.889012053298947	0	0	0.00862839760369854	0	0.000773705490503897	0	0	0.000514239694949792	0	0.0232861179693864	0	0	0	0.000132224673415325	0	0	0.00206621379566351	0	0	0	0	0	0	0	0.00155242855330174	0	8.12582663054199e-05	0	0	0
U17	0	0	0	0.00906303676340686	0	0.00125755424309864	0	0.000780434760848834	0	0	0	0.0130080368030531	0.00095522665276638	0	0	0.000101336427645133	0	0	0	0	0	0	0	0	0	0	0	5.68219779556127e-05	0.0030714678891366	0	0	0	0	0.0034971332252313	0	0	0.00162831830663091	0	0.0178350870066444	0	0.0527285110106894	0.0139182285896023	0	0	0.00591838745949586	0.795411245034671	0	9.13958544864625e-06	0.00990643172530953	0	0	0	0	0.000537166433070297	0	0.050614764734825	0	0	0	0	0	0	0	0.000139958882506927	8.36619001339696e-05	0	0	0	0	5.30831102472363e-05	0	0	0.00606737859717968	0	0	0
