feature	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70	F71	F72	F73	F74	F75	F76
U7	-14.8338492352103	-16.0493680001435	-13.0898077494806	-16.8886499832816	-15.0957649283838	-7.93078959337875	-15.6953083185588	-14.6458258837399	-16.4824142884841	-17.3949151054918	-16.8574228740114	-6.09387015159886	-16.2843426216359	-15.9202681288458	-17.7310694602423	-12.8579476725446	-15.9783356009776	-18.341700093418	-17.8029787529643	-14.205062244109	-13.6960461644594	-15.723196489232	-16.351198745392	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-17.7902520967782	-17.8111714583686	-15.4083742936213	-17.2472495550717	-16.2500243696286	-15.9969445794703	-15.9834592143757	-15.264861678251	-16.1539552065063	-13.6339933120786	-12.3246604680614	-15.8771778154292	-14.670512549717	-11.7484510339182	-9.59397507139994	-2.85838980235192	-16.0880227886323	-7.88519620401708	-0.377730189965617	-18.9721165880977	-20.0227426611677	-7.11468995475852	-12.3604101326252	-9.06458029956823	-9.20902730240385	-17.6071291412597	-10.9184681711145	-19.6231124496757	-4.43878518642181	-16.7157974840359	-15.6606162768645	-17.0149994355576	-14.5735947615788	-15.7643960503136	-14.270267055359	-16.5870198976351	-16.1067711144721	-16.4096969784398	-13.9910675686947	-17.0089602737891	-17.6907208158969	-16.523352293244	-17.4210571739312	-16.9245579389906	-11.2784741614095	-8.10667281361878	-19.4522548386583	-19.4451697174657	-18.7338988770539
U8	-10.0652585025963	-16.0493680001435	-13.0898077494806	-16.8886499832816	-9.83935094137183	-8.96076459070576	-15.6953083185588	-14.6458258837399	-16.4824142884841	-17.3949151054918	-16.8574228740114	-6.97201204823811	-16.2843426216359	-15.9202681288458	-17.7310694602423	-13.6806565976483	-15.9783356009776	-13.6318425009852	-13.5253306018989	-14.205062244109	-8.24798493858134	-15.723196489232	-16.351198745392	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-17.7902520967782	-13.051538480639	-15.4083742936213	-17.2472495550717	-16.2500243696286	-15.9969445794703	-15.9834592143757	-15.264861678251	-16.1539552065063	-8.32741903859399	-12.3246604680614	-5.49425539208185	-14.670512549717	-11.7484510339182	-12.5434596870288	-2.97340374262545	-16.0880227886323	-8.13345999720768	-0.452186818283394	-13.831986795794	-16.6958468718088	-6.66170988110023	-10.3031945682533	-11.0055775058227	-9.00459108379766	-17.6071291412597	-9.32407659302669	-10.6404809073204	-4.33091765564908	-16.7157974840359	-15.6606162768645	-17.0149994355576	-14.5735947615788	-15.7643960503136	-14.270267055359	-16.5870198976351	-16.1067711144721	-16.4096969784398	-13.9910675686947	-17.0089602737891	-17.6907208158969	-16.523352293244	-17.4210571739312	-6.06539892098651	-6.46054412943152	-11.1775576623791	-11.2880641857266	-19.4451697174657	-18.7338988770539
U9	-14.8338492352103	-16.0493680001435	-13.0898077494806	-16.8886499832816	-15.0957649283838	-16.3289637683133	-15.6953083185588	-14.6458258837399	-16.4824142884841	-17.3949151054918	-16.8574228740114	-6.67344975716105	-16.2843426216359	-15.9202681288458	-17.7310694602423	-14.9455540682308	-15.9783356009776	-18.341700093418	-14.9734846088546	-14.205062244109	-9.25208217189727	-15.723196489232	-16.351198745392	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-17.7902520967782	-17.8111714583686	-15.4083742936213	-17.2472495550717	-16.2500243696286	-15.9969445794703	-15.9834592143757	-15.264861678251	-16.1539552065063	-15.4309241423393	-12.3246604680614	-15.8771778154292	-14.670512549717	-11.7484510339182	-8.48733558764447	-0.706666067816501	-16.0880227886323	-10.1749083569775	-1.54610963027397	-16.8563330545579	-20.0227426611677	-8.11921331388904	-9.8688588870964	-10.3429790127314	-18.6605305707761	-17.6071291412597	-13.6138011490643	-11.9493266302268	-6.07282597090684	-16.7157974840359	-15.6606162768645	-17.0149994355576	-10.8586426328635	-15.7643960503136	-14.270267055359	-16.5870198976351	-16.1067711144721	-16.4096969784398	-13.9910675686947	-9.38174992363356	-17.6907208158969	-16.523352293244	-17.4210571739312	-16.9245579389906	-11.2784741614095	-8.07087086886269	-12.7895470737459	-17.6349699055027	-18.7338988770539
U10	-14.8338492352103	-16.0493680001435	-13.0898077494806	-10.5893155301827	-15.0957649283838	-16.3289637683133	-15.6953083185588	-14.6458258837399	-16.4824142884841	-17.3949151054918	-16.8574228740114	-7.24640083977835	-11.3687716645495	-15.9202681288458	-17.7310694602423	-13.340961176429	-13.5054702222004	-14.4264933359928	-14.1394100031626	-14.205062244109	-13.6960461644594	-15.723196489232	-16.351198745392	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-13.6106680733384	-9.20983389876341	-15.4083742936213	-17.2472495550717	-16.2500243696286	-15.9969445794703	-15.9834592143757	-15.264861678251	-16.1539552065063	-8.81257858487626	-12.3246604680614	-7.90839682272236	-14.670512549717	-4.05877964454271	-12.5434596870288	-9.14012047787191	-16.0880227886323	-7.0689174063054	-0.20416766556221	-18.9721165880977	-10.1229271257201	-6.9888821312699	-7.91741529209564	-9.28016598466391	-18.6605305707761	-17.6071291412597	-16.0450685902835	-19.6231124496757	-5.86982527365811	-16.7157974840359	-15.6606162768645	-17.0149994355576	-14.5735947615788	-15.7643960503136	-14.270267055359	-16.5870198976351	-8.23677958134778	-12.2842161504069	-13.9910675686947	-17.0089602737891	-17.6907208158969	-16.523352293244	-17.4210571739312	-8.13916490377096	-11.2784741614095	-7.49957912889844	-19.4522548386583	-19.4451697174657	-18.7338988770539
U11	-14.8338492352103	-16.0493680001435	-13.0898077494806	-16.8886499832816	-15.0957649283838	-16.3289637683133	-15.6953083185588	-14.6458258837399	-16.4824142884841	-17.3949151054918	-16.8574228740114	-5.99457414588992	-16.2843426216359	-15.9202681288458	-17.7310694602423	-13.636734975165	-15.9783356009776	-13.2187366738857	-14.2039863316031	-14.205062244109	-13.6960461644594	-15.723196489232	-13.3703809663035	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-17.7902520967782	-13.021797267174	-15.4083742936213	-17.2472495550717	-16.2500243696286	-15.9969445794703	-15.9834592143757	-15.264861678251	-16.1539552065063	-14.426960726442	-12.3246604680614	-4.51535808362459	-14.670512549717	-3.89957186202947	-5.14294774060393	-1.78714711288138	-16.0880227886323	-7.19074207694208	-0.960120978056446	-18.9721165880977	-20.0227426611677	-10.481958246646	-15.214775967651	-9.98731567003495	-12.5360759779645	-17.6071291412597	-16.253695065557	-19.6231124496757	-5.91055171869537	-8.68978135049964	-15.6606162768645	-17.0149994355576	-14.5735947615788	-15.7643960503136	-14.270267055359	-16.5870198976351	-9.93384588581772	-16.4096969784398	-13.9910675686947	-17.0089602737891	-17.6907208158969	-16.523352293244	-17.4210571739312	-14.6517696205777	-8.09766061717799	-7.8169291828756	-19.4522548386583	-19.4451697174657	-18.7338988770539
U12	-14.8338492352103	-16.0493680001435	-13.0898077494806	-16.8886499832816	-15.0957649283838	-8.28910346178791	-15.6953083185588	-14.6458258837399	-16.4824142884841	-17.3949151054918	-16.8574228740114	-5.15776049889781	-16.2843426216359	-15.9202681288458	-17.7310694602423	-12.3063508289915	-12.6166325027936	-13.1398912947081	-12.7911394886114	-14.205062244109	-13.6960461644594	-15.723196489232	-16.351198745392	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-12.3778758042201	-7.46721891903969	-15.4083742936213	-14.5323568457319	-16.2500243696286	-15.9969445794703	-15.9834592143757	-15.264861678251	-16.1539552065063	-11.5116146163901	-12.3246604680614	-15.8771778154292	-14.670512549717	-11.7484510339182	-12.5434596870288	-9.14012047787191	-16.0880227886323	-13.071513834774	-0.17738618872861	-18.9721165880977	-20.0227426611677	-7.32890546990873	-10.1647813816139	-16.1377163698495	-18.6605305707761	-17.6071291412597	-10.8947403669231	-19.6231124496757	-4.51447497268933	-13.5731761062046	-15.6606162768645	-17.0149994355576	-14.5735947615788	-15.7643960503136	-14.270267055359	-16.5870198976351	-7.95927575939012	-11.951543025065	-12.4330595163087	-17.0089602737891	-17.6907208158969	-16.523352293244	-17.4210571739312	-16.9245579389906	-11.2784741614095	-7.01325708259102	-19.4522548386583	-10.559537984838	-18.7338988770539
U13	-14.8338492352103	-16.0493680001435	-13.0898077494806	-16.8886499832816	-9.07470273589474	-16.3289637683133	-15.6953083185588	-14.6458258837399	-16.4824142884841	-17.3949151054918	-16.8574228740114	-6.17498063995207	-16.2843426216359	-15.9202681288458	-17.7310694602423	-13.3140658959284	-15.9783356009776	-18.341700093418	-17.8029787529643	-14.205062244109	-13.6960461644594	-15.723196489232	-16.351198745392	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-17.7902520967782	-12.851131506603	-15.4083742936213	-17.2472495550717	-16.2500243696286	-15.9969445794703	-15.9834592143757	-15.264861678251	-16.1539552065063	-13.3673260530391	-12.3246604680614	-15.8771778154292	-14.670512549717	-11.7484510339182	-4.35524896374978	-9.14012047787191	-16.0880227886323	-6.40208724786589	-0.209912384720971	-18.9721165880977	-20.0227426611677	-6.53879705378654	-9.6261367965929	-16.1377163698495	-18.6605305707761	-10.1953926899315	-10.021731395388	-19.6231124496757	-4.7252406905882	-16.7157974840359	-15.6606162768645	-17.0149994355576	-14.5735947615788	-15.7643960503136	-14.270267055359	-16.5870198976351	-12.3712255755337	-16.4096969784398	-13.9910675686947	-17.0089602737891	-17.6907208158969	-16.523352293244	-17.4210571739312	-16.9245579389906	-11.2784741614095	-9.08770912058539	-19.4522548386583	-19.4451697174657	-18.7338988770539
U14	-14.8338492352103	-16.0493680001435	-13.0898077494806	-16.8886499832816	-15.0957649283838	-16.3289637683133	-15.6953083185588	-14.6458258837399	-16.4824142884841	-17.3949151054918	-16.8574228740114	-5.89078963964152	-16.2843426216359	-15.9202681288458	-17.7310694602423	-13.8346188842571	-15.9783356009776	-14.2531221611261	-8.93781673114065	-14.205062244109	-13.6960461644594	-15.723196489232	-16.351198745392	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-17.7902520967782	-13.5967518728631	-15.4083742936213	-17.2472495550717	-16.2500243696286	-15.9969445794703	-15.9834592143757	-7.92667479576961	-16.1539552065063	-13.849910769542	-12.3246604680614	-15.8771778154292	-14.670512549717	-11.7484510339182	-12.5434596870288	-9.14012047787191	-16.0880227886323	-6.94298739641365	-0.17997078268862	-18.9721165880977	-20.0227426611677	-6.51756649833909	-20.7092972235172	-16.1377163698495	-18.6605305707761	-17.6071291412597	-15.4807256307398	-19.6231124496757	-3.80265876682161	-16.7157974840359	-10.4565655899089	-17.0149994355576	-14.5735947615788	-15.7643960503136	-14.270267055359	-16.5870198976351	-16.1067711144721	-16.4096969784398	-13.9910675686947	-17.0089602737891	-17.6907208158969	-16.523352293244	-17.4210571739312	-14.1715819349884	-11.2784741614095	-9.15511195617625	-19.4522548386583	-10.3564001242176	-18.7338988770539
U15	-14.8338492352103	-16.0493680001435	-13.0898077494806	-16.8886499832816	-15.0957649283838	-11.4217336179038	-15.6953083185588	-14.6458258837399	-16.4824142884841	-17.3949151054918	-16.8574228740114	-5.0955232670993	-16.2843426216359	-15.9202681288458	-17.7310694602423	-13.9161369122201	-15.9783356009776	-14.7286515597919	-17.8029787529643	-14.205062244109	-13.6960461644594	-15.723196489232	-16.351198745392	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-10.0586762243643	-17.8111714583686	-15.4083742936213	-17.2472495550717	-16.2500243696286	-15.9969445794703	-15.9834592143757	-15.264861678251	-16.1539552065063	-18.5113006779358	-12.3246604680614	-7.20115556661559	-14.670512549717	-11.7484510339182	-5.45644210130212	-9.14012047787191	-16.0880227886323	-6.30460844848946	-0.169725115521031	-18.9721165880977	-20.0227426611677	-6.85669162605113	-20.7092972235172	-10.3359278677606	-18.6605305707761	-17.6071291412597	-10.9252714012393	-19.6231124496757	-5.42438604198747	-16.7157974840359	-15.6606162768645	-17.0149994355576	-12.8847209675105	-15.7643960503136	-14.270267055359	-8.91879474392215	-16.1067711144721	-16.4096969784398	-13.9910675686947	-17.0089602737891	-17.6907208158969	-16.523352293244	-17.4210571739312	-9.3312574111723	-11.2784741614095	-13.5871258903164	-19.4522548386583	-19.4451697174657	-18.7338988770539
U17	-14.8338492352103	-16.0493680001435	-13.0898077494806	-6.7857897476984	-15.0957649283838	-9.63516365436358	-15.6953083185588	-10.3234343420082	-16.4824142884841	-17.3949151054918	-16.8574228740114	-6.26445294549122	-10.0318692882593	-15.9202681288458	-17.7310694602423	-13.2685595031794	-15.9783356009776	-18.341700093418	-17.8029787529643	-14.205062244109	-13.6960461644594	-15.723196489232	-16.351198745392	-16.6706124525133	-14.8819465519187	-13.4518016408061	-13.0209608429286	-14.1031914222637	-8.34685598403176	-15.4083742936213	-17.2472495550717	-16.2500243696286	-15.9969445794703	-8.15961152731121	-15.264861678251	-16.1539552065063	-9.26240153683284	-12.3246604680614	-5.80913793591291	-14.670512549717	-4.245272932443	-6.16688058258368	-9.14012047787191	-16.0880227886323	-7.40058013601886	-0.330227136665438	-18.9721165880977	-16.7394398400086	-6.65741878923075	-20.7092972235172	-16.1377163698495	-18.6605305707761	-17.6071291412597	-10.8623432243672	-19.6231124496757	-4.30429789768969	-16.7157974840359	-15.6606162768645	-17.0149994355576	-14.5735947615788	-15.7643960503136	-14.270267055359	-16.5870198976351	-12.8027093289227	-13.5450697095086	-13.9910675686947	-17.0089602737891	-17.6907208158969	-16.523352293244	-14.2013875708198	-16.9245579389906	-11.2784741614095	-7.3647109480346	-19.4522548386583	-19.4451697174657	-18.7338988770539
