species,category
Abiotrophia_defectiva,shared
Abiotrophia_sp001815865,shared
Acetatifactor_sp900066565,shared
Acidovorax_A_wautersii,shared
Acinetobacter_baumannii,shared
Acinetobacter_johnsonii,shared
Acinetobacter_junii,shared
Acinetobacter_pittii,shared
Acinetobacter_soli,shared
Acinetobacter_sp002367455,shared
Acinetobacter_ursingii,shared
Acinetobacter_variabilis,shared
Actinomyces_dentalis,shared
Actinomyces_gerencseriae,shared
Actinomyces_graevenitzii,shared
Actinomyces_israelii,shared
Actinomyces_johnsonii,shared
Actinomyces_massiliensis,shared
Actinomyces_naeslundii,shared
Actinomyces_oricola,shared
Actinomyces_oris,shared
Actinomyces_oris_A,shared
Actinomyces_oris_B,shared
Actinomyces_oris_C,shared
Actinomyces_oris_D,shared
Actinomyces_oris_E,shared
Actinomyces_radicidentis,shared
Actinomyces_sp000195595,shared
Actinomyces_sp000220835,shared
Actinomyces_sp001278845,shared
Actinomyces_sp002999235,shared
Actinomyces_sp900323545,shared
Actinomyces_timonensis,shared
Actinomyces_urogenitalis,shared
Aggregatibacter_actinomycetemcomitans,shared
Aggregatibacter_actinomycetemcomitans_A,shared
Aggregatibacter_aphrophilus,shared
Aggregatibacter_kilianii,shared
Aggregatibacter_segnis,shared
Aggregatibacter_segnis_A,shared
Aggregatibacter_sp000466335,shared
Agrobacterium_pusense,shared
Alistipes_onderdonkii,shared
Alistipes_putredinis,shared
Alloprevotella_rava,shared
Alloprevotella_sp000318095,shared
Alloprevotella_sp003639005,shared
Alloprevotella_sp015257125,shared
Alloprevotella_sp015259235,shared
Alloprevotella_sp900095835,shared
Alloprevotella_sp905369775,shared
Alloprevotella_sp905371275,shared
Alloprevotella_tannerae,shared
Alloprevotella_tannerae_A,shared
Alloprevotella_tannerae_B,shared
Alloscardovia_omnicolens,shared
Anaeroglobus_geminatus,shared
Anaeroglobus_massiliensis,shared
Anaeroglobus_micronuciformis,shared
Anaerosphaera_mikwangii,shared
Arachnia_propionica,shared
Arachnia_rubra,shared
Arachnia_sp013333945,shared
Arachnia_sp905372155,shared
Bacillus_licheniformis,shared
Bacillus_subtilis,shared
Bacteroides_D_periocalifornicus,shared
Bacteroides_D_sp013333195,shared
Bacteroides_D_sp013333835,shared
Bacteroides_D_sp905373475,shared
Bacteroides_D_sp905373625,shared
Bacteroides_D_sp905373665,shared
Bacteroides_caccae,shared
Bacteroides_heparinolyticus,shared
Bacteroides_uniformis,shared
Bacteroides_zoogleoformans,shared
Bergeyella_A_cardium,shared
Berryella_intestinalis,shared
Bifidobacterium_bifidum,shared
Bifidobacterium_dentium,shared
Bifidobacterium_longum,shared
Bifidobacterium_piotii,shared
Bifidobacterium_swidsinskii,shared
Bilophila_wadsworthia,shared
Bradyrhizobium_sp003020075,shared
Brevundimonas_sp002434505,shared
Brooklawnia_sp000413315,shared
Bulleidia_extructa,shared
Bulleidia_moorei,shared
Bulleidia_sp015256455,shared
Bulleidia_sp015256775,shared
Bulleidia_sp900554555,shared
Butyrivibrio_sp015258065,shared
CAJPNN01_sp905372035,shared
CAJPNX01_sp905372165,shared
CAJPPJ01_sp905372515,shared
CAJPQU01_sp905372875,shared
CAJPQU01_sp905373705,shared
CAJPSE01_sp905373185,shared
CAJPTP01_sp905373555,shared
Campylobacter_A_concisus,shared
Campylobacter_A_concisus_A,shared
Campylobacter_A_concisus_AC,shared
Campylobacter_A_concisus_AD,shared
Campylobacter_A_concisus_AE,shared
Campylobacter_A_concisus_AF,shared
Campylobacter_A_concisus_B,shared
Campylobacter_A_concisus_C,shared
Campylobacter_A_concisus_D,shared
Campylobacter_A_concisus_E,shared
Campylobacter_A_concisus_F,shared
Campylobacter_A_concisus_G,shared
Campylobacter_A_concisus_H,shared
Campylobacter_A_concisus_I,shared
Campylobacter_A_concisus_K,shared
Campylobacter_A_concisus_L,shared
