species,category
Achromobacter_xylosoxidans,shared
Acidaminococcus_intestini,shared
Acidovorax_A_wautersii,shared
Acinetobacter_baumannii,shared
Acinetobacter_johnsonii,shared
Acinetobacter_junii,shared
Acinetobacter_soli,shared
Acinetobacter_ursingii,shared
Actinomyces_dentalis,shared
Actinomyces_graevenitzii,shared
Actinomyces_israelii,shared
Actinomyces_massiliensis,shared
Actinomyces_naeslundii,shared
Actinomyces_oris,shared
Actinomyces_oris_A,shared
Actinomyces_oris_E,shared
Actinomyces_radicidentis,shared
Actinomyces_sp000220835,shared
Actinomyces_sp001278845,shared
Actinomyces_sp002999235,shared
Actinomyces_sp900323545,shared
Actinomyces_timonensis,shared
Agathobacter_rectalis,shared
Aggregatibacter_sp000466335,shared
Agrobacterium_pusense,shared
Alistipes_onderdonkii,shared
Alistipes_putredinis,shared
Alloprevotella_rava,shared
Alloprevotella_sp000318095,shared
Alloprevotella_sp003639005,shared
Alloprevotella_sp015257125,shared
Alloprevotella_sp015259235,shared
Alloprevotella_sp900095835,shared
Alloprevotella_sp905369775,shared
Alloprevotella_sp905371275,shared
Alloprevotella_tannerae,shared
Alloprevotella_tannerae_A,shared
Alloprevotella_tannerae_B,shared
Alloscardovia_omnicolens,shared
Anaeroglobus_micronuciformis,shared
Arachnia_propionica,shared
Arachnia_rubra,shared
Arachnia_sp905372155,shared
Bacillus_licheniformis,shared
Bacteroides_D_sp013333195,shared
Bacteroides_D_sp905373475,shared
Bacteroides_caccae,shared
Bacteroides_uniformis,shared
Bergeyella_A_cardium,shared
Bifidobacterium_adolescentis,shared
Bifidobacterium_animalis,shared
Bifidobacterium_bifidum,shared
Bifidobacterium_breve,shared
Bifidobacterium_dentium,shared
Bifidobacterium_longum,shared
Bifidobacterium_piotii,shared
Bifidobacterium_pseudocatenulatum,shared
Bifidobacterium_swidsinskii,shared
Bilophila_wadsworthia,shared
Blautia_A_wexlerae,shared
Bradyrhizobium_sp002831585,shared
Bradyrhizobium_sp003020075,shared
Brevibacterium_sediminis,shared
Brevundimonas_sp002434505,shared
Burkholderia_contaminans,shared
Butyrivibrio_sp015258065,shared
CAJPNX01_sp905372165,shared
CAJPTP01_sp905373555,shared
Capnocytophaga_bilenii,shared
Capnocytophaga_gingivalis,shared
Capnocytophaga_granulosa,shared
Capnocytophaga_leadbetteri,shared
Capnocytophaga_ochracea,shared
Capnocytophaga_sp000466425,shared
Capnocytophaga_sp905372595,shared
Capnocytophaga_sputigena,shared
Cardiobacterium_hominis,shared
Centipeda_artemidis,shared
Centipeda_felix,shared
Centipeda_massiliensis,shared
Centipeda_noxia,shared
Centipeda_sp015265235,shared
Citrobacter_B_koseri,shared
Citrobacter_freundii,shared
Comamonas_tsuruhatensis,shared
Corynebacterium_accolens,shared
Corynebacterium_argentoratense,shared
Corynebacterium_aurimucosum_E,shared
Corynebacterium_durum,shared
Corynebacterium_matruchotii,shared
Corynebacterium_striatum,shared
Cryptobacterium_curtum,shared
Cutibacterium_acnes,shared
Cutibacterium_avidum,shared
Cutibacterium_modestum,shared
Deinococcus_radiodurans,shared
Dialister_invisus,shared
Enterobacter_cloacae,shared
Enterobacter_roggenkampii,shared
Enterococcus_faecalis,shared
Escherichia_coli,shared
Eubacterium_B_sulci,shared
Ezakiella_sp900540185,shared
F0058_sp000163695,shared
F0058_sp905372135,shared
F0058_sp905372605,shared
F0428_sp003043955,shared
Fannyhessea_vaginae,shared
Fenollaria_massiliensis,shared
Fusicatenibacter_saccharivorans,shared
Gemella_sanguinis,shared
Haemophilus_A_parahaemolyticus,shared
Haemophilus_A_sputorum,shared
Haemophilus_D_parainfluenzae,shared
Haemophilus_D_parainfluenzae_J,shared
Haemophilus_D_sp900756875,shared
Haemophilus_seminalis,shared
JABZIP01_sp015258265,shared
Jonquetella_anthropi,shared
Kingella_A_denitrificans,shared
Klebsiella_aerogenes,shared
Klebsiella_pneumoniae,shared
Kocuria_palustris,shared
Kocuria_rhizophila,shared
Lacticaseibacillus_rhamnosus,shared
Lactiplantibacillus_plantarum,shared
Lactobacillus_crispatus,shared
Lactobacillus_gasseri,shared
Lactobacillus_iners,shared
Lactobacillus_paragasseri,shared
Lautropia_dentalis,shared
Lautropia_mirabilis,shared
Lawsonella_clevelandensis,shared
Lawsonella_sp018376445,shared
Ligilactobacillus_salivarius,shared
Limosilactobacillus_mucosae,shared
Limosilactobacillus_portuensis,shared
Microbacterium_aurum,shared
Microbacterium_maritypicum,shared
Micrococcus_luteus,shared
Mogibacterium_diversum,shared
Moraxella_A_cinereus,shared
Neisseria_bacilliformis,shared
Neisseria_cinerea,shared
Neisseria_elongata,shared
Neisseria_flavescens,shared
Neisseria_meningitidis,shared
Neisseria_mucosa_A,shared
Neisseria_sicca_A,shared
Neisseria_sp000090875,shared
Neisseria_sp000186165,shared
Neisseria_subflava,shared
Ochrobactrum_B_teleogrylli,shared
Olegusella_massiliensis,shared
Olsenella_F_profusa_A,shared
Olsenella_uli,shared
Oribacterium_parvum,shared
Oribacterium_sinus,shared
Oribacterium_sp015258095,shared
Ottowia_sp001262075,shared
Parabacteroides_distasonis,shared
Pauljensenia_bouchesdurhonensis,shared
Pauljensenia_odontolytica_A,shared
Pauljensenia_sp000185285,shared
Pauljensenia_sp000278725,shared
Pauljensenia_sp000308055,shared
Pauljensenia_sp000466265,shared
Pauljensenia_sp000758755,shared
Pauljensenia_sp001072465,shared
Pauljensenia_sp018382595,shared
Pauljensenia_sp902373545,shared
Pauljensenia_turicensis,shared
Peptostreptococcus_sp900759325,shared
Phascolarctobacterium_faecium,shared
Phocaeicola_coprocola,shared
Phocaeicola_plebeius_A,shared
Porphyromonas_A_somerae,shared
Porphyromonas_asaccharolytica,shared
Porphyromonas_catoniae,shared
Porphyromonas_endodontalis,shared
Porphyromonas_gingivalis,shared
Porphyromonas_pasteri,shared
Porphyromonas_sp000467855,shared
Porphyromonas_sp003640335,shared
Porphyromonas_sp018127745,shared
Porphyromonas_sp900538385,shared
Porphyromonas_sp905372565,shared
Porphyromonas_uenonis,shared
Porphyromonas_uenonis_A,shared
Prevotella_aurantiaca,shared
Prevotella_baroniae,shared
Prevotella_conceptionensis,shared
Prevotella_denticola,shared
Prevotella_disiens,shared
Prevotella_histicola,shared
Prevotella_intermedia,shared
Prevotella_jejuni,shared
Prevotella_koreensis,shared
Prevotella_loescheii,shared
Prevotella_maculosa,shared
Prevotella_melaninogenica,shared
Prevotella_melaninogenica_A,shared
Prevotella_multiformis,shared
Prevotella_nanceiensis,shared
Prevotella_nigrescens,shared
Prevotella_oris,shared
Prevotella_oulorum,shared
Prevotella_pallens,shared
Prevotella_pleuritidis,shared
Prevotella_salivae,shared
Prevotella_shahii,shared
Prevotella_sp000599605,shared
Prevotella_sp013333285,shared
Prevotella_sp015256945,shared
Prevotella_sp018127805,shared
Prevotella_sp905372445,shared
Prevotella_timonensis,shared
Prevotella_veroralis,shared
Propionibacterium_acidifaciens,shared
Proteus_mirabilis,shared
Pseudomonas_E_juntendi,shared
Pseudomonas_E_veronii,shared
Pseudomonas_aeruginosa,shared
Psychrobacter_faecalis,shared
Ralstonia_pickettii_B,shared
Rothia_aeria,shared
Rothia_dentocariosa,shared
Rothia_mucilaginosa,shared
Rothia_mucilaginosa_B,shared
Rothia_sp001808955,shared
Ruminococcus_D_bicirculans,shared
Ruminococcus_E_bromii_B,shared
Saccharimonas_sp010202265,shared
Scardovia_wiggsiae,shared
Selenomonas_sp905372355,shared
Selenomonas_sp905373085,shared
Shuttleworthia_satelles,shared
Slackia_exigua,shared
Sneathia_vaginalis,shared
Sphingobium_yanoikuyae,shared
Sphingomonas_echinoides,shared
Sphingomonas_sp017418975,shared
Staphylococcus_epidermidis,shared
Stenotrophomonas_maltophilia,shared
Stomatobaculum_longum,shared
Stomatobaculum_longum_A,shared
Streptococcus_agalactiae,shared
Streptococcus_anginosus,shared
Streptococcus_gordonii,shared
Streptococcus_infantis_B,shared
Streptococcus_rubneri,shared
Streptococcus_salivarius,shared
Streptococcus_vestibularis,shared
Tannerella_forsythia,shared
Treponema_B_denticola,shared
Treponema_C_lecithinolyticum,shared
Treponema_sp905372265,shared
Treponema_sp905373565,shared
Veillonella_atypica,shared
Veillonella_parvula_A,shared
Veillonella_rogosae,shared
Veillonella_sp900552445,shared
Veillonella_sp900757715,shared
Veillonella_tobetsuensis,shared
Xanthomonas_campestris,shared
13_2_20CM_66_19_sp021817875,GTDB_only
14_2_sp910577785,GTDB_only
14_2_sp910580195,GTDB_only
14_2_sp910587895,GTDB_only
14_2_sp910588845,GTDB_only
1XD42_69_sp011959925,GTDB_only
1XD42_69_sp022794015,GTDB_only
1XD8_76_sp003611955,GTDB_only
1XD8_76_sp910578085,GTDB_only
2_02_FULL_61_13_sp001801865,GTDB_only
2_12_FULL_67_15_sp016872535,GTDB_only
34_65_8_sp023384025,GTDB_only
3_1_20CM_4_69_9_sp001920085,GTDB_only
49_20_sp002417685,GTDB_only
62_47_sp017305535,GTDB_only
69_11_sp017304945,GTDB_only
ALPHA2B_sp005503065,GTDB_only
ALPHA2B_sp901875635,GTDB_only
AR31_sp003221595,GTDB_only
AV40_sp003218705,GTDB_only
AWTP1_13_sp024281145,GTDB_only
AWVT01_sp000469545,GTDB_only
Abiotrophia_defectiva,GTDB_only
Abiotrophia_sp001815865,GTDB_only
Abyssibacter_profundi,GTDB_only
Accumulibacter_cognatus,GTDB_only
Acetatifactor_sp003612485,GTDB_only
Acetatifactor_sp910578815,GTDB_only
Acetatifactor_sp910578995,GTDB_only
Acetatifactor_sp910583845,GTDB_only
Acetatifactor_sp910584235,GTDB_only
Acetatifactor_sp910584375,GTDB_only
Acetatifactor_sp910584435,GTDB_only
Acetatifactor_sp910585015,GTDB_only
Acetatifactor_sp910585615,GTDB_only
Achromobacter_denitrificans,GTDB_only
Achromobacter_insuavis,GTDB_only
Achromobacter_marplatensis,GTDB_only
Achromobacter_mucicolens,GTDB_only
Acidiphilium_sp021799015,GTDB_only
Acidisoma_sp009765865,GTDB_only
Acidithiobacillus_ferrooxidans,GTDB_only
Acidovorax_A_sp913774625,GTDB_only
Acidovorax_C_sp001725235,GTDB_only
Acidovorax_defluvii,GTDB_only
Acidovorax_delafieldii,GTDB_only
Acidovorax_facilis,GTDB_only
Acidovorax_kalamii,GTDB_only
Acidovorax_radicis_A,GTDB_only
Acidovorax_sp000302535,GTDB_only
Acidovorax_sp001428665,GTDB_only
Acidovorax_sp001464865,GTDB_only
Acidovorax_sp001633105,GTDB_only
