"feature","Genus","term","lfc","q","diff_abn"
"s__Methanobrevibacter_A oralis","g__Methanobrevibacter_A","Periodontitis",-0.051538318161235,0.993205612069886,FALSE
"g__Methanomethylophilus_HROM_Genome_0002","g__Methanomethylophilus","Periodontitis",-0.0709175556252694,0.993095722878554,FALSE
"g__Actinomyces_HROM_Genome_0303","g__Actinomyces","Periodontitis",-0.47849053585269,0.774117565180497,FALSE
"g__Actinomyces_HROM_Genome_0320","g__Actinomyces","Periodontitis",-0.791455697612911,0.622963658356444,FALSE
"g__Actinomyces_HROM_Genome_0322","g__Actinomyces","Periodontitis",-0.412270771059642,0.74543746654338,FALSE
"g__Actinomyces_HROM_Genome_0328","g__Actinomyces","Periodontitis",-0.306084090370478,0.866351871793429,FALSE
"g__Actinomyces_HROM_Genome_0330","g__Actinomyces","Periodontitis",-0.57606724282414,0.678192254672567,FALSE
"g__Actinomyces_HROM_Genome_0334","g__Actinomyces","Periodontitis",-0.427031699783762,0.737213585905188,FALSE
"g__Actinomyces_HROM_Genome_0335","g__Actinomyces","Periodontitis",-0.617129705450888,0.683139798029636,FALSE
"g__Actinomyces_HROM_Genome_0338","g__Actinomyces","Periodontitis",-0.441069395096079,0.779662491774316,FALSE
"g__Actinomyces_HROM_Genome_0339","g__Actinomyces","Periodontitis",-0.81396510217985,0.524165590440861,FALSE
"g__Actinomyces_HROM_Genome_0340","g__Actinomyces","Periodontitis",-0.430779320831496,0.813092850542769,FALSE
"s__Actinomyces dentalis","g__Actinomyces","Periodontitis",-0.815191782846217,0.459022107474901,FALSE
"s__Actinomyces gerencseriae","g__Actinomyces","Periodontitis",-0.839192500964428,0.453945218970669,FALSE
"s__Actinomyces graevenitzii","g__Actinomyces","Periodontitis",-0.649464703893606,0.740386068350086,FALSE
"s__Actinomyces israelii","g__Actinomyces","Periodontitis",0.539535771049799,0.712798227582366,FALSE
"s__Actinomyces johnsonii","g__Actinomyces","Periodontitis",-1.18687710580255,0.0518041676559337,FALSE
"s__Actinomyces massiliensis","g__Actinomyces","Periodontitis",-0.44761120600093,0.76212657335791,FALSE
"s__Actinomyces naeslundii","g__Actinomyces","Periodontitis",-0.558315733597449,0.737213585905188,FALSE
"s__Actinomyces oricola","g__Actinomyces","Periodontitis",0.434289204669278,0.747192042102306,FALSE
"s__Actinomyces oris","g__Actinomyces","Periodontitis",-0.559420084353797,0.712302294909088,FALSE
"s__Actinomyces oris_A","g__Actinomyces","Periodontitis",-0.517466244400969,0.707378257117844,FALSE
"s__Actinomyces oris_B","g__Actinomyces","Periodontitis",-0.365908411538805,0.805962450333969,FALSE
"s__Actinomyces oris_C","g__Actinomyces","Periodontitis",-0.499179993352112,0.697005887772478,FALSE
"s__Actinomyces oris_D","g__Actinomyces","Periodontitis",-0.358955958649129,0.845906548531125,FALSE
"s__Actinomyces oris_E","g__Actinomyces","Periodontitis",-0.634225893655876,0.678192254672567,FALSE
"s__Actinomyces radicidentis","g__Actinomyces","Periodontitis",-0.0370616299747678,0.993205612069886,FALSE
"s__Actinomyces sp000195595","g__Actinomyces","Periodontitis",-0.849412728226177,0.636735506954597,FALSE
"s__Actinomyces sp000220835","g__Actinomyces","Periodontitis",-1.18489299100034,0.499538691392433,FALSE
"s__Actinomyces sp001278845","g__Actinomyces","Periodontitis",-0.603205911886128,0.620070094186829,FALSE
"s__Actinomyces sp002999235","g__Actinomyces","Periodontitis",-0.378181343644972,0.857524817883019,FALSE
"s__Actinomyces sp900323545","g__Actinomyces","Periodontitis",-0.0031903588961586,0.999138771023159,FALSE
"s__Actinomyces timonensis","g__Actinomyces","Periodontitis",0.692756011598833,0.714115904253452,FALSE
"s__Actinomyces urogenitalis","g__Actinomyces","Periodontitis",-0.0895749025426701,0.991128188958168,FALSE
"g__Mobiluncus_HROM_Genome_0351","g__Mobiluncus","Periodontitis",0.118149046453389,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0213","g__Pauljensenia","Periodontitis",0.0736542776144714,0.98133767629089,FALSE
"g__Pauljensenia_HROM_Genome_0217","g__Pauljensenia","Periodontitis",-0.133516887168617,0.972053408022358,FALSE
"g__Pauljensenia_HROM_Genome_0220","g__Pauljensenia","Periodontitis",-0.303995306493517,0.956837272116643,FALSE
"g__Pauljensenia_HROM_Genome_0222","g__Pauljensenia","Periodontitis",-0.202741386574766,0.968071182757557,FALSE
"g__Pauljensenia_HROM_Genome_0223","g__Pauljensenia","Periodontitis",-0.897115431903937,0.524165590440861,FALSE
"g__Pauljensenia_HROM_Genome_0224","g__Pauljensenia","Periodontitis",-1.21358222159968,0.314933653427023,FALSE
"g__Pauljensenia_HROM_Genome_0225","g__Pauljensenia","Periodontitis",0.202762964181391,0.952506079663812,FALSE
"g__Pauljensenia_HROM_Genome_0227","g__Pauljensenia","Periodontitis",0.00913039235059642,0.999138771023159,FALSE
"g__Pauljensenia_HROM_Genome_0229","g__Pauljensenia","Periodontitis",-0.281909445869453,0.917767683852436,FALSE
"g__Pauljensenia_HROM_Genome_0230","g__Pauljensenia","Periodontitis",-0.112874308947125,0.98613227013856,FALSE
"g__Pauljensenia_HROM_Genome_0231","g__Pauljensenia","Periodontitis",-0.266788292233611,0.887528990274065,FALSE
"g__Pauljensenia_HROM_Genome_0232","g__Pauljensenia","Periodontitis",-0.023491252729512,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0235","g__Pauljensenia","Periodontitis",-0.216579942978369,0.906659104245052,FALSE
"g__Pauljensenia_HROM_Genome_0236","g__Pauljensenia","Periodontitis",-0.19472376832299,0.921306873937482,FALSE
"g__Pauljensenia_HROM_Genome_0237","g__Pauljensenia","Periodontitis",-0.0507647014621628,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0238","g__Pauljensenia","Periodontitis",0.238587812830483,0.911779342069211,FALSE
"g__Pauljensenia_HROM_Genome_0239","g__Pauljensenia","Periodontitis",-0.279114049929997,0.905774141170589,FALSE
"g__Pauljensenia_HROM_Genome_0243","g__Pauljensenia","Periodontitis",-0.331479255946191,0.906659104245052,FALSE
"g__Pauljensenia_HROM_Genome_0247","g__Pauljensenia","Periodontitis",0.0268923301586538,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0252","g__Pauljensenia","Periodontitis",0.0982135386328259,0.977197111557601,FALSE
"g__Pauljensenia_HROM_Genome_0253","g__Pauljensenia","Periodontitis",-0.0480542919111938,0.993205612069886,FALSE
"g__Pauljensenia_HROM_Genome_0255","g__Pauljensenia","Periodontitis",0.0977312400222485,0.986063025603315,FALSE
