"feature","glr","p","padj","Genus"
"g__Treponema_B_HROM_Genome_5029",4.41257779661472,6.55171893049863e-07,0.000999000999000999,"g__Treponema_B"
"s__Treponema_D parvum",2.83138314632624,8.00368272676431e-07,0.000999000999000999,"g__Treponema_D"
"s__Porphyromonas gulae",5.26079836959706,9.79118941168893e-07,0.000999000999000999,"g__Porphyromonas"
"s__Porphyromonas gingivalis",5.76946609068744,1.29495732501902e-06,0.000999000999000999,"g__Porphyromonas"
"s__CAJPNN01 sp905372035",3.42884051868735,1.72516491578502e-06,0.000999000999000999,"g__CAJPNN01"
"s__Treponema_B sp905372345",4.36952471915157,1.87856579055341e-06,0.000999000999000999,"g__Treponema_B"
"g__Treponema_B_HROM_Genome_5027",3.99125586051954,3.05843404136769e-06,0.000999000999000999,"g__Treponema_B"
"s__Treponema_B putidum",3.35850255390411,3.6320870485369e-06,0.000999000999000999,"g__Treponema_B"
"s__Treponema sp905373565",3.54889404974399,3.92366282642295e-06,0.000999000999000999,"g__Treponema"
"s__Treponema_B denticola",3.28042332832539,4.42461224974135e-06,0.000999000999000999,"g__Treponema_B"
"g__Treponema_B_HROM_Genome_5030",4.27941982910349,5.02797411521938e-06,0.0010465724751439,"g__Treponema_B"
"s__Treponema sp018336815",2.92404781742932,5.60149371661424e-06,0.0010465724751439,"g__Treponema"
"g__W11650_HROM_Genome_1879",4.74920066292229,8.88708131288451e-06,0.0010465724751439,"g__W11650"
"s__Prevotella sp905372445",4.67000097491623,8.96151435525794e-06,0.0010465724751439,"g__Prevotella"
"g__Treponema_HROM_Genome_5054",4.14004968545299,8.97864124441687e-06,0.0010465724751439,"g__Treponema"
"g__Johnsonella_HROM_Genome_1709",3.68980717192845,9.7115638150674e-06,0.0010465724751439,"g__Johnsonella"
"g__Treponema_HROM_Genome_5049",3.79978754681124,1.1294146461064e-05,0.0010465724751439,"g__Treponema"
"s__Treponema medium",2.67212884697052,1.2667708718191e-05,0.0010465724751439,"g__Treponema"
"g__W11650_HROM_Genome_1877",4.04543909695324,1.28604609135465e-05,0.0010465724751439,"g__W11650"
"g__Treponema_HROM_Genome_5055",2.82457256962016,1.76409707498782e-05,0.0010465724751439,"g__Treponema"
