"feature","glr","p","padj","Genus"
"g__Pauljensenia_HROM_Genome_0258",-1.71189913653938,0.000932959712215099,0.818181818181818,"g__Pauljensenia"
"g__Nanosynbacter_HROM_Genome_3571",-1.67248959239637,0.000334048363910299,0.904095904095904,"g__Nanosynbacter"
"s__Nanosynbacter sp900556355",-2.57186282773708,0.00227998806494232,0.904095904095904,"g__Nanosynbacter"
"s__Streptococcus mitis_BT",-1.59566736672969,0.00231022693303788,0.904095904095904,"g__Streptococcus"
"s__Streptococcus mutans",2.01403220271901,0.00419337067910913,0.92052392052392,"g__Streptococcus"
"s__Streptococcus gordonii",1.4093357283213,0.00495414999757172,0.92052392052392,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2316",-1.85082575827347,0.00506732297187965,0.92052392052392,"g__Streptococcus"
"g__Pauljensenia_HROM_Genome_0264",-1.14263111190516,0.00672691848997977,0.92052392052392,"g__Pauljensenia"
"g__Leptotrichia_HROM_Genome_2869",1.06352138541978,0.00753137069833905,0.92052392052392,"g__Leptotrichia"
"g__Campylobacter_A_HROM_Genome_1297",-1.0928497801554,0.00294557770796852,0.993478021701597,"g__Campylobacter_A"
"s__Streptococcus oralis_J",0.949779509437661,0.00715025880365767,0.993478021701597,"g__Streptococcus"
"s__Leptotrichia shahii",1.30274477174722,0.00956078646715874,0.993478021701597,"g__Leptotrichia"
"s__Streptococcus sp000235485",-1.732743752267,0.0114214414989351,0.993478021701597,"g__Streptococcus"
"g__Saccharimonas_HROM_Genome_3335",1.1770981191588,0.0117822307581502,0.993478021701597,"g__Saccharimonas"
"g__Campylobacter_A_HROM_Genome_1585",1.10040318465753,0.0128576381039551,0.993478021701597,"g__Campylobacter_A"
"s__Actinomyces oris_B",0.846355361232123,0.0150988228326184,0.993478021701597,"g__Actinomyces"
"g__Nanosynbacter_HROM_Genome_3548",-0.904152056030976,0.0154020805745026,0.993478021701597,"g__Nanosynbacter"
"s__Actinomyces timonensis",1.47046573319915,0.0174404373240628,0.993478021701597,"g__Actinomyces"
"g__Streptococcus_HROM_Genome_2195",1.36224693044649,0.0186677039207573,0.993478021701597,"g__Streptococcus"
"g__Catonella_HROM_Genome_1690",-1.27149417862625,0.0203525088459479,0.993478021701597,"g__Catonella"
"g__Pauljensenia_HROM_Genome_0267",-1.02579386949168,0.0220077723075816,0.993478021701597,"g__Pauljensenia"
"g__Nanosyncoccus_HROM_Genome_4492",-0.781268564729435,0.0242732720609576,0.993478021701597,"g__Nanosyncoccus"
"g__Catonella_HROM_Genome_1684",-1.1779595850448,0.0244893460091935,0.993478021701597,"g__Catonella"
"g__Campylobacter_A_HROM_Genome_1347",-0.865545917207467,0.024766241005128,0.993478021701597,"g__Campylobacter_A"
"g__Lachnoanaerobaculum_HROM_Genome_1729",1.53800796391584,0.0261222689144677,0.993478021701597,"g__Lachnoanaerobaculum"
"g__Nanosynbacter_HROM_Genome_3549",-1.09724803925204,0.0268912006836336,0.993478021701597,"g__Nanosynbacter"
"s__Johnsonella sp900766185",1.2613565245491,0.0270269457804045,0.993478021701597,"g__Johnsonella"
"g__JABCPE02_HROM_Genome_1196",0.709432447766287,0.02710516229284,0.993478021701597,"g__JABCPE02"
"g__JABCPE02_HROM_Genome_1193",0.915571015840423,0.0282976329875583,0.993478021701597,"g__JABCPE02"
"g__Streptococcus_HROM_Genome_2540",1.12511017948112,0.029504935637054,0.993478021701597,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2367",0.870878060319062,0.0298079643231446,0.993478021701597,"g__Streptococcus"
"g__Pauljensenia_HROM_Genome_0294",-1.46917309679327,0.0315508764745502,0.993478021701597,"g__Pauljensenia"
"g__JABCPE02_HROM_Genome_1200",0.708968226928574,0.0315508764745502,0.993478021701597,"g__JABCPE02"
"g__Pauljensenia_HROM_Genome_0253",-1.36674085323762,0.031555214782181,0.993478021701597,"g__Pauljensenia"
"g__Pauljensenia_HROM_Genome_0260",-0.801932353403623,0.031555214782181,0.993478021701597,"g__Pauljensenia"
"g__Brooklawnia_HROM_Genome_0402",1.70276810855213,0.0326171542327116,0.993478021701597,"g__Brooklawnia"
"s__Streptococcus oralis_B",1.39266549926778,0.0326200760387502,0.993478021701597,"g__Streptococcus"
"s__Streptococcus mitis_J",0.844469230972527,0.0330061824805192,0.993478021701597,"g__Streptococcus"
"s__Nanosynbacter sp007845355",-1.90297933769135,0.0331595994888549,0.993478021701597,"g__Nanosynbacter"
"g__Pauljensenia_HROM_Genome_0296",-2.1411837415425,0.0339604457554333,0.993478021701597,"g__Pauljensenia"
"g__Saccharimonas_HROM_Genome_3412",0.698779161661118,0.0340293151312116,0.993478021701597,"g__Saccharimonas"
"s__Streptococcus oralis_BE",0.785649246602018,0.0343591024088038,0.993478021701597,"g__Streptococcus"
"g__Rothia_HROM_Genome_0196",-1.33109536915823,0.0344052860086421,0.993478021701597,"g__Rothia"
"g__Cardiobacterium_HROM_Genome_4911",0.961037230634039,0.0348537196218171,0.993478021701597,"g__Cardiobacterium"
"g__Bulleidia_HROM_Genome_2044",-1.10490713102838,0.0357241286822507,0.993478021701597,"g__Bulleidia"
"g__Streptococcus_HROM_Genome_2304",-1.3274948832507,0.0362160843448259,0.993478021701597,"g__Streptococcus"
"s__Actinomyces radicidentis",1.33650703789826,0.036264901512496,0.993478021701597,"g__Actinomyces"
"g__Streptococcus_HROM_Genome_2221",-1.74339903526236,0.0364176418000423,0.993478021701597,"g__Streptococcus"
"s__Kingella_B oralis_A",0.24124863674206,0.0370928220862876,0.993478021701597,"g__Kingella_B"
"g__Granulicatella_HROM_Genome_2576",1.1354929879622,0.0375320831982589,0.993478021701597,"g__Granulicatella"
"g__Catonella_HROM_Genome_1675",-1.68509444470831,0.0375320831982589,0.993478021701597,"g__Catonella"
