"feature","glr","p","padj","Genus"
"s__Centipeda sp000468035",-2.64672857637302,0.00123262573121469,0.174075924075924,"g__Centipeda"
"g__Prevotella_HROM_Genome_1169",-2.57420682930994,0.00170358967695391,0.174075924075924,"g__Prevotella"
"g__Arachnia_HROM_Genome_0390",-3.23487667561208,0.00302105590259337,0.174075924075924,"g__Arachnia"
"g__Prevotella_HROM_Genome_1171",-2.49354196773599,0.00311300096877763,0.174075924075924,"g__Prevotella"
"s__Granulicatella sp900551535",1.82860287394793,0.00311300096877763,0.174075924075924,"g__Granulicatella"
"g__Prevotella_HROM_Genome_1172",-1.73191752460289,0.00317521716113178,0.174075924075924,"g__Prevotella"
"g__Prevotella_HROM_Genome_1174",-2.52478826081119,0.00317521716113178,0.174075924075924,"g__Prevotella"
"s__Pseudoleptotrichia goodfellowii",-2.69067036772824,0.00351703534795303,0.174075924075924,"g__Pseudoleptotrichia"
"g__Streptococcus_HROM_Genome_2389",-2.69067046574142,0.00408604182480294,0.174159174159174,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2457",-2.89067948060974,0.0042031194763143,0.174159174159174,"g__Streptococcus"
"g__Treponema_HROM_Genome_5042",-1.81559048002186,0.00426237296304439,0.174159174159174,"g__Treponema"
"s__Arachnia rubra",-5.2189877527245,0.00428223000760097,0.174159174159174,"g__Arachnia"
"s__CAG-793 sp013333035",2.63504791185931,0.00239674634358683,0.258913500292811,"g__CAG-793"
"s__Prevotella micans",-2.59859968837683,0.00572853762085974,0.258913500292811,"g__Prevotella"
"g__Alloprevotella_HROM_Genome_1051",-2.99120276786372,0.00747747332508195,0.258913500292811,"g__Alloprevotella"
"s__Prevotella sp018127805",-3.47741726487793,0.00760164147522017,0.258913500292811,"g__Prevotella"
"s__Aggregatibacter sp000466335",-2.11713460294322,0.00760164147522017,0.258913500292811,"g__Aggregatibacter"
"s__Rodentibacter sp901420285",-2.21865897161636,0.00760164147522017,0.258913500292811,"g__Rodentibacter"
"s__Treponema sp000775995",-2.4277830183903,0.00760164147522017,0.258913500292811,"g__Treponema"
"g__Campylobacter_A_HROM_Genome_1641",-3.45886123455954,0.00838705489654272,0.258913500292811,"g__Campylobacter_A"
"s__JABZIP01 sp015258265",-5.87006488053484,0.00925172012003566,0.258913500292811,"g__JABZIP01"
"g__Aggregatibacter_HROM_Genome_4966",-1.82884431620046,0.00996789584194826,0.258913500292811,"g__Aggregatibacter"
"g__Prevotella_HROM_Genome_1162",-1.80144796650647,0.010006315526918,0.258913500292811,"g__Prevotella"
"g__Prevotella_HROM_Genome_1173",-2.01133192832506,0.010006315526918,0.258913500292811,"g__Prevotella"
"s__Prevotella conceptionensis",-1.46416420960226,0.010006315526918,0.258913500292811,"g__Prevotella"
"g__Centipeda_HROM_Genome_2753",-2.89767722433727,0.010006315526918,0.258913500292811,"g__Centipeda"
"s__Treponema sp905373565",-2.16135486755135,0.010006315526918,0.258913500292811,"g__Treponema"
"g__CAJPSE01_HROM_Genome_5102",-3.44963767559901,0.010006315526918,0.258913500292811,"g__CAJPSE01"
"g__Haemophilus_A_HROM_Genome_4931",-4.58063516749202,0.011024162804727,0.258913500292811,"g__Haemophilus_A"
"g__Gemella_HROM_Genome_2686",-2.58865964581753,0.0121427187554179,0.286308286308286,"g__Gemella"
"s__Aggregatibacter segnis",-1.76052594860059,0.0130195505302024,0.286308286308286,"g__Aggregatibacter"
"s__CAJPSE01 sp905373185",-4.14139135525682,0.0130195505302024,0.286308286308286,"g__CAJPSE01"
"s__Prevotella oralis",-2.77328158870694,0.0130664728305287,0.286308286308286,"g__Prevotella"
"s__Oribacterium asaccharolyticum",2.86459858591261,0.0130664728305287,0.286308286308286,"g__Oribacterium"
"s__Haemophilus_A parahaemolyticus",-4.09542140301967,0.0130664728305287,0.286308286308286,"g__Haemophilus_A"
"s__Mesocricetibacter sp905373425",-1.86077827046253,0.0130664728305287,0.286308286308286,"g__Mesocricetibacter"
"g__CAJPSE01_HROM_Genome_5103",-3.03736012505169,0.0130664728305287,0.286308286308286,"g__CAJPSE01"
"s__Gemella haemolysans_B",-2.48590171516428,0.0149895754764423,0.287132867132867,"g__Gemella"
"g__Peptoanaerobacter_HROM_Genome_1937",-2.86272457888808,0.015807542192642,0.287132867132867,"g__Peptoanaerobacter"
"g__Kingella_B_HROM_Genome_4880",-2.30274320325858,0.015807542192642,0.287132867132867,"g__Kingella_B"
"g__Arachnia_HROM_Genome_0393",-2.60185980169828,0.0167003798046355,0.287132867132867,"g__Arachnia"
"g__W11650_HROM_Genome_1878",-2.76230407173752,0.0167003798046355,0.287132867132867,"g__W11650"
"g__Prevotella_HROM_Genome_1010",-1.07938337457248,0.0169268030919366,0.287132867132867,"g__Prevotella"
"s__F0058 sp000163695",-1.73147897311169,0.0169268030919366,0.287132867132867,"g__F0058"
"s__Oribacterium sinus",2.70765018153691,0.0169268030919366,0.287132867132867,"g__Oribacterium"
"s__Aggregatibacter aphrophilus",-1.78628602513752,0.0169268030919366,0.287132867132867,"g__Aggregatibacter"
"g__Treponema_HROM_Genome_5035",-2.3508479792764,0.0169268030919366,0.287132867132867,"g__Treponema"
"g__Treponema_HROM_Genome_5055",-2.47320969441026,0.0169268030919366,0.287132867132867,"g__Treponema"
"s__Treponema medium",-1.57644691136784,0.0169268030919366,0.287132867132867,"g__Treponema"
"g__Treponema_B_HROM_Genome_5029",-2.93135315607508,0.0169268030919366,0.287132867132867,"g__Treponema_B"
"s__Campylobacter_A sp014253065",-2.37373661434783,0.0180807554114222,0.333959144303972,"g__Campylobacter_A"
"g__Arachnia_HROM_Genome_0394",-2.91805174594612,0.0216861652301217,0.333959144303972,"g__Arachnia"
"g__Neisseria_HROM_Genome_4852",-3.77439925496089,0.0216861652301217,0.333959144303972,"g__Neisseria"
"s__Rothia mucilaginosa_B",1.8844849027955,0.0217540370415449,0.333959144303972,"g__Rothia"
"s__Prevotella shahii",-4.00902861047652,0.0217540370415449,0.333959144303972,"g__Prevotella"
"s__F0058 sp905372605",-2.22911484909379,0.0217540370415449,0.333959144303972,"g__F0058"
"s__Treponema sp010365865",-1.31362559427245,0.0217540370415449,0.333959144303972,"g__Treponema"
"s__Treponema vincentii",-2.77108346941822,0.0217540370415449,0.333959144303972,"g__Treponema"
"g__Campylobacter_A_HROM_Genome_1360",1.77646241911654,0.00741999655047304,0.337362637362637,"g__Campylobacter_A"
"g__Granulicatella_HROM_Genome_2603",1.72693144998172,0.0238526056914336,0.337362637362637,"g__Granulicatella"
"g__Fen-668_HROM_Genome_0397",-3.20398116731099,0.0156795092968516,0.394662480376766,"g__Fen-668"
"g__JABCPE02_HROM_Genome_1186",-3.14395851926168,0.0156795092968516,0.394662480376766,"g__JABCPE02"
"s__Haemophilus_A parahaemolyticus_A",-2.98766416743255,0.0261451932837057,0.394662480376766,"g__Haemophilus_A"
"g__Eikenella_HROM_Genome_4848",-1.76997747589566,0.0276573110441632,0.394662480376766,"g__Eikenella"
"s__Actinomyces johnsonii",-3.39142088784075,0.0277376763935575,0.394662480376766,"g__Actinomyces"
"s__Actinomyces naeslundii",-3.27357869371956,0.0277376763935575,0.394662480376766,"g__Actinomyces"
"s__Rothia sp001808955",2.8288443994691,0.0277376763935575,0.394662480376766,"g__Rothia"
"g__Tannerella_HROM_Genome_1115",-3.19209528557151,0.0277376763935575,0.394662480376766,"g__Tannerella"
"g__W11650_HROM_Genome_1877",-2.35406999139768,0.0277376763935575,0.394662480376766,"g__W11650"
"g__Treponema_HROM_Genome_5053",-1.34266494366193,0.0277376763935575,0.394662480376766,"g__Treponema"
"g__Pauljensenia_HROM_Genome_0231",1.92983814857651,0.023693696800872,0.44852737623822,"g__Pauljensenia"
"s__Nanosynbacter sp900556355",-2.48650335572241,0.0299323934046231,0.44852737623822,"g__Nanosynbacter"
"g__Streptococcus_HROM_Genome_2117",2.12461928080854,0.0310791098797042,0.44852737623822,"g__Streptococcus"
"g__Streptococcus_HROM_Genome_2191",-2.26333969954666,0.0310791098797042,0.44852737623822,"g__Streptococcus"
