"feature","glr","p","padj","Genus"
"s__Pseudomonas aeruginosa",3.41779498786412,0.0178047265404704,0.567182817182817,"g__Pseudomonas"
"s__Paraclostridium bifermentans",1.38883948427661,0.0431391174115744,0.567182817182817,"g__Paraclostridium"
"g__Streptococcus_HROM_Genome_2214",1.35181692197164,0.0625044145060983,0.567182817182817,"g__Streptococcus"
"s__CAISGS01 sp017418605",-0.636084431631156,0.0643135495912274,0.567182817182817,"g__CAISGS01"
"s__Corynebacterium aurimucosum_E",1.83526291427064,0.0298079643231446,0.668831168831169,"g__Corynebacterium"
"s__Brevundimonas sp002434505",-1.17582180422434,0.120809259775505,0.668831168831169,"g__Brevundimonas"
"g__Corynebacterium_HROM_Genome_0366",1.58500783212162,0.0442049005360428,0.677608106179535,"g__Corynebacterium"
"s__Sphingomonas echinoides",-0.447720873103786,0.170686901643934,0.763361638361638,"g__Sphingomonas"
"s__Prevotella melaninogenica",-1.11213865019538,0.0449950901275566,0.916940202654488,"g__Prevotella"
"s__Prevotella jejuni",-0.531996070255758,0.106541740089079,0.916940202654488,"g__Prevotella"
"s__Alloprevotella sp015259235",0.547503236055056,0.121079601732764,0.916940202654488,"g__Alloprevotella"
"s__Pseudomonas_E juntendi",1.62746843579706,0.202555813233815,0.916940202654488,"g__Pseudomonas_E"
"s__Porphyromonas pasteri",1.19401271902566,0.24990210791577,0.916940202654488,"g__Porphyromonas"
"s__Achromobacter xylosoxidans",0.972373974080395,0.261911361749016,0.916940202654488,"g__Achromobacter"
"s__Prevotella sp013333285",-0.547391901491329,0.102443015727569,0.952247752247752,"g__Prevotella"
"s__Klebsiella pneumoniae",-0.596604171877967,0.110042396703408,0.952247752247752,"g__Klebsiella"
"s__Prevotella shahii",0.755900921404193,0.249413757709233,0.952247752247752,"g__Prevotella"
"s__Pauljensenia sp000278725",-0.253833194030671,0.270921900832765,0.952247752247752,"g__Pauljensenia"
"s__Kocuria palustris",-0.709947835250637,0.299982282664295,0.952247752247752,"g__Kocuria"
"g__Prevotella_HROM_Genome_1010",0.169967905534551,0.302146385596595,0.952247752247752,"g__Prevotella"
"s__Bifidobacterium swidsinskii",-1.88895947636237,0.307698376708821,0.952247752247752,"g__Bifidobacterium"
"s__Prevotella salivae",-0.243855608321533,0.316174495074197,0.952247752247752,"g__Prevotella"
"s__Corynebacterium argentoratense",-0.134257097335748,0.343328278293725,0.952247752247752,"g__Corynebacterium"
"s__Bifidobacterium piotii",0.487813158630216,0.351963713131881,0.952247752247752,"g__Bifidobacterium"
