"feature","glr","p","padj","Genus"
"s__CAISGS01 sp017418605",-1.31089071777761,0.00170814901633615,0.014985014985015,"g__CAISGS01"
"s__Lactobacillus gasseri",2.44903066893087,0.0195132945807325,0.219380619380619,"g__Lactobacillus"
"s__Sphingomonas sp017418975",4.29068394769819,0.0273542405464136,0.219380619380619,"g__Sphingomonas"
"s__Pseudomonas aeruginosa",2.80446594709014,0.0273542405464136,0.219380619380619,"g__Pseudomonas"
"s__Paraclostridium bifermentans",4.73165845752144,0.0287006717416389,0.219380619380619,"g__Paraclostridium"
"s__Escherichia coli",-1.35746386925082,0.0304200374195737,0.303363303363303,"g__Escherichia"
"s__Streptococcus agalactiae",3.91310554559429,0.084013235357768,0.303363303363303,"g__Streptococcus"
"s__Prevotella nanceiensis",-2.08103315545728,0.0889401213929681,0.303363303363303,"g__Prevotella"
"s__Brevundimonas sp002434505",-1.84730802002963,0.0916179677851815,0.303363303363303,"g__Brevundimonas"
"s__Sphingomonas echinoides",-0.94963792618867,0.102427167226783,0.307892107892108,"g__Sphingomonas"
"g__Streptococcus_HROM_Genome_2214",1.19178829097774,0.0910025368978045,0.314140405049496,"g__Streptococcus"
"s__Alloprevotella sp015257125",-1.23650837253937,0.139323733216467,0.32967032967033,"g__Alloprevotella"
"s__Ralstonia pickettii_B",-0.912599464310699,0.139499832913799,0.32967032967033,"g__Ralstonia"
"g__Corynebacterium_HROM_Genome_0366",0.943414129041701,0.117546286311859,0.52700240935535,"g__Corynebacterium"
"s__Corynebacterium aurimucosum_E",1.96387928056141,0.117546286311859,0.52700240935535,"g__Corynebacterium"
"g__Neisseria_HROM_Genome_4825",1.04087521736514,0.117546286311859,0.52700240935535,"g__Neisseria"
"s__Bifidobacterium swidsinskii",2.76357985410967,0.178167598111373,0.52700240935535,"g__Bifidobacterium"
"s__Porphyromonas pasteri",1.72767547523175,0.350633943477059,0.796758796758797,"g__Porphyromonas"
"s__Acidovorax_A wautersii",1.75524986179983,0.293611551958597,0.868867974131132,"g__Acidovorax_A"
"s__Neisseria mucosa_A",0.566873157982901,0.246920387290103,0.988518148518149,"g__Neisseria"
"s__Corynebacterium argentoratense",-0.149352195841001,0.280680270962697,0.988518148518149,"g__Corynebacterium"
"s__Cutibacterium modestum",0.316546210733483,0.313030093740746,0.988518148518149,"g__Cutibacterium"
"g__Alloprevotella_HROM_Genome_1059",0.327198570358901,0.313030093740746,0.988518148518149,"g__Alloprevotella"
"s__Prevotella sp905372445",0.244764118403223,0.313030093740746,0.988518148518149,"g__Prevotella"
"s__Porphyromonas gingivalis",0.246980334889998,0.313030093740746,0.988518148518149,"g__Porphyromonas"
"s__Neisseria sicca_A",0.308367819268053,0.313030093740746,0.988518148518149,"g__Neisseria"
"s__Prevotella sp013333285",-0.125128618477986,0.337595721844082,0.988518148518149,"g__Prevotella"
"s__Lactobacillus iners",-1.16164497839318,0.353697791434002,0.988518148518149,"g__Lactobacillus"
"s__Pauljensenia sp000466265",0.214371314057437,0.39740050346714,0.988518148518149,"g__Pauljensenia"
"s__Rothia dentocariosa",0.15041096694305,0.39740050346714,0.988518148518149,"g__Rothia"
"s__Prevotella intermedia",0.277716611931441,0.39740050346714,0.988518148518149,"g__Prevotella"
"s__Prevotella melaninogenica_A",0.235573302052269,0.39740050346714,0.988518148518149,"g__Prevotella"
"s__Neisseria sp000090875",0.174627743024795,0.39740050346714,0.988518148518149,"g__Neisseria"
"g__Cupriavidus_HROM_Genome_4891",-0.701470522745041,0.453154991059467,0.988518148518149,"g__Cupriavidus"
"s__Acinetobacter johnsonii",0.813843767805679,0.501943495378303,0.988518148518149,"g__Acinetobacter"
"s__Neisseria elongata",0.88890279305253,0.505395811831594,0.988518148518149,"g__Neisseria"
"s__Pauljensenia sp000278725",0.0709062171375252,0.509727514244274,0.988518148518149,"g__Pauljensenia"
"g__Prevotella_HROM_Genome_0987",0.0709062171375253,0.509727514244274,0.988518148518149,"g__Prevotella"
"s__Prevotella salivae",0.0709062171375252,0.509727514244274,0.988518148518149,"g__Prevotella"
"s__Lactobacillus crispatus",0.0709062171375252,0.509727514244274,0.988518148518149,"g__Lactobacillus"
"s__Anaeroglobus micronuciformis",0.0709062171375252,0.509727514244274,0.988518148518149,"g__Anaeroglobus"
"s__Acinetobacter junii",0.0709062171375252,0.509727514244274,0.988518148518149,"g__Acinetobacter"
"s__Klebsiella aerogenes",-0.155279985066419,0.517534938748877,0.988518148518149,"g__Klebsiella"
"s__Micrococcus luteus",1.54338778247006,0.528603592565772,0.988518148518149,"g__Micrococcus"
"s__Prevotella pallens",-0.55317573830591,0.550121457125097,0.988518148518149,"g__Prevotella"
"s__Alloprevotella sp905369775",-0.736398174917637,0.56066838048253,0.988518148518149,"g__Alloprevotella"
"s__Prevotella jejuni",-0.096116048908853,0.583974577687082,0.988518148518149,"g__Prevotella"
"s__Alloprevotella sp015259235",0.437577895640108,0.58675629100254,0.988518148518149,"g__Alloprevotella"
"s__Alloprevotella sp900095835",-0.918589013917564,0.612498186531003,0.988518148518149,"g__Alloprevotella"
"s__Neisseria subflava",0.889358202179777,0.632386022438219,0.988518148518149,"g__Neisseria"
"s__Pseudomonas_E juntendi",-0.573472457222532,0.639556148966188,0.988518148518149,"g__Pseudomonas_E"
"s__Prevotella melaninogenica",0,0.676922239021379,0.988518148518149,"g__Prevotella"
"s__Klebsiella pneumoniae",0,0.676922239021379,0.988518148518149,"g__Klebsiella"
"s__Burkholderia contaminans",-0.681556791688463,0.677665988394887,0.988518148518149,"g__Burkholderia"
"s__Prevotella shahii",-0.666263291470434,0.681967680699377,0.988518148518149,"g__Prevotella"
"s__Prevotella aurantiaca",0.499348891637053,0.710655212825172,0.988518148518149,"g__Prevotella"
"s__Bifidobacterium piotii",0.514714319219114,0.739125255453599,0.988518148518149,"g__Bifidobacterium"
"s__Neisseria subflava_C",0.228580947407145,0.739125255453599,0.988518148518149,"g__Neisseria"
"s__Kocuria palustris",-0.120066035386381,0.792406276021396,0.988518148518149,"g__Kocuria"
"s__Moraxella_A cinereus",0.231729462679736,0.815113136860471,0.988518148518149,"g__Moraxella_A"
"s__Acinetobacter baumannii",-0.249758414290995,0.822903868186326,0.988518148518149,"g__Acinetobacter"
"s__Comamonas tsuruhatensis",0.172710920709389,0.855937976922322,0.988518148518149,"g__Comamonas"
"s__Prevotella histicola",0.221221033824841,0.88203459339153,0.988518148518149,"g__Prevotella"
"s__Sphingobium yanoikuyae",0.255222178227872,0.88203459339153,0.988518148518149,"g__Sphingobium"
"s__Neisseria sp000186165",0.550461022894708,0.889817229792613,0.988518148518149,"g__Neisseria"
"s__Cutibacterium acnes",0.0463282950077389,0.896867900430993,0.988518148518149,"g__Cutibacterium"
"s__Porphyromonas endodontalis",-0.174059026201923,0.904658360395804,0.988518148518149,"g__Porphyromonas"
"g__Neisseria_HROM_Genome_4837",-0.16545462143062,0.920420867884313,0.988518148518149,"g__Neisseria"
"s__Fannyhessea vaginae",0.479590733590695,0.930092009940812,0.988518148518149,"g__Fannyhessea"
"g__Prevotella_HROM_Genome_1010",0.208485452673004,0.930092009940812,0.988518148518149,"g__Prevotella"
"s__Prevotella timonensis",0.331324733271056,0.968151904732255,0.988518148518149,"g__Prevotella"
