"feature","glr","p","padj","Genus"
"s__Lactobacillus gasseri",-1.74767773279155,0.0289734162794445,0.945304695304695,"g__Lactobacillus"
"s__Pseudomonas aeruginosa",-3.18794628859068,0.050907608663849,0.945304695304695,"g__Pseudomonas"
"g__Cupriavidus_HROM_Genome_4891",1.73174039203461,0.0537380668130376,0.945304695304695,"g__Cupriavidus"
"s__CAISGS01 sp017418605",0.132311111285073,0.146582811732832,0.945304695304695,"g__CAISGS01"
"s__Prevotella sp905372445",-1.24185789782398,0.139178936234777,0.969982398553827,"g__Prevotella"
"s__Sphingomonas sp017418975",-1.28867959738742,0.139178936234777,0.969982398553827,"g__Sphingomonas"
"s__Kocuria palustris",0.125128618477986,0.194850648608869,0.969982398553827,"g__Kocuria"
"s__Porphyromonas endodontalis",0.125128618477986,0.194850648608869,0.969982398553827,"g__Porphyromonas"
"s__Neisseria elongata",0.125128618477986,0.194850648608869,0.969982398553827,"g__Neisseria"
"s__Brevundimonas sp002434505",0.428010311826872,0.205855637434087,0.969982398553827,"g__Brevundimonas"
"s__Fannyhessea vaginae",-2.21731809878923,0.219772435651193,0.969982398553827,"g__Fannyhessea"
"s__Porphyromonas pasteri",-2.02541688829601,0.223151665485851,0.969982398553827,"g__Porphyromonas"
"s__Neisseria flavescens",0.471506862306625,0.27960479749974,0.969982398553827,"g__Neisseria"
"g__Alloprevotella_HROM_Genome_1059",-0.30731614168214,0.345557023431301,0.969982398553827,"g__Alloprevotella"
"s__Porphyromonas gingivalis",-0.249666944693514,0.345557023431301,0.969982398553827,"g__Porphyromonas"
"s__Lactobacillus crispatus",-0.343412575698666,0.345557023431301,0.969982398553827,"g__Lactobacillus"
"s__Paraclostridium bifermentans",-1.79514039073541,0.374012675114495,0.969982398553827,"g__Paraclostridium"
"s__Moraxella_A cinereus",-2.05857884140184,0.39902572995277,0.969982398553827,"g__Moraxella_A"
"s__Comamonas tsuruhatensis",-1.19313327264266,0.425975111513605,0.969982398553827,"g__Comamonas"
"s__Alloprevotella sp900095835",0.976589335110122,0.434859484288402,0.969982398553827,"g__Alloprevotella"
"s__Micrococcus luteus",-1.54680922442202,0.440613986884049,0.969982398553827,"g__Micrococcus"
"s__Bifidobacterium swidsinskii",-1.00606192736732,0.441032296023608,0.969982398553827,"g__Bifidobacterium"
"s__Prevotella shahii",0.854128827584672,0.537283897161461,0.969982398553827,"g__Prevotella"
"s__Pauljensenia sp000278725",-0.0375385855433957,0.555689790282795,0.969982398553827,"g__Pauljensenia"
"s__Rothia dentocariosa",-0.0375385855433958,0.555689790282795,0.969982398553827,"g__Rothia"
"s__Corynebacterium aurimucosum_E",-0.0375385855433958,0.555689790282795,0.969982398553827,"g__Corynebacterium"
"s__Prevotella intermedia",-0.0375385855433958,0.555689790282795,0.969982398553827,"g__Prevotella"
"s__Prevotella melaninogenica",-0.0375385855433958,0.555689790282795,0.969982398553827,"g__Prevotella"
"s__Prevotella melaninogenica_A",-0.0375385855433958,0.555689790282795,0.969982398553827,"g__Prevotella"
"s__Prevotella salivae",-0.0375385855433958,0.555689790282795,0.969982398553827,"g__Prevotella"
"g__Neisseria_HROM_Genome_4825",-0.0375385855433957,0.555689790282795,0.969982398553827,"g__Neisseria"
"s__Klebsiella pneumoniae",-0.0375385855433959,0.555689790282795,0.969982398553827,"g__Klebsiella"
"s__Acinetobacter junii",-0.0375385855433958,0.555689790282795,0.969982398553827,"g__Acinetobacter"
"s__Lactobacillus iners",0.222530314321931,0.562803364984345,0.969982398553827,"g__Lactobacillus"
"s__Prevotella timonensis",-0.707890395337299,0.593764131333819,0.969982398553827,"g__Prevotella"
"s__Acinetobacter johnsonii",-0.86266088478067,0.593764131333819,0.969982398553827,"g__Acinetobacter"
"s__Prevotella histicola",0.100764971107675,0.606905427217951,0.969982398553827,"g__Prevotella"
"s__Prevotella jejuni",0.111995607823649,0.606905427217951,0.969982398553827,"g__Prevotella"
"s__Streptococcus agalactiae",0.159018602922171,0.606905427217951,0.969982398553827,"g__Streptococcus"
"s__Neisseria subflava_C",0.398289577087001,0.606905427217951,0.969982398553827,"g__Neisseria"
"s__Lawsonella sp018376445",-0.721034292341357,0.606983176332442,0.969982398553827,"g__Lawsonella"
"s__Alloprevotella sp905369775",0.494534778317001,0.607178900358781,0.969982398553827,"g__Alloprevotella"
"s__Neisseria subflava",-0.752219204713655,0.64358365511408,0.969982398553827,"g__Neisseria"
"s__Prevotella pallens",0.716090179572002,0.671817198284797,0.969982398553827,"g__Prevotella"
"s__Cutibacterium acnes",-0.320443734529679,0.673416574633767,0.969982398553827,"g__Cutibacterium"
"s__Burkholderia contaminans",0.974699334420053,0.678245612396045,0.969982398553827,"g__Burkholderia"
"s__Agrobacterium pusense",-0.369987497766095,0.699653391547356,0.969982398553827,"g__Agrobacterium"
"s__Stenotrophomonas maltophilia",-0.531860584735133,0.699653391547356,0.969982398553827,"g__Stenotrophomonas"
"s__Corynebacterium argentoratense",0.0846733265673257,0.731600588959901,0.969982398553827,"g__Corynebacterium"
"g__Prevotella_HROM_Genome_1010",-0.0240482154676599,0.731600588959901,0.969982398553827,"g__Prevotella"
"s__Prevotella aurantiaca",0.0627236630034645,0.731600588959901,0.969982398553827,"g__Prevotella"
"s__Prevotella sp013333285",0.0386067144316939,0.731600588959901,0.969982398553827,"g__Prevotella"
"s__Prevotella nanceiensis",0.191193426913522,0.742931086027574,0.969982398553827,"g__Prevotella"
"s__Alloprevotella sp015257125",-0.364344435227274,0.743059080835184,0.969982398553827,"g__Alloprevotella"
"s__Sphingomonas echinoides",0.141421366339136,0.743059080835184,0.969982398553827,"g__Sphingomonas"
"g__Neisseria_HROM_Genome_4837",0.0731211889923635,0.766980076618336,0.969982398553827,"g__Neisseria"
"s__Sphingobium yanoikuyae",-0.266623064774536,0.797030356738829,0.969982398553827,"g__Sphingobium"
"s__Escherichia coli",0.401879850871546,0.811498574944309,0.969982398553827,"g__Escherichia"
