"comparison","feature","Genus","LDA","enriched_in"
"N vs P","s__Fannyhessea vaginae","g__Fannyhessea",-3.92243803471603,"N"
"N vs P","s__Pseudomonas_E juntendi","g__Pseudomonas_E",2.26505146457897,"P"
"N vs P","s__Prevotella sp905372445","g__Prevotella",2.65217523650613,"P"
"P vs PD","s__Lactobacillus gasseri","g__Lactobacillus",-3.76413502338692,"P"
"P vs PD","s__Pseudomonas aeruginosa","g__Pseudomonas",-2.65289902239901,"P"
"P vs PD","g__Cupriavidus_HROM_Genome_4891","g__Cupriavidus",2.23177846874795,"PD"
"P vs PC","s__CAISGS01 sp017418605","g__CAISGS01",-4.97711884506034,"P"
"P vs PC","s__Escherichia coli","g__Escherichia",-2.92082866821385,"P"
"P vs PC","s__Pseudomonas_E juntendi","g__Pseudomonas_E",-2.34646583643052,"P"
"P vs PC","s__Alloprevotella sp015257125","g__Alloprevotella",-2.11542649392112,"P"
"P vs PC","s__Streptococcus agalactiae","g__Streptococcus",3.76527887949994,"PC"
"PD vs PCD","s__CAISGS01 sp017418605","g__CAISGS01",-5.25362823993874,"PD"
"PD vs PCD","s__Sphingomonas sp017418975","g__Sphingomonas",2.54571464838182,"PCD"
"PD vs PCD","s__Pseudomonas aeruginosa","g__Pseudomonas",3.6932346782399,"PCD"
"PD vs PCD","s__Lactobacillus gasseri","g__Lactobacillus",3.77599664051031,"PCD"
"PD vs PCD","s__Paraclostridium bifermentans","g__Paraclostridium",5.1151346205723,"PCD"
"PC vs PCD","s__Prevotella melaninogenica","g__Prevotella",-2.99673032220316,"PC"
"PC vs PCD","s__Corynebacterium aurimucosum_E","g__Corynebacterium",2.81920686779406,"PCD"
"PC vs PCD","g__Corynebacterium_HROM_Genome_0366","g__Corynebacterium",3.52323399473769,"PCD"
"PC vs PCD","s__Pseudomonas aeruginosa","g__Pseudomonas",3.56522697925802,"PCD"
"PC vs PCD","s__Paraclostridium bifermentans","g__Paraclostridium",4.8920272389553,"PCD"
