"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","Genus"
"s__CAISGS01 sp017418605","KidneyDisease","KidneyDisease",-1.03538095468053,0.295958342677719,0.000714014646408977,"KidneyDisease",0.102740670272593,101,101,"g__CAISGS01"
"s__Pseudomonas_E juntendi","Periodontitis","Periodontitis",3.71968801256452,1.04390754725967,0.000575053014969032,"Periodontitis",0.102740670272593,101,34,"g__Pseudomonas_E"
"s__Streptococcus agalactiae","KidneyDisease","KidneyDisease",3.17984530009708,0.97692575256724,0.00157203243182573,"KidneyDisease",0.119474464818755,101,48,"g__Streptococcus"
"g__Corynebacterium_HROM_Genome_0366","Diabetes","Diabetes",1.33516628657092,0.477393278764332,0.00624767814640544,"Diabetes",0.273610356763245,101,13,"g__Corynebacterium"
"s__Prevotella sp905372445","Periodontitis","Periodontitis",1.32420360745265,0.491585978774949,0.00835398944609561,"Periodontitis",0.273610356763245,101,15,"g__Prevotella"
"g__Streptococcus_HROM_Genome_2214","KidneyDisease","KidneyDisease",3.09514514029978,1.15421168881941,0.00864032705568142,"KidneyDisease",0.273610356763245,101,45,"g__Streptococcus"
"s__CAISGS01 sp017418605","Diabetes","Diabetes",-0.67647671709253,0.266067569111149,0.0126228211839001,"Diabetes",0.314482584603993,101,101,"g__CAISGS01"
"s__Sphingomonas sp017418975","KidneyDisease","KidneyDisease",3.20874114285695,1.28260936518305,0.0140689577322839,"KidneyDisease",0.314482584603993,101,38,"g__Sphingomonas"
"s__Ralstonia pickettii_B","KidneyDisease","KidneyDisease",-0.818435988111562,0.325118501007013,0.0134983073662616,"KidneyDisease",0.314482584603993,101,101,"g__Ralstonia"
"s__Bifidobacterium swidsinskii","KidneyDisease","KidneyDisease",3.18652928757536,1.31913355364803,0.0176208019371884,"KidneyDisease",0.352416038743767,101,43,"g__Bifidobacterium"
"s__Paraclostridium bifermentans","KidneyDisease","KidneyDisease",2.2197035569778,0.953151790019185,0.0219894680784833,"KidneyDisease",0.397904660467792,101,39,"g__Paraclostridium"
"s__Fannyhessea vaginae","Periodontitis","Periodontitis",2.46353413440237,1.07672254162368,0.0243554555622827,"Periodontitis",0.420685141530337,101,18,"g__Fannyhessea"
"s__Pseudomonas_E juntendi","KidneyDisease","KidneyDisease",-1.96168762427081,0.887536153205298,0.0294880062066288,"KidneyDisease",0.46084899800698,101,34,"g__Pseudomonas_E"
"s__Neisseria mucosa_A","KidneyDisease","KidneyDisease",0.620084572060015,0.290007920687527,0.0350692168935274,"KidneyDisease",0.512550093059246,101,11,"g__Neisseria"
"s__Prevotella melaninogenica","Diabetes","Diabetes",-0.927171592137357,0.452081565699115,0.0430309106242442,"Diabetes",0.527475678619767,101,12,"g__Prevotella"
"s__Streptococcus agalactiae","Periodontitis","Periodontitis",-2.36554285633618,1.14904633747508,0.0422604196544426,"Periodontitis",0.527475678619767,101,48,"g__Streptococcus"
"s__Sphingomonas echinoides","KidneyDisease","KidneyDisease",-0.838620359333346,0.400395017021292,0.0388787612649993,"KidneyDisease",0.527475678619767,101,101,"g__Sphingomonas"
"s__Escherichia coli","KidneyDisease","KidneyDisease",-1.97225925768625,0.947730031502506,0.0401212581932031,"KidneyDisease",0.527475678619767,101,39,"g__Escherichia"
"s__Pauljensenia sp000466265","KidneyDisease","KidneyDisease",0.747711984564822,0.368576473351493,0.0452930663880915,"KidneyDisease",0.537855163358586,101,11,"g__Pauljensenia"
